episode,step,return,len,terminal_w2_from_start,z
1,200,0.0007723041885014936,200,0.04822787571559565,+0.187 -0.196 +0.950 +0.156
2,400,0.002470284349215035,200,0.03930024085351338,-0.308 +0.208 +0.751 +0.545
3,600,-0.0016411703559242596,200,0.04004735733235541,-0.446 -0.802 -0.395 +0.026
4,800,-0.0017290022278757533,200,0.04235819342566776,-0.847 -0.080 -0.454 -0.267
5,1000,0.005608976345683914,200,0.026794615217326966,-0.423 -0.246 +0.320 +0.811
6,1200,-0.0021685666679331916,200,0.038225466516076646,-0.082 +0.873 -0.425 +0.225
7,1400,0.0008501396232531988,200,0.030809179357295793,+0.605 +0.063 -0.498 -0.618
8,1600,0.0014904187719366746,200,0.031427959104822364,-0.398 +0.192 -0.878 -0.182
9,1800,-0.0005790456350496243,200,0.03316568164860142,-0.227 +0.772 +0.307 +0.508
10,2000,-0.0034835166757147817,200,0.033695090196298697,-0.361 -0.071 +0.432 +0.823
11,2200,0.0004403158000059193,200,0.035996196927260776,-0.502 +0.603 +0.536 +0.311
12,2400,0.001662821454715413,200,0.03333661715494309,+0.107 -0.127 +0.589 +0.791
13,2600,0.0019334987500769785,200,0.03529795954341807,+0.703 +0.513 +0.140 -0.472
14,2800,-0.006170897459014668,200,0.03706885135645199,-0.003 +0.438 -0.859 +0.264
15,3000,0.0013054579085292062,200,0.032178000649228246,+0.271 +0.439 -0.748 -0.418
16,3200,0.0004621038883669826,200,0.0375410166529438,-0.199 -0.532 +0.791 -0.226
17,3400,0.001829051486311073,200,0.03946141946608882,+0.156 -0.123 +0.753 +0.628
18,3600,0.00033039835943782236,200,0.031229791035005203,+0.265 -0.921 +0.022 +0.286
19,3800,0.004725168012555514,200,0.03542344888525454,+0.395 -0.243 +0.717 -0.520
20,4000,0.0011872173967049093,200,0.037667177733932085,-0.287 +0.405 +0.021 +0.868
21,4200,-0.00706294687722675,200,0.035096433748822486,+0.142 -0.476 -0.284 -0.820
22,4400,-0.0011619204233284108,200,0.034004193634956825,-0.635 +0.314 +0.289 +0.644
23,4600,0.0033084444544329017,200,0.03577783390432024,-0.308 +0.691 -0.117 +0.644
24,4800,0.0017035172786563635,200,0.043306741679017866,-0.318 -0.540 +0.183 +0.757
25,5000,-0.0012598630237334874,200,0.033729892719872215,+0.079 -0.288 -0.660 -0.689
26,5200,-0.17740443321599741,200,0.03923964854434137,+0.324 +0.637 -0.106 -0.692
27,5400,-0.09779547908692621,200,0.04010461369169307,+0.009 +0.806 +0.473 -0.356
28,5600,-0.3871778105858539,200,0.037733253408765,+0.228 -0.641 -0.444 +0.582
29,5800,1.1456038830801845,200,0.03401782423042297,-0.778 -0.600 +0.157 +0.097
30,6000,-0.09046410385053605,200,0.03872008336040612,-0.728 +0.132 +0.319 -0.593
31,6200,0.33608279190957546,200,0.02326638501129917,-0.396 +0.046 +0.505 +0.765
32,6400,-2.337598666548729,200,0.0340138630424553,+0.529 +0.163 -0.366 -0.748
33,6600,-0.7790225478820503,200,0.038390127976746305,-0.371 +0.406 +0.476 -0.686
34,6800,-2.019261639099568,200,0.041939861864473744,+0.446 -0.111 -0.171 -0.872
35,7000,2.0479793129197787,200,0.02690121121441945,+0.217 +0.133 +0.658 +0.708
36,7200,-1.8556927344761789,200,0.041138108155321436,+0.315 -0.090 -0.945 -0.011
37,7400,0.49054495309246704,200,0.028701885074327325,+0.162 -0.677 +0.429 +0.576
38,7600,-0.8329202772583812,200,0.03744364623395769,+0.658 +0.519 -0.492 -0.235
39,7800,-0.35776520846411586,200,0.03637759532795716,-0.543 -0.057 +0.491 -0.679
40,8000,0.07349326863186434,200,0.032162070265274074,-0.044 +0.855 -0.414 +0.308
41,8200,-1.2129064818727784,200,0.033722428476670105,+0.669 -0.633 -0.389 +0.002
42,8400,0.679249944165349,200,0.03809714209785225,+0.281 +0.606 -0.741 -0.064
43,8600,-0.47709059377666563,200,0.03732669287073533,-0.431 -0.591 -0.287 -0.618
44,8800,-0.2619355332572013,200,0.037416092581289195,+0.311 -0.887 +0.088 -0.330
45,9000,-0.8392797480337322,200,0.03769568401221687,-0.017 +0.469 -0.847 +0.250
46,9200,-0.18524151417659596,200,0.0319696244471273,+0.787 -0.383 +0.328 -0.355
47,9400,-0.33911148412153125,200,0.03379225461673569,+0.367 +0.257 +0.293 -0.845
48,9600,-0.059985911939293146,200,0.03197113705062627,-0.258 +0.827 +0.460 +0.196
49,9800,-0.8506896572653204,200,0.03351080358158996,-0.048 -0.156 -0.429 -0.889
50,10000,1.0529410118469968,200,0.04035096725617703,+0.033 +0.733 +0.647 -0.208
51,10200,0.22914018970914185,200,0.031115475167930944,+0.060 +0.035 +0.949 +0.306
52,10400,-0.18837621042621322,200,0.030324294960510968,-0.828 -0.517 -0.206 -0.072
53,10600,-0.21791141026187688,200,0.039213342493524594,+0.938 -0.130 +0.291 -0.139
54,10800,0.22842599311843514,200,0.03839372973386905,-0.807 +0.192 -0.247 -0.501
55,11000,-0.5425391878234223,200,0.033458669847001486,-0.270 +0.335 +0.424 +0.797
56,11200,-1.0500834240810946,200,0.035947405362964244,-0.421 -0.040 -0.823 -0.379
57,11400,-1.1028131111525,200,0.031842300939449286,-0.441 +0.439 -0.001 +0.782
58,11600,-0.6788245416246355,200,0.03299060347022999,+0.706 -0.526 -0.157 -0.447
59,11800,-0.7026113545289263,200,0.03953531743408873,-0.967 -0.141 +0.207 -0.041
60,12000,-0.6320207901299,200,0.0412266153398831,-0.578 -0.107 -0.809 -0.007
61,12200,-0.07822735502850264,200,0.026256533050313745,-0.064 +0.641 -0.579 +0.499
