step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,52.5,30,0.00040702276353840714,0.26989453125,-9.67796360338724e-07,40.93287133979798,0.0001631404891129069,0.148796875,-6.721092878341675,0.8640375488996506,0.24129530251398681,0.016469039483725283
7000,44.6,35,0.000398246100085089,0.2618671875,-3.3871192821299803e-07,74.04624457931519,0.0001530871969407599,0.1446015625,-12.35691172504425,0.640038924574852,0.046101991429924966,0.015411221691640093
8000,40.1,40,0.0003965442450135015,0.25959765625,-2.3914768475741254e-08,91.2438600769043,0.00012227976868780388,0.10428515625,-16.49097983455658,0.4741229390799999,0.02832662875857204,0.012323740455147345
9000,37.1,45,0.00039367318217409773,0.2569296875,7.02654773188094e-08,96.29586488342285,0.00010794433050978113,0.0804296875,-19.24442586708069,0.3512399460673332,0.018096961641684176,0.01088607472856529
10000,35.0,50,0.00039302759914426133,0.25867578125,8.99628635093741e-08,90.0552010345459,9.738493615077459e-05,0.07705078125,-20.940432697296142,0.2602116189002991,0.012725372294895352,0.009828652083058841
11000,33.6,55,0.00038839985232334585,0.25721484375,7.134942308928415e-08,85.79237281799317,9.307806899550997e-05,0.0793828125,-21.869885723114013,0.19277090315520765,0.009841798955574632,0.00939617819385603
12000,32.4,60,0.0003933896872622427,0.26021484375,7.501259438180696e-08,80.4540451889038,8.95290733769798e-05,0.0825,-22.27146390533447,0.14280708606541156,0.00828436588216573,0.009043120034271851
13000,31.5,65,0.00039149498543702066,0.26006640625,6.875962007901748e-08,76.85827591705322,8.57934221976393e-05,0.0834921875,-22.24946121406555,0.10579910661280155,0.007142007888527587,0.008667920666455758
14000,30.7,70,0.00039019870244374035,0.26115625,7.315311633337984e-08,75.83603671264649,8.321812965914433e-05,0.08193359375,-21.958308225631715,0.07839273676276207,0.006458785779075697,0.00840692403248977
15000,30.1,75,0.0003910259858239442,0.2614765625,7.978119354645763e-08,73.72513646697998,8.054645702213747e-05,0.07980078125,-21.45906011390686,0.058094876553863285,0.005909047823399305,0.008139326883945613
16000,29.6,80,0.00039274684980046006,0.2601953125,7.383940328065109e-08,70.45378838348388,7.820546497214309e-05,0.08010546875,-20.83650463294983,0.04306409465149045,0.005832481823163107,0.007906320348964073
17000,29.1,85,0.00039389673483674416,0.26049609375,7.622096863668659e-08,69.26818993377685,7.633291969318634e-05,0.08061328125,-20.143664373397826,0.03193546697311103,0.005584081598790362,0.007717838745593326
18000,28.7,90,0.00039672099408926445,0.26247265625,8.054072459051653e-08,67.45642198944091,7.410560092898777e-05,0.077515625,-19.40677963066101,0.023699063608422874,0.0056012748638167974,0.007491841261507943
19000,28.4,95,0.0003926695239060791,0.26066796875,7.781564186171152e-08,64.47911743545532,7.173396580310509e-05,0.0776953125,-18.662187084198,0.01760173761192709,0.005316555958241224,0.007254202255659039
20000,28.1,100,0.0003936178202566225,0.26162890625,7.360816276991144e-08,65.85683032989502,7.24755060005009e-05,0.078375,-17.90125901412964,0.013094567242078484,0.005432834284030832,0.0073269991784181915
21000,27.9,105,0.00039452544308733197,0.26169921875,9.502781855452724e-08,66.09924932098389,7.138509070546206e-05,0.0719453125,-17.13634460067749,0.00975478315539658,0.005358431185362861,0.007215745237132068
22000,27.6,110,0.00039541359720169565,0.26309375,7.720500479102555e-08,62.76243183517456,6.894803675527328e-05,0.0766875,-16.39640228176117,0.007276466203387827,0.005175170982955024,0.006972277624052367
