step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,66.7,30,0.00026705121478880754,0.1880078125,-1.2379366390113945e-07,34.81129307556152,4.778059731042106e-05,0.08175390625,-6.594473965644837,0.8640446292757988,0.22955209619738162,0.004831932290759141
7000,61.1,35,0.0002618103311251616,0.18319921875,-7.06459962802608e-08,60.78437562561035,5.662203979386504e-05,0.08758984375,-12.176930510520934,0.6400515177249908,0.03951528035663068,0.005705479691518122
8000,57.8,40,0.0002611145674891304,0.1815234375,3.505617340859857e-08,69.53397254943847,4.777523512575499e-05,0.06166796875,-16.284017473220825,0.47413506466150285,0.02381299894116819,0.004816843143868027
9000,55.8,45,0.0002593531368911499,0.17934375,4.1185848002722735e-08,69.30675123596191,4.613575421831229e-05,0.05887890625,-19.027586290359498,0.3512497959136963,0.015211474815383553,0.004655989030812634
10000,54.6,50,0.00026093388273147866,0.18193359375,4.249677681600339e-08,64.37393681335449,4.431098566237779e-05,0.058390625,-20.715654766082764,0.2602196277678013,0.010283228456042707,0.004476120302337222
11000,53.4,55,0.00025712705773185007,0.180203125,4.5553473039472436e-08,63.49551109313965,4.176533712802666e-05,0.05937109375,-21.628200883865357,0.19277801835536956,0.007315174715127796,0.004220607587791164
12000,52.5,60,0.0002590726695489138,0.182140625,3.962370631915846e-08,61.39907224655151,4.06118575237997e-05,0.0611953125,-22.010592729568483,0.14281335751712324,0.005743973321048543,0.0041081419063557405
13000,51.7,65,0.00025806847968488,0.18221484375,4.3033202305142736e-08,61.55288077545166,3.966988535262317e-05,0.05657421875,-21.979822368621825,0.10580302044004201,0.004732856798684224,0.0040109586322214456
14000,51.2,70,0.0002592311871703714,0.18380078125,4.121398162815204e-08,58.85516290283203,3.761923783747534e-05,0.05328125,-21.678517429351807,0.07839080975949764,0.0040180130319204185,0.0038060731743462385
15000,50.8,75,0.00025776302671874873,0.18312890625,3.593601434226379e-08,57.328842765808105,3.707020211845702e-05,0.05275,-21.180416728973388,0.058084691777825354,0.003765867807669565,0.003752535929263104
16000,50.4,80,0.00025799764080147725,0.1825859375,4.32811263397781e-08,55.12452169799805,3.4548017997849456e-05,0.05392578125,-20.55944385147095,0.04304481134191156,0.0034072965857340023,0.0034998260666034182
17000,49.6,85,0.00025806893804110586,0.18285546875,3.7373804937068657e-08,50.57134929656982,3.256418465514344e-05,0.05470703125,-19.8650525932312,0.03190758249908686,0.003386806245427579,0.003302061910231714
18000,49.3,90,0.0002581249247159576,0.182640625,4.199522490866414e-08,50.28207972335815,3.238725196911219e-05,0.05203125,-19.122352756500245,0.023657240385189654,0.003205038002342917,0.003283904759242432
19000,48.8,95,0.00025996204878902065,0.18432421875,3.620415774574504e-08,50.07009939575195,3.258056930769726e-05,0.0603359375,-18.36970055961609,0.0175501644378528,0.003170148683944717,0.0033037149849697014
20000,48.2,100,0.0002601852741645416,0.18508203125,4.2846740804902696e-08,46.58625844955444,3.0950259720725626e-05,0.05518359375,-17.599527229309082,0.013030896425247192,0.003060242932639085,0.0031379865127819356
21000,47.8,105,0.0002607063336763531,0.1849453125,3.817054856503077e-08,49.05450476074219,3.201362019808585e-05,0.055765625,-16.824905340194704,0.009684412746690213,0.0030314964708522893,0.0032433979602938053
22000,47.5,110,0.0002596335999987787,0.18516796875,4.162054409850846e-08,47.32044172286987,2.9890605025684636e-05,0.0567890625,-16.077286551475524,0.007207887384109199,0.002777374769677408,0.003030093448702246
23000,47.2,115,0.00026186173634778245,0.1859765625,3.2387729222982384e-08,48.32114394378662,3.15315462091803e-05,0.05892578125,-15.344887677192688,0.005378705963492394,0.0029558210766408594,0.0031948494470707372
24000,47.0,120,0.00026254642603453247,0.185921875,4.780716591668011e-08,45.101902549743656,2.8612187734552208e-05,0.05545703125,-14.638336974143982,0.004027709534158931,0.0027946849265135824,0.0029024726871430175
25000,46.9,125,0.00025958843767875803,0.1846328125,3.30009554652122e-08,43.82440288543701,2.922116013746745e-05,0.0521171875,-13.957628635406493,0.003033997466554865,0.0027723490741336718,0.0029636917704629014
26000,46.8,130,0.00026558989760815165,0.1870859375,5.274308690506047e-08,42.53522170257568,2.6825220656860437e-05,0.05342578125,-13.315072682380677,0.002298018153058365,0.0027868861872702836,0.0027241388778347754
27000,46.7,135,0.00026756663051492066,0.187734375,3.089608143103106e-08,42.667352752685545,2.942207010914899e-05,0.065015625,-12.693033776283265,0.0017563712799455971,0.0029379762392491102,0.0029848003701627023
28000,46.6,140,0.0002686352549062576,0.187578125,4.596493265163204e-08,42.29287519836426,2.927112707016022e-05,0.05866796875,-12.097931186676025,0.0013514514371054246,0.002985684823594056,0.0029700643508695068
29000,46.5,145,0.00026750498334877194,0.1873984375,4.925389142029779e-08,41.513437782287596,2.7685703543625095e-05,0.0567734375,-11.530070127487182,0.0010503718375694006,0.0029955598432570697,0.0028100117898866303
30000,46.4,150,0.0002667704228369985,0.18658203125,4.78468035547408e-08,42.612281143188476,2.748635413104239e-05,0.0546953125,-10.988301146507263,0.000841743977740407,0.0030496282912790777,0.0027902595354389634
