episode,step,return,len,terminal_w2_from_start,z
1,200,-0.0063804125966271386,200,0.02992011978442472,+0.214 +0.509 +0.205 -0.808
2,400,0.016218714939896017,200,0.02632079847393084,+0.706 +0.348 -0.419 +0.453
3,600,0.0031323558796430007,200,0.029103133953732537,+0.506 +0.408 +0.039 +0.759
4,800,0.000896455574547872,200,0.03018371792776073,-0.684 -0.151 -0.448 +0.556
5,1000,-0.0004558705804811325,200,0.027353956391257074,+0.045 -0.334 -0.894 -0.294
6,1200,-0.0008689577807672322,200,0.025295154736238255,+0.005 -0.166 +0.778 +0.606
7,1400,0.002780110186904494,200,0.03888775819439841,-0.813 -0.566 -0.052 -0.127
8,1600,-0.0030379489762708545,200,0.032113200211157655,+0.089 +0.090 +0.878 -0.461
9,1800,-0.011357190902344882,200,0.04015531995744501,-0.166 +0.898 +0.284 +0.292
10,2000,0.00732095108833164,200,0.039922020641040126,-0.296 -0.948 +0.096 +0.063
11,2200,0.009827424881223124,200,0.03945288828819432,-0.724 -0.403 -0.043 -0.558
12,2400,0.0035165682929800823,200,0.03859539613860708,-0.187 +0.182 +0.068 -0.963
13,2600,0.007852326440115576,200,0.04131210476418231,+0.429 +0.643 +0.232 -0.591
14,2800,-0.008962875327142683,200,0.04285642561749954,+0.445 -0.305 +0.534 -0.651
15,3000,0.0020979007895221002,200,0.03089390495368538,+0.579 -0.013 -0.791 -0.199
16,3200,-0.014374619232512487,200,0.04390403423639698,+0.036 +0.181 -0.652 -0.735
17,3400,0.005782047345292085,200,0.036517236947890074,+0.212 -0.495 +0.250 +0.805
18,3600,-0.01719679650341277,200,0.035279803837628104,-0.789 +0.122 +0.586 -0.142
19,3800,0.013428044272586703,200,0.03214874476836674,-0.561 +0.520 +0.175 +0.620
20,4000,-0.002106054795149248,200,0.03677363121856938,-0.217 -0.932 -0.069 -0.281
21,4200,-0.0014130143260899786,200,0.03665542882983759,+0.357 +0.089 -0.750 -0.550
22,4400,0.0015601303639414255,200,0.030627088981725864,+0.687 +0.529 -0.498 -0.001
23,4600,-0.006149681390525075,200,0.03730421898570944,+0.398 +0.419 +0.783 +0.229
24,4800,-0.0018060405800497392,200,0.036835822770926174,-0.038 -0.103 +0.422 -0.900
25,5000,0.021615457739244448,200,0.036675502054760105,-0.094 +0.022 -0.969 +0.226
26,5200,-0.04862176328060741,200,0.027158223616047444,-0.510 +0.675 -0.098 +0.524
27,5400,-0.3708808491064701,200,0.03138705262174328,+0.101 -0.080 +0.984 -0.122
28,5600,0.3492042305879295,200,0.028060389242242505,+0.037 +0.213 +0.936 +0.276
29,5800,-0.7900516481604427,200,0.031132158633099306,+0.714 -0.018 +0.263 +0.649
30,6000,-0.05364806018769741,200,0.04263232656318066,-0.026 +0.750 +0.660 -0.042
31,6200,-0.00022210599854588509,200,0.02681733371055335,+0.421 -0.520 -0.471 -0.575
32,6400,0.09477983135730028,200,0.04090700010120505,+0.680 +0.729 -0.044 -0.069
33,6600,-0.4165639760904014,200,0.02835690369747024,-0.308 -0.237 +0.732 -0.560
34,6800,0.09375375718809664,200,0.03577524398165307,+0.301 -0.869 -0.386 +0.073
35,7000,0.03159984154626727,200,0.031947606588213696,+0.204 +0.122 +0.971 +0.007
36,7200,-0.17998056684155017,200,0.03488266328041991,+0.212 -0.183 -0.786 -0.551
37,7400,-0.21626400816603564,200,0.039061745547014144,-0.503 +0.137 +0.826 -0.217
38,7600,-0.3654220043681562,200,0.03559694185232215,+0.896 +0.296 +0.063 -0.324
39,7800,0.25475134048610926,200,0.030845212382571215,+0.937 +0.060 +0.156 -0.306
40,8000,0.10420865874039009,200,0.027118892341224773,-0.570 +0.396 +0.718 -0.050
41,8200,0.08096710196696222,200,0.04289343279974781,-0.923 -0.243 -0.237 +0.183
42,8400,-0.634897020063363,200,0.032022794677738005,+0.664 +0.346 +0.115 -0.653
43,8600,0.0369824938243255,200,0.02802791526260555,+0.385 +0.876 -0.240 -0.164
