step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,54.9,30,0.00024651465420902244,0.17451953125,-1.7814088286538522e-07,35.34347524642944,5.1853357977229565e-05,0.08856640625,-6.709446885824203,0.8640146368741989,0.22763674277812243,0.005236230431105923
7000,48.1,35,0.0002458300740690902,0.17308203125,-7.08441211894062e-08,64.46687638092041,5.549397546474211e-05,0.08261328125,-12.30720031452179,0.6399986245036126,0.03916849139519036,0.0055877900216728445
8000,44.1,40,0.00024384961696341634,0.17344921875,1.822367246995249e-08,74.70097569274903,4.770562758892538e-05,0.0514765625,-16.415239988327027,0.47410689452290533,0.02422154329996556,0.004810421394526202
9000,40.4,45,0.00024790308205410836,0.17540625,3.691460984001083e-08,74.5909095993042,4.543196114263992e-05,0.04378125,-19.127139932632446,0.35122628292441366,0.015080122387968005,0.004584576080378611
10000,36.7,50,0.0002461511384899495,0.17419140625,3.740318888811878e-08,69.18989814758301,4.20603589438997e-05,0.04769921875,-20.80181635093689,0.2601954222917557,0.009855881346855312,0.004249410831209389
11000,34.1,55,0.00024355015979381277,0.17321484375,3.574221527413712e-08,67.74975048065185,4.104961191592338e-05,0.0498359375,-21.72458043861389,0.19276116655766964,0.007062683184398338,0.004149527410510927
12000,32.2,60,0.0002428884037944954,0.17234375,3.3490168474425984e-08,65.03021636581421,4.056421531345222e-05,0.0484609375,-22.102209411621093,0.14280786961317063,0.005430968390544876,0.004101248422724893
13000,30.7,65,0.00024672804654983336,0.1764765625,3.716900096717435e-08,62.822895038604734,3.853933900938955e-05,0.05058984375,-22.116307456970215,0.10580612378567457,0.00429916714434512,0.0038999670805205822
14000,29.6,70,0.00025054525458835996,0.177625,3.3224096007256066e-08,59.921549160003664,3.8436067734892276e-05,0.0534140625,-21.835867807388304,0.07839628636837005,0.003869548685150221,0.003890017142839497
15000,28.7,75,0.000251287691979087,0.17692578125,3.7151786010047874e-08,56.8317448387146,3.676068380286779e-05,0.05083203125,-21.341608478546142,0.058094135645776986,0.003632364249438979,0.003722081316562253
16000,28.0,80,0.0002483727173821535,0.17467578125,3.6501491526230724e-08,53.98478315734863,3.572614616382452e-05,0.05416796875,-20.71616584587097,0.04306054773181677,0.0032170000411570073,0.0036157359978824387
17000,27.4,85,0.00024938150505477097,0.1758515625,4.37999676425882e-08,51.66029354858399,3.223032290247829e-05,0.05106640625,-20.0190170917511,0.03192702072672546,0.003096906795515679,0.0032663567876588784
18000,26.8,90,0.0002500269210941042,0.17566796875,4.505133584653542e-08,48.1793801689148,3.0203369090941125e-05,0.0510703125,-19.265897802352907,0.023677810318768023,0.002901129734935239,0.0030610380606522084
19000,26.4,95,0.00024761685004341417,0.17409375,3.196336791999599e-08,46.43054693222046,3.029898954878263e-05,0.05209375,-18.483898735046388,0.017567703339271247,0.0029336656669620422,0.0030693688989267684
20000,26.0,100,0.0002492581298429286,0.17456640625,3.758303147027853e-08,48.94510380935669,3.0483615925504636e-05,0.0488125,-17.70851113128662,0.013042953508906066,0.002751473442069255,0.0030888947414932774
