skill_i,skill_j,w2
0,0,0.0
0,1,0.0
0,2,0.006333243798722424
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.37189899460010517
1,0,0.0
1,1,0.0
1,2,0.006333243798722424
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.37189899460010517
2,0,0.006333243798722424
2,1,0.006333243798722424
2,2,0.0
2,3,0.006333243798722424
2,4,0.006333243798722424
2,5,0.006333243798722424
2,6,0.006333243798722424
2,7,0.3724917071985948
3,0,0.0
3,1,0.0
3,2,0.006333243798722424
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.37189899460010517
4,0,0.0
4,1,0.0
4,2,0.006333243798722424
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.37189899460010517
5,0,0.0
5,1,0.0
5,2,0.006333243798722424
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.37189899460010517
6,0,0.0
6,1,0.0
6,2,0.006333243798722424
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.37189899460010517
7,0,0.37189899460010517
7,1,0.37189899460010517
7,2,0.3724917071985948
7,3,0.37189899460010517
7,4,0.37189899460010517
7,5,0.37189899460010517
7,6,0.37189899460010517
7,7,0.0
