step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,65.5,30,1.0,1.0,0.9879652267694473,18.973677558898927,0.0015586576617388345,3.90625e-06,-12.060975775241852,0.8766590283513069,12.827455698847771,0.16268421256542206
7000,59.9,35,1.0,1.0,0.8573753389716149,7.002979788303375,0.04097230448888149,0.0002890625,-97.68702771377563,0.8002403157353402,165.1880435409546,4.11806461918354
8000,56.5,40,1.0,1.0,0.8278513543009758,2.593810380101204,0.0740202838499099,0.0005078125,-220.6931421966553,0.8531507958769798,154.77897695159913,7.417434370279312
9000,54.2,45,1.0,1.0,0.7204343481063843,0.9643301666975022,0.11393774135783315,0.01399609375,-386.09159790039064,1.0461773473024367,229.2239256134033,11.428511419296264
10000,52.6,50,1.0,1.0,0.5294845672547818,0.3944354795217514,0.21890139254927635,0.1228671875,-583.5119371948242,1.21792409658432,397.11947772216797,21.958425107955932
11000,51.0,55,1.0,1.0,0.3237901261895895,0.2940613834857941,0.2981354999542236,0.2414921875,-857.3214823608398,1.5682966365814208,643.2632781066894,29.87326079750061
12000,48.9,60,1.0,1.0,0.3073186581581831,0.3031910143196583,0.3190731992572546,0.262375,-1168.0595079345703,2.057503768324852,803.7646305541992,31.969599445343018
13000,48.2,65,1.0,1.0,0.27960081677883863,0.3067680968940258,0.34340802784264085,0.28675,-1475.3594720458984,2.5019105069637297,1108.3709672851562,34.408077806472775
14000,47.3,70,1.0,1.0,0.26069748984277247,0.3214433116614819,0.37434566822648047,0.30535546875,-1771.8405504150392,2.694908066749573,1421.7004146728516,37.50729814338684
15000,46.5,75,1.0,1.0,0.24543127539753914,0.324308684527874,0.38760655364394186,0.3230390625,-2036.0886534423828,2.6563086671829224,1599.661511352539,38.84102473449707
16000,46.0,80,1.0,1.0,0.22986111292988062,0.3330425561964512,0.39937965071201326,0.323421875,-2297.0170458984376,2.7334284727573395,1849.6602305297852,40.01394293785095
17000,45.4,85,1.0,1.0,0.2187502006739378,0.33601131561398506,0.41805525788664816,0.33708203125,-2559.410805419922,2.8383145911693575,1986.0856744995117,41.88081602478027
18000,44.9,90,1.0,1.0,0.20521675857901572,0.3426823393702507,0.433418588578701,0.34228125,-2795.653719238281,2.853660757780075,2075.6950836791993,43.417066089630126
19000,44.5,95,1.0,1.0,0.19504899279028176,0.3505531225204468,0.45344952049851417,0.3524140625,-3020.900984375,2.9007493550777435,1938.0786169433593,45.42057796096802
20000,44.2,100,1.0,1.0,0.18667320343106986,0.356521502494812,0.46052898597717284,0.34955078125,-3211.374760009766,2.8597069315910337,1933.0640013427735,46.12654936599731
21000,44.0,105,1.0,1.0,0.1865265294164419,0.3593746154010296,0.4666025817096233,0.34306640625,-3385.078775390625,2.91662908411026,1868.9222759399413,46.7358669128418
22000,43.7,110,1.0,1.0,0.17746654234826564,0.3620700156390667,0.48093484178185464,0.35405078125,-3568.500490234375,3.0208524639606478,1789.9902598876954,48.17288049697876
23000,43.6,115,1.0,1.0,0.17244059635698794,0.3655685791671276,0.4915832821130753,0.36011328125,-3736.236843017578,3.0877904160022736,1626.5152626953125,49.240607776641845
24000,43.4,120,1.0,1.0,0.16724751808121802,0.3678664792776108,0.502698744803667,0.365796875,-3914.1444228515625,3.1166393270492554,1591.4411982421875,50.351398696899416
25000,43.2,125,1.0,1.0,0.15940577783808113,0.36927662229537966,0.5098903349637985,0.3709296875,-4088.044465087891,3.136417394399643,1482.3837395019532,51.07324356079101
26000,43.1,130,1.0,1.0,0.15473821416124703,0.3713088915646076,0.5170904798507691,0.37378125,-4248.81478515625,3.0794205174446105,1422.9602737426758,51.792462253570555
27000,43.1,135,1.0,1.0,0.1495493571087718,0.37083451938629153,0.5244821763038635,0.3798671875,-4390.69512890625,3.000258136510849,1347.9466206665038,52.53197204971313
28000,43.0,140,1.0,1.0,0.14514753654226661,0.3729424713253975,0.532732252895832,0.382171875,-4534.273268554687,2.997810022830963,1308.3366119995117,53.35819536209107
29000,42.9,145,1.0,1.0,0.1393813007622957,0.3743175004720688,0.5397432976067066,0.382453125,-4657.987,2.9211650257110597,1287.7143074951173,54.05690599060058
30000,42.8,150,1.0,1.0,0.13604214956611396,0.3750632548034191,0.5447024366259575,0.38416015625,-4772.6461889648435,2.9035899941921235,1293.514229309082,54.557386573791504
