step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,64.2,30,1.0,1.0,0.9080537822842598,18.973677278518675,0.0041395849042328335,0.0,-26.441044194221497,0.8858483670353889,80.62806303927303,0.425583507849602
7000,57.3,35,1.0,1.0,0.7179962935447692,6.981417893409729,0.05564072798285633,0.00015625,-154.51243579864501,0.8469310973286629,234.83990190124513,5.600981671705842
8000,53.0,40,1.0,1.0,0.747947787463665,2.5724632601737976,0.11616677137464285,0.00081640625,-302.2927455596924,0.9617784045934678,245.61987409973145,11.657432559967042
9000,50.1,45,1.0,1.0,0.666020054280758,0.9711482182741166,0.15344507939368487,0.00788671875,-470.27821823120115,1.0792682602405548,291.6815461578369,15.386474268913268
10000,48.0,50,1.0,1.0,0.4915832212269306,0.39273662185668945,0.21769235527515413,0.1067421875,-666.320208984375,1.2029508064985275,465.6084717407227,21.845096011161804
11000,46.4,55,1.0,1.0,0.26891567566245794,0.2810668938457966,0.3095190336257219,0.237953125,-921.7276264038086,1.5452442619800568,676.1113372802735,31.044712833404542
12000,45.1,60,1.0,1.0,0.23858295813947916,0.318738471865654,0.36518847101926805,0.26269921875,-1231.3443544311524,2.011331356048584,788.951380065918,36.6051895980835
13000,44.1,65,1.0,1.0,0.22058560033142566,0.3383095956146717,0.40178088018298147,0.2961796875,-1535.755427368164,2.4483107209205626,889.6771907348633,40.2676344871521
14000,43.3,70,1.0,1.0,0.19772763253748418,0.34857127541303634,0.4272497833371162,0.32203125,-1862.7212779541017,2.7946689603328703,1011.7374514770507,42.817348388671874
15000,42.6,75,1.0,1.0,0.18507747946307063,0.3605849803984165,0.4505374935567379,0.3321796875,-2183.0914077148436,2.8624713978767393,1184.8002739868164,45.14535326004028
16000,42.0,80,1.0,1.0,0.18010138460993766,0.37140133371949197,0.47293779614567755,0.3443828125,-2493.040926269531,2.897785416126251,1330.5534123535156,47.38691874313354
17000,41.5,85,1.0,1.0,0.16753387420810759,0.3788530695140362,0.49850496160984037,0.356859375,-2794.1139670410157,2.979004019498825,1459.1214830932618,49.940087516784665
18000,41.0,90,1.0,1.0,0.1646632494647056,0.38352632263302805,0.5061861021518708,0.3623203125,-3061.3754697265626,2.945422142267227,1671.9784498291015,50.70894230270386
19000,40.7,95,1.0,1.0,0.16918869651481508,0.3840271203815937,0.5009355661869049,0.35850390625,-3310.168087890625,2.81136092710495,1988.1290711669922,50.18421588516235
20000,40.3,100,1.0,1.0,0.1614658831898123,0.3816637136042118,0.5070456976294517,0.36682421875,-3556.0574448242187,2.851015506982803,2171.7467039794924,50.79464329528808
21000,40.0,105,1.0,1.0,0.1617321488559246,0.3897959299683571,0.5075232937932015,0.35566796875,-3772.1925322265624,2.901204660654068,2282.73807800293,50.84189065170288
22000,39.7,110,1.0,1.0,0.15326339004188777,0.38537004637718203,0.5193998991847039,0.3722578125,-3961.188986083984,2.818311138868332,2375.800690979004,52.030020603179935
23000,39.5,115,1.0,1.0,0.1500406616218388,0.3903344645500183,0.5288939253687859,0.37251171875,-4161.441713378907,2.7961850502491,2532.5035572509764,52.97723586273193
24000,39.3,120,1.0,1.0,0.1478164095133543,0.3918395739495754,0.537985592097044,0.37906640625,-4344.520343994141,2.7135644094944,2375.7696736450193,53.89150574493408
25000,39.1,125,1.0,1.0,0.1441236096173525,0.3971789824068546,0.5488239752650261,0.381125,-4529.565745605469,2.6600348823070528,2170.9681758422853,54.97523019790649
26000,38.9,130,1.0,1.0,0.14147024888172746,0.399187473654747,0.5574839405715466,0.38077734375,-4706.531530273437,2.594059803009033,2230.186114135742,55.84196709060669
27000,38.7,135,1.0,1.0,0.1364898930247873,0.39829640117287635,0.5625987470448017,0.38199609375,-4854.807702148438,2.5904253575801848,2077.0577883911133,56.354214935302736
28000,38.5,140,1.0,1.0,0.13124983866326512,0.39743141040205954,0.5656948490142822,0.383265625,-4982.207620117188,2.5236816017627715,2169.392696105957,56.66434729385376
29000,38.4,145,1.0,1.0,0.12573002150841056,0.40524637648463246,0.5679259594082833,0.3705625,-5098.408386230469,2.561168149471283,2188.6899338989256,56.88474289321899
30000,38.2,150,1.0,1.0,0.13045813819766044,0.4043734287619591,0.5712211335897446,0.36383984375,-5225.498521972656,2.6170913133621214,2198.2437785644534,57.20819651794434
31000,38.1,155,1.0,1.0,0.12812501200381665,0.40245236057043077,0.5782693577408791,0.3773125,-5328.983433105469,2.685478900671005,2153.5166423950195,57.91477465820312
32000,38.0,160,1.0,1.0,0.1265342564228922,0.4059679136276245,0.586664448082447,0.38190625,-5447.511953613282,2.7815707216262817,2161.785466064453,58.760658081054686
33000,37.9,165,1.0,1.0,0.124863162368536,0.406454283118248,0.5861278032064438,0.38404296875,-5545.131246582031,2.778667891740799,2157.7270365600584,58.7083106803894
34000,37.8,170,1.0,1.0,0.12226829957589506,0.4063692933320999,0.5922397190928459,0.38832421875,-5643.609368652344,2.767682866334915,2098.9774973754884,59.31696489715576
35000,37.7,175,1.0,1.0,0.11866436267085373,0.4070754896700382,0.5989357146024704,0.392265625,-5743.27564453125,2.8099376413822172,2189.167458496094,59.987859954833986
36000,37.6,180,1.0,1.0,0.11893881093245,0.4084095049202442,0.6028712494969368,0.3960859375,-5826.806749511718,2.748735113620758,2075.5027639770506,60.38373533248901
37000,37.5,185,1.0,1.0,0.11875642548315227,0.41024256724119185,0.6053543496727943,0.398109375,-5898.051141113281,2.716366495370865,2026.531124633789,60.63123748016358
38000,37.4,190,1.0,1.0,0.11629279476776719,0.41155686315894124,0.6099466862678528,0.4005546875,-5976.969929199218,2.6768434083461763,2059.1382310180666,61.09071580886841
39000,37.4,195,1.0,1.0,0.11342627409193665,0.41173478338122366,0.6150731885433197,0.40005078125,-6049.812735839843,2.6962240207195283,2190.882581176758,61.60084735870361
40000,37.3,200,1.0,1.0,0.11085805913619697,0.4123772485852242,0.621309551000595,0.4035,-6132.943620605469,2.7521241571903228,1963.075446105957,62.227062801361086
41000,37.2,205,1.0,1.0,0.10913844888284803,0.4118256982564926,0.621489397406578,0.4023671875,-6191.219546386718,2.7331415989398957,2110.290165893555,62.24565283203125
42000,37.2,210,1.0,1.0,0.10753653593733907,0.4132832424938679,0.6253600658774376,0.4041640625,-6273.233155273438,2.7299023003578187,2101.0114129638673,62.63242401123047
43000,37.1,215,1.0,1.0,0.10802440413832665,0.4157587016820908,0.6287679487466812,0.40612109375,-6345.197783203125,2.6492725651264193,2101.7134280395508,62.97207366943359
44000,37.0,220,1.0,1.0,0.10831803702749312,0.4155669922828674,0.6297161011695862,0.40763671875,-6380.604478027344,2.618704367876053,2160.927121520996,63.06776457595825
45000,37.0,225,1.0,1.0,0.10602861115336418,0.41581388756632803,0.6325769295096397,0.41053515625,-6435.155695800781,2.659386256694794,2135.0335061035157,63.35647625732422
46000,36.9,230,1.0,1.0,0.10701073087658733,0.4156621293127537,0.6340017010569572,0.4080234375,-6500.635219726562,2.654459414958954,2132.152600341797,63.49773209381104
47000,36.9,235,1.0,1.0,0.10358249338343739,0.4174985191524029,0.6387509236335754,0.41430078125,-6567.547813964844,2.597971528530121,2245.841552001953,63.972833995819094
48000,36.8,240,1.0,1.0,0.10495186703372747,0.4194088835120201,0.6377405053973197,0.4101875,-6596.531014648437,2.5990829031467437,2398.1389501953126,63.87298565292358
49000,36.8,245,1.0,1.0,0.10346483284793793,0.4202070098221302,0.642867888212204,0.41297265625,-6662.836046875,2.6342977519035338,2208.5899837646484,64.38479471206665
50000,36.7,250,1.0,1.0,0.10000856165215373,0.42042562168836595,0.6480027962327003,0.41451953125,-6723.851205078125,2.6984626677036285,2296.4140576171876,64.89834381484985
51000,36.7,255,1.0,1.0,0.10003783307084814,0.42127470818161966,0.6486441082358361,0.4128125,-6771.516333007812,2.733150104999542,2356.255207763672,64.96073287200927
52000,36.6,260,1.0,1.0,0.10095906651206314,0.4192584747374058,0.6487889416217804,0.41538671875,-6805.43031640625,2.8142083921432497,2432.0049134521482,64.97677375793457
53000,36.6,265,1.0,1.0,0.09824730353103951,0.4203448427915573,0.6494990416765213,0.41608984375,-6842.6299609375,2.800741431236267,2345.4819279785156,65.04783870697021
54000,36.6,270,1.0,1.0,0.09803292124904692,0.42171143597364424,0.6512540845870972,0.414515625,-6880.546320800781,2.7621456491947174,2325.0828319091797,65.22272633361817
55000,36.5,275,1.0,1.0,0.0990022961590439,0.42192626324295995,0.650883558511734,0.41037890625,-6907.379467285156,2.753321853160858,2359.7641595458986,65.1869683303833
