step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,51.3,30,1.0,1.0,0.9982500004768372,18.973677649497986,0.0028134903326733625,0.0,-7.272309646129608,0.8640904886126518,16.69205484725535,0.2829331548515379
7000,43.7,35,1.0,1.0,0.9898018052577973,6.980499193191529,0.007578684331267141,0.0,-15.682388533592224,0.6412569834589958,92.76695994377137,0.759526749085635
8000,39.4,40,1.0,1.0,0.9783514561057091,2.568324787735939,0.00974620303910342,0.0001640625,-24.65628422164917,0.485179625838995,190.7405075378418,0.9765588826946914
9000,36.6,45,1.0,1.0,0.9697811866402626,0.946578510761261,0.010794030093646143,0.00116015625,-33.366655096054075,0.3781792483329773,243.606337059021,1.0818953246027232
10000,34.6,50,1.0,1.0,0.9543399634361267,0.3501696176826954,0.011993600586545654,0.00533203125,-43.035159427642824,0.3019425350129604,356.23146015167237,1.2026961325779557
11000,33.1,55,1.0,1.0,0.9180801867842674,0.13224938080459833,0.014626287422841415,0.020203125,-57.10015631866455,0.25330990889668464,631.4025060882568,1.4677211009785534
12000,32.0,60,1.0,1.0,0.8034543406963348,0.0563341027200222,0.022718926692497917,0.05348046875,-79.70168335723876,0.2366606739461422,1525.6122444763184,2.2812530601769687
13000,31.0,65,1.0,1.0,0.6359551428705454,0.0384309943690896,0.029665522180264817,0.08384375,-110.65116355133057,0.2708424054086208,2783.985975097656,2.976616008982062
14000,30.3,70,1.0,1.0,0.6128055331408977,0.04910758429393172,0.03325535356602632,0.0847890625,-153.58085092163086,0.3605598538815975,2940.603004394531,3.3337836928665636
15000,29.6,75,1.0,1.0,0.6587958205491304,0.050347277030348775,0.029938965764595194,0.0756484375,-191.7551332550049,0.4354078073501587,2345.442562927246,3.001021310597658
16000,29.1,80,1.0,1.0,0.6399003647565842,0.0439123358130455,0.029876522992737593,0.079296875,-228.24490744018556,0.49071890050172806,2549.3817737426757,2.9959386628419162
17000,28.7,85,1.0,1.0,0.6390272682234645,0.04359004712477326,0.029022272192756646,0.079828125,-267.12824447631834,0.5580355167984963,2478.8139926757813,2.910404268324375
18000,28.4,90,1.0,1.0,0.6341960400342941,0.046095326017588374,0.030412599946721457,0.07951953125,-302.2328142089844,0.5984143995642662,2462.6594744262698,3.049231168523431
19000,28.0,95,1.0,1.0,0.6438320724889636,0.046078510463237764,0.029294797106063926,0.0779296875,-342.3047706298828,0.6310401911735535,2462.153135131836,2.937647322639823
20000,27.7,100,1.0,1.0,0.652633301883936,0.043203355081379416,0.029042975821997972,0.0757265625,-373.6398650207519,0.6241185936927796,2404.3767299194337,2.9146341613531113
21000,27.5,105,1.0,1.0,0.6249014512002468,0.04639157892018557,0.03154882863059174,0.0779921875,-408.2099418334961,0.6813442672491073,2582.7228960571288,3.164907894939184
22000,27.2,110,1.0,1.0,0.6621931664645672,0.04565312335640192,0.028503592548542657,0.073203125,-442.9679475708008,0.7114852270483971,2393.5833447875975,2.8606270312964917
23000,27.0,115,1.0,1.0,0.6333693701028824,0.04477474761754274,0.030820061932550744,0.07249609375,-473.292707824707,0.7428218874931335,2487.7932930908205,3.0918178062736987
24000,26.8,120,1.0,1.0,0.6389691015183926,0.04797787299379706,0.030210736094391906,0.07269921875,-504.4257492675781,0.7962146899104119,2544.356693603516,3.029665512651205
25000,26.7,125,1.0,1.0,0.6527326114326716,0.04710663994401693,0.030429679174674675,0.07055078125,-544.0075654602051,0.808191529750824,2593.88644128418,3.05204368019104
26000,26.5,130,1.0,1.0,0.6335201379582286,0.046157317332923414,0.03190122552483808,0.074,-578.7216595458984,0.8267697709202766,3012.7051165771486,3.199898423820734
27000,26.4,135,1.0,1.0,0.6471478185504675,0.04574827239662409,0.03135232102579903,0.07067578125,-605.25751953125,0.8535791280865669,3101.4992896118165,3.145760606333613
28000,26.3,140,1.0,1.0,0.6501296640187502,0.04824471288174391,0.030638829203438946,0.06937109375,-630.7973035888672,0.8481515995264053,3374.254246582031,3.073824714049697
29000,26.1,145,1.0,1.0,0.6342554286420345,0.04551129456236958,0.03262160169077106,0.072453125,-659.4877520141602,0.8840937629342079,3668.3809682006836,3.272681981921196
30000,26.0,150,1.0,1.0,0.6481136128753424,0.04705911898612976,0.03134299985441612,0.07069140625,-688.1810548706055,0.9177150552272797,3839.324911682129,3.145090539045632
31000,25.9,155,1.0,1.0,0.6644371283650399,0.0447130979411304,0.02803363327193074,0.066765625,-731.2404812011719,0.9624579883813859,4430.12089074707,2.816028404660523
32000,25.8,160,1.0,1.0,0.6437395203709603,0.03787356012687087,0.02770690471061971,0.07234375,-789.4510486450196,1.0447856433391571,5119.926627441406,2.7830133120417595
33000,25.7,165,1.0,1.0,0.619301496759057,0.03887641877681017,0.027714967754203824,0.07662109375,-858.742787109375,1.1364442301988602,5616.564744384766,2.7846515211313965
34000,25.6,170,1.0,1.0,0.6009222236350179,0.04451568815112114,0.03201194171153474,0.08181640625,-942.4324247436523,1.2316958005428313,6685.412099243164,3.214708672463894
35000,25.6,175,1.0,1.0,0.6352664777338505,0.04661228883266449,0.030017434624722228,0.07784765625,-1024.9011699829102,1.2419239999055862,5815.033134765625,3.0149777268618347
36000,25.5,180,1.0,1.0,0.6325523267537355,0.04361039437353611,0.029947227418539113,0.07857421875,-1101.7376770019532,1.2719459666013717,5024.514119873047,3.009315883025527
37000,25.4,185,1.0,1.0,0.6164197768270969,0.04212604846432805,0.029249475517543033,0.08278515625,-1160.9872690429688,1.2793371841907502,4261.905873413086,2.939900969937444
38000,25.3,190,1.0,1.0,0.5958839015886187,0.044063402190804485,0.032583856516401284,0.08909375,-1221.9132486572266,1.2925836644172668,3676.31755078125,3.2738419709652664
39000,25.3,195,1.0,1.0,0.6036578607484698,0.049695545151829716,0.03284743821946904,0.08819921875,-1268.6648095703124,1.2113471609354018,3196.01385559082,3.2988948288261892
40000,25.2,200,1.0,1.0,0.591180442109704,0.05225187741219997,0.03744042751495726,0.0934140625,-1321.441978881836,1.1352858828306198,3137.6553843994143,3.7579757408201693
41000,25.2,205,1.0,1.0,0.6007244197279215,0.05548896215483546,0.037566997345304116,0.09148046875,-1370.7009675292968,1.0507196286916733,2998.02331640625,3.7711714213788508
42000,25.1,210,1.0,1.0,0.6259805423021316,0.052384731989353894,0.03487610992079135,0.08828515625,-1384.5628182373048,0.9814438465833664,2914.4443493652343,3.5023357761502267
43000,25.1,215,1.0,1.0,0.5791351431235671,0.0528515338934958,0.03811594468448311,0.09766796875,-1399.0429624023438,0.9452530261278153,3131.2776036376954,3.8273367567956447
44000,25.0,220,1.0,1.0,0.591005611628294,0.0587809675373137,0.04023222424532287,0.096578125,-1403.1717995605468,0.9223779335021972,3083.268029296875,4.0384166306853295
45000,25.0,225,1.0,1.0,0.6041698591262102,0.0554252925850451,0.03793782169208862,0.095234375,-1407.8716870117187,0.9119521514773369,2954.1298775634764,3.8096140134334564
46000,24.9,230,1.0,1.0,0.5766067213043571,0.0564594636708498,0.04239896276267245,0.101046875,-1411.4169826660157,0.9079824501872062,3085.5320915527345,4.256639500200748
47000,24.9,235,1.0,1.0,0.588653926089406,0.061046191196888686,0.04372308433684521,0.09853125,-1396.570163696289,0.9049491916298866,2853.964709350586,4.389769406437874
48000,24.8,240,1.0,1.0,0.5965811975151301,0.06186174013838172,0.04292466337117366,0.09781640625,-1377.2958651123047,0.8922290697693824,2722.240156616211,4.309544744104147
49000,24.8,245,1.0,1.0,0.5881299560815096,0.058834010146558285,0.043900184583384544,0.09790234375,-1365.2197393798829,0.8679766256809235,2711.833319091797,4.407214043438435
50000,24.8,250,1.0,1.0,0.5882378342151642,0.0627471574805677,0.044977968331659214,0.09673046875,-1344.102854614258,0.8468178979754448,2640.254760131836,4.516465322375297
51000,24.7,255,1.0,1.0,0.5988529928922653,0.062284592658281325,0.043316146980505434,0.095546875,-1326.545069458008,0.856666421353817,2613.201614501953,4.3495955118238925
52000,24.7,260,1.0,1.0,0.5820214809477329,0.06809590005502104,0.048647230919916185,0.09787109375,-1320.0638684082032,0.8864991446137428,2636.114509033203,4.882410286426544
53000,24.7,265,1.0,1.0,0.59912517850101,0.06856871142983437,0.048758531911298635,0.0951796875,-1305.4573151855468,0.917078469991684,2526.2025069580077,4.894522480219603
54000,24.6,270,1.0,1.0,0.5943118252307177,0.07191636025160551,0.05078869774681516,0.09355078125,-1298.9541326904298,0.9153494295477868,2503.431810180664,5.097844707608223
55000,24.6,275,1.0,1.0,0.5917048568278551,0.07254404819011688,0.05175044256052934,0.09319921875,-1285.4617055664062,0.9088257263898849,2575.1958076171877,5.194084321737289
56000,24.6,280,1.0,1.0,0.606318736642599,0.07714677675813436,0.0519681812596973,0.08931640625,-1282.0233764648438,0.9309504126906395,2608.664189941406,5.214858785688877
57000,24.6,285,1.0,1.0,0.5955701914131641,0.07501989747583866,0.05333841646881774,0.093171875,-1283.29937109375,0.9536363208889961,2723.3310234375,5.353382692724466
58000,24.5,290,1.0,1.0,0.5965272302627563,0.08289850479364395,0.056292675090022386,0.09101171875,-1291.9072490234375,0.9612208295464516,2734.6113413085936,5.647954049468041
59000,24.5,295,1.0,1.0,0.6065632817000151,0.07962172817438841,0.055054257216863335,0.08725390625,-1288.355219482422,0.9790850341916084,2723.10933581543,5.52522885543108
60000,24.5,300,1.0,1.0,0.6126924963295459,0.08434209778159857,0.05702013160195202,0.08756640625,-1293.2550205078126,1.0144152871370316,2819.8954263916016,5.72250365588069
61000,24.5,305,1.0,1.0,0.6031117462217808,0.08250293384492398,0.056789439936866984,0.08935546875,-1286.5128149414063,1.0026164709329606,2872.6819869384767,5.699200754418969
62000,24.4,310,1.0,1.0,0.601440876737237,0.08446452632546425,0.058553004862740635,0.08971484375,-1296.462460571289,1.0327203872203827,2940.0709716796873,5.876378014624119
63000,24.4,315,1.0,1.0,0.5994118724018336,0.08708635500073433,0.06051828905171715,0.08812109375,-1310.009417602539,1.0605875853300095,3066.7065599365233,6.074545138716697
64000,24.4,320,1.0,1.0,0.6040718184262515,0.10124730345606804,0.06725159104168416,0.087359375,-1350.6654389648438,1.1241201907396317,3305.8210428466796,6.747711242437362
65000,24.4,325,1.0,1.0,0.6079557867944241,0.1005586404427886,0.06829672030173242,0.08654296875,-1367.7852978515625,1.1760266705751419,3424.189292114258,6.853455444931984
66000,24.4,330,1.0,1.0,0.6146558231115341,0.10476939192414284,0.06897564714914188,0.0852421875,-1385.5943544921874,1.2062963750362397,3537.258198730469,6.920499508082867
67000,24.3,335,1.0,1.0,0.6129062807410955,0.10361094611138105,0.06959734028298407,0.08547265625,-1405.8508497314454,1.2487881639003753,3652.4443447265626,6.983020525574684
68000,24.3,340,1.0,1.0,0.6135912138968707,0.10365273407101631,0.06945100744627417,0.08426953125,-1419.2042348632813,1.2786461766958237,3727.9823876953124,6.970030964255333
69000,24.3,345,1.0,1.0,0.6108197638690471,0.10821113728731871,0.07320148566178977,0.08459375,-1458.3239510498047,1.3303904002904892,3826.289914794922,7.344440968871116
70000,24.3,350,1.0,1.0,0.6055504815131426,0.1133804347962141,0.07664075933769346,0.08579296875,-1501.4694222412109,1.3539550743103028,4049.2686630859375,7.688161481022835
71000,24.3,355,1.0,1.0,0.6160029692649841,0.11930540399998427,0.0782036705892533,0.08448828125,-1532.2257368164062,1.3516262421607972,3875.7717520751953,7.843052339315414
72000,24.3,360,1.0,1.0,0.616417313233018,0.12104072991758585,0.08059192523732782,0.08330859375,-1560.9622540283203,1.3426260212659835,3882.0106811523438,8.082373441934585
73000,24.2,365,1.0,1.0,0.6184379084706306,0.12151601397246123,0.07992986790835857,0.08395703125,-1575.2125616455078,1.331817635536194,3945.766329223633,8.017527772545815
74000,24.2,370,1.0,1.0,0.6167811152487993,0.12027988073974848,0.08087627687957138,0.08318359375,-1599.188782348633,1.3254265574216844,3902.4410861816405,8.11338376379013
75000,24.2,375,1.0,1.0,0.6213651287257671,0.1242538412436843,0.0816818662174046,0.08276953125,-1638.6540557861329,1.3105186096429824,3819.2103032226564,8.193587148189545
76000,24.2,380,1.0,1.0,0.6136954149007797,0.1267447890266776,0.08557891734875739,0.08419140625,-1681.0663408203125,1.3320324996709823,3939.7484197998047,8.58492192864418
77000,24.2,385,1.0,1.0,0.6149494005292654,0.12862096381187438,0.08627788514457643,0.08441015625,-1719.6145378417968,1.342038576245308,4024.7064344482424,8.654029091358185
78000,24.2,390,1.0,1.0,0.6217746698260307,0.13001370660960673,0.0863518536761403,0.083359375,-1740.180490600586,1.3387135890722275,3906.018717895508,8.662040493488313
79000,24.2,395,1.0,1.0,0.6152782706618309,0.12995916017889977,0.08755336311273276,0.08507421875,-1772.6784466552735,1.3445664262771606,4016.1040706787107,8.781882919073105
80000,24.1,400,1.0,1.0,0.6218831148147583,0.13245092679560183,0.08726188116706908,0.083703125,-1804.8535443115234,1.3649254474639894,4078.223279785156,8.751934597730637
81000,24.1,405,1.0,1.0,0.6184664059877396,0.1335760509222746,0.08701375358738005,0.08542578125,-1845.112109375,1.3855745404958726,4064.24158190918,8.726831503152848
82000,24.1,410,1.0,1.0,0.6185711918473243,0.13471014370024204,0.08915581881627441,0.0851796875,-1885.942884399414,1.365455722808838,4164.399205200195,8.942821123361588
83000,24.1,415,1.0,1.0,0.6177723021805286,0.13601685333251953,0.09098805123195051,0.086234375,-1926.7609567871093,1.351311647772789,4232.771518554688,9.126118690133096
84000,24.1,420,1.0,1.0,0.6184523721188306,0.13686485521495342,0.09194126895070076,0.087453125,-1962.630271118164,1.3509328095912934,4396.73369140625,9.221987481117248
