episode,step,return,len,terminal_w2_from_start,z
1,200,-0.0025570229154254775,200,0.04822787571559565,+0.187 -0.196 +0.950 +0.156
2,400,0.006458575735450722,200,0.03930024085351338,-0.308 +0.208 +0.751 +0.545
3,600,-0.00034230350865982473,200,0.04004735733235541,-0.446 -0.802 -0.395 +0.026
4,800,-0.008591542096837657,200,0.04132456312579431,-0.847 -0.080 -0.454 -0.267
5,1000,-0.010636625127517618,200,0.026794615217326966,-0.423 -0.246 +0.320 +0.811
6,1200,-0.0010714186864788644,200,0.03861239840758596,-0.082 +0.873 -0.425 +0.225
7,1400,0.0019038220143556828,200,0.031577323608444424,+0.605 +0.063 -0.498 -0.618
8,1600,0.001910378792672418,200,0.031427959104822364,-0.398 +0.192 -0.878 -0.182
9,1800,-0.0004898552033409942,200,0.03316568164860142,-0.227 +0.772 +0.307 +0.508
10,2000,-0.007715404342889087,200,0.033695090196298697,-0.361 -0.071 +0.432 +0.823
11,2200,0.01927133948629489,200,0.035996196927260776,-0.502 +0.603 +0.536 +0.311
12,2400,-0.005993208491418045,200,0.03333661715494309,+0.107 -0.127 +0.589 +0.791
13,2600,0.005045286590757314,200,0.03479905550261701,+0.703 +0.513 +0.140 -0.472
14,2800,0.004770059404108906,200,0.03706885135645199,-0.003 +0.438 -0.859 +0.264
15,3000,0.0036960762736271136,200,0.032178000649228246,+0.271 +0.439 -0.748 -0.418
16,3200,0.0026367556893092114,200,0.0375410166529438,-0.199 -0.532 +0.791 -0.226
17,3400,0.001475843959269696,200,0.03946141946608882,+0.156 -0.123 +0.753 +0.628
18,3600,0.0034179512258560862,200,0.031229791035005203,+0.265 -0.921 +0.022 +0.286
19,3800,-0.006123234637925634,200,0.03542344888525454,+0.395 -0.243 +0.717 -0.520
20,4000,0.03165556884778198,200,0.037667177733932085,-0.287 +0.405 +0.021 +0.868
21,4200,-0.014451672053837683,200,0.035096433748822486,+0.142 -0.476 -0.284 -0.820
22,4400,0.007378737718681805,200,0.034004193634956825,-0.635 +0.314 +0.289 +0.644
23,4600,0.005857816569914576,200,0.03577783390432024,-0.308 +0.691 -0.117 +0.644
24,4800,-0.018555092241513194,200,0.043306741679017866,-0.318 -0.540 +0.183 +0.757
25,5000,0.006896561506437138,200,0.033729892719872215,+0.079 -0.288 -0.660 -0.689
26,5200,-0.017646386404521763,200,0.03923964854434137,+0.324 +0.637 -0.106 -0.692
27,5400,-0.7750175653491169,200,0.04010461369169307,+0.009 +0.806 +0.473 -0.356
28,5600,-4.034908473258838,200,0.03725284287223648,+0.228 -0.641 -0.444 +0.582
29,5800,-5.746986864134669,200,0.03401782423042297,-0.778 -0.600 +0.157 +0.097
30,6000,5.519605750218034,200,0.03872008336040612,-0.728 +0.132 +0.319 -0.593
31,6200,2.972694754600525,200,0.04912672124222529,-0.396 +0.046 +0.505 +0.765
32,6400,-45.1304287686944,200,0.0340138630424553,+0.529 +0.163 -0.366 -0.748
33,6600,14.884949266910553,200,0.038390127976746305,-0.371 +0.406 +0.476 -0.686
