step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,64.2,30,1.0,1.0,0.9992199958562851,18.97367543888092,0.0007713390490940952,0.0,-6.779294177293777,0.8640533575415611,4.782453579522669,0.07788336441343471
7000,57.3,35,1.0,1.0,0.9916810719966889,6.980456746578216,0.00408014642825583,0.0,-13.923301643371582,0.6414674581885338,46.0582073559761,0.4088840237613767
8000,53.0,40,1.0,1.0,0.9877577390670776,2.5681444457769396,0.0053746804021066056,8.59375e-05,-20.943976955413817,0.4810294573903084,68.93562444782258,0.5383646910227835
9000,50.1,45,1.0,1.0,0.9802291942238808,0.9454327469468117,0.0070388462133123535,0.0006875,-28.382000074386596,0.3662110406160355,116.15328857803345,0.7051818018332123
10000,48.0,50,1.0,1.0,0.9665760822296142,0.34900884023308754,0.008628466390829998,0.00427734375,-36.95657551574707,0.28524466973543167,197.44237688827513,0.8647965122200548
11000,46.4,55,1.0,1.0,0.936173695743084,0.13047051760554312,0.011885009212302976,0.0141875,-48.441455631256105,0.2324068926125765,367.15888777160643,1.1915094563141466
12000,45.1,60,1.0,1.0,0.8643916177153588,0.05206667685136199,0.01648568677139701,0.04078515625,-64.54447534942626,0.2062044195383787,751.5957792358398,1.652695028834045
13000,44.1,65,1.0,1.0,0.7327774486243724,0.026247532343491912,0.021047444150666707,0.072609375,-87.33602464294434,0.21404002411663534,1454.377080444336,2.11012450273335
14000,43.3,70,1.0,1.0,0.5988643691688776,0.025790835417807103,0.024898264310788364,0.09267578125,-116.40515367126464,0.2618699329942465,2265.2382967529297,2.4991258106529712
15000,42.6,75,1.0,1.0,0.6352652834951877,0.03476655168831348,0.023758036170620472,0.08487890625,-149.07296691131592,0.3298471789956093,2119.0976623535157,2.3865798252820967
16000,42.0,80,1.0,1.0,0.6621184440255166,0.033133236311376095,0.02132758906087838,0.082171875,-183.07770219421386,0.40918832275271416,1924.4731533203126,2.143175746165216
17000,41.5,85,1.0,1.0,0.6586563446596265,0.030728121193125842,0.021298518115421758,0.0810078125,-216.2530719604492,0.5048803316950798,1952.9429528808594,2.1399000379741193
18000,41.1,90,1.0,1.0,0.6570854771286249,0.02821467610448599,0.020036579954321496,0.081171875,-245.2642065887451,0.5788908943533897,2061.731755126953,2.0129793773889544
19000,40.7,95,1.0,1.0,0.6238654866218567,0.030316308926790953,0.02270967524196021,0.08553125,-275.9501379699707,0.628548942387104,2255.0449962158204,2.2802836435437204
20000,40.4,100,1.0,1.0,0.6819229786545038,0.028887762811034917,0.018821140250132883,0.07532421875,-308.46757257080077,0.6831428173780442,2067.7829479675293,1.8933166304379703
21000,40.1,105,1.0,1.0,0.656663053303957,0.02521869256719947,0.018834556816495023,0.08096875,-337.46113720703124,0.7291681954860687,2464.333124908447,1.8940413043648006
22000,39.8,110,1.0,1.0,0.632527905523777,0.027569102140143513,0.019847392015042715,0.08494140625,-365.31712850952147,0.8028843929767608,2821.3854060668946,1.9948055350705982
23000,39.5,115,1.0,1.0,0.6802706401348114,0.02532961813919246,0.017223573007213416,0.07782421875,-397.2739177856445,0.8865797805190087,4259.5997265625,1.7339839120730758
24000,39.3,120,1.0,1.0,0.6415678093880415,0.022726512778550388,0.018187846140470355,0.08437890625,-432.64405145263675,0.942592808008194,4126.775640258789,1.8286899536401033
25000,39.1,125,1.0,1.0,0.6439154774993658,0.024866256546229124,0.017072260599350558,0.08366015625,-478.07787936401365,1.030580958366394,15006.598791931152,1.7192747469320893
26000,38.9,130,1.0,1.0,0.6159902019649744,0.02779726989194751,0.019672609869914596,0.08985546875,-724.5576810913086,1.1875292284488679,82100.7072138672,1.978441511787474
27000,38.8,135,1.0,1.0,0.6770944484174252,0.029333617025986313,0.01430593115510419,0.0762265625,-1853.3323628540038,1.79048845911026,144219.00239282227,1.4433184364512563
28000,38.6,140,1.0,1.0,0.6420666369199752,0.02344827177003026,0.01338894759188406,0.08212890625,-3207.648525756836,2.447463736772537,180596.5148022461,1.3523877800107003
29000,38.5,145,1.0,1.0,0.6302191660404205,0.021135343048721552,0.014314274845528416,0.09091015625,-4491.281116943359,3.316318483829498,209174.17372265624,1.4466162317097186
30000,38.3,150,1.0,1.0,0.6300481840968132,0.02205431577935815,0.015334570010774769,0.095671875,-5809.427424072265,4.394065365791321,266283.72024804685,1.5493218708708882
31000,38.2,155,1.0,1.0,0.6082631416320801,0.022193016977980734,0.018154183448990807,0.1034375,-7001.699622802735,5.648350748062134,297033.6605410156,1.8316637872457504
32000,38.1,160,1.0,1.0,0.6001621019244194,0.02283094290085137,0.017557897940278053,0.10640625,-7936.022002929688,6.990691657066345,345511.16866210935,1.7715661060288548
33000,38.0,165,1.0,1.0,0.5953672380447388,0.02427890389971435,0.019449371635040735,0.10757421875,-8786.167346679687,8.283807982444763,335018.9258554687,1.9614364605844021
34000,37.9,170,1.0,1.0,0.5724582949429751,0.026255517126992346,0.024011909326538444,0.11233203125,-9593.853606445313,9.130236843109131,327446.7547832031,2.4173138367682694
35000,37.8,175,1.0,1.0,0.5793614847660065,0.03461381019279361,0.030070279963780193,0.1062578125,-10295.676651367188,8.965594446182251,342842.01883007813,3.025069130778313
36000,37.7,180,1.0,1.0,0.5898330387175084,0.03908486868068576,0.0329946751287207,0.10616015625,-10867.71824609375,8.631207631111145,329408.20203125,3.3170214581042528
37000,37.6,185,1.0,1.0,0.5736108171343803,0.04095430474728346,0.03931772568682208,0.1125234375,-11388.717357421874,8.285594598770142,304442.0009609375,3.951173349454999
38000,37.5,190,1.0,1.0,0.5798214785754681,0.05314542628079653,0.04389708956819959,0.11266015625,-11761.553219726562,8.067399120807648,263656.7157265625,4.407343436837197
39000,37.4,195,1.0,1.0,0.570755603119731,0.05925524747744203,0.048570145559264345,0.11694140625,-12105.546041992187,7.594412704467773,235584.12727539064,4.8750414454489945
40000,37.4,200,1.0,1.0,0.578965541690588,0.06905966513603926,0.0530154101154767,0.1158046875,-12313.600181640624,6.911099218845368,186857.7959785156,5.318211948126555
41000,37.3,205,1.0,1.0,0.5825816612541675,0.0730629603639245,0.0551024507842958,0.1168984375,-12572.222322265625,6.320530713558197,155667.60082421874,5.526559448212385
42000,37.3,210,1.0,1.0,0.5881897245347499,0.06860551261901855,0.052905968060018495,0.11834765625,-12680.874084960937,5.664662750720978,127212.502453125,5.307927286893129
43000,37.2,215,1.0,1.0,0.573900873363018,0.07014058870822192,0.054549891751259565,0.12212109375,-12824.760131835938,4.8828724961280825,99432.5840703125,5.471829517841339
44000,37.1,220,1.0,1.0,0.5858525248765946,0.07033235368132591,0.052075022966135295,0.1199140625,-13067.657520507813,5.061151302337646,81130.8617578125,5.226159921556711
45000,37.1,225,1.0,1.0,0.5775038583874702,0.07103628853708506,0.053452020929078574,0.12113671875,-13244.009481445313,5.243722871303558,71661.86015039062,5.362999485135078
46000,37.0,230,1.0,1.0,0.5716749987006188,0.07206287227571011,0.054882627200335266,0.1206328125,-13216.861674804688,4.995555587768555,55459.75444726562,5.506239959478378
47000,36.9,235,1.0,1.0,0.5856837285757065,0.07169827335327864,0.053310205654473974,0.11692578125,-13194.16468359375,4.670566575527191,43911.321203125,5.348316741615534
48000,36.9,240,1.0,1.0,0.5799985980987549,0.07242481745779514,0.05447492683830205,0.11776171875,-13158.098569335938,4.165697854995727,35435.44015234375,5.465018621593714
49000,36.9,245,1.0,1.0,0.5783946583867073,0.07508027596771717,0.05621877635037526,0.1186640625,-13108.691625976562,3.8922962486743926,30075.83165234375,5.6396481752693655
50000,36.8,250,1.0,1.0,0.5771035078167915,0.0723622914776206,0.05750503871194087,0.11881640625,-13012.426256835937,3.776746433019638,28426.1852265625,5.769885143458843
51000,36.8,255,1.0,1.0,0.5711023397147655,0.0764363765642047,0.05871397071424872,0.119265625,-12894.121685546876,3.8199286024570465,29287.027645507813,5.890229600787163
52000,36.7,260,1.0,1.0,0.5864660436213016,0.07693912625312806,0.05665086196502671,0.1158984375,-12776.138850585938,4.069974723100662,30531.151317382813,5.68458341729641
53000,36.7,265,1.0,1.0,0.5790190067142248,0.07531719729304313,0.05884399606124498,0.11710546875,-12633.75179296875,4.20125110578537,31436.51494238281,5.904315164834261
54000,36.7,270,1.0,1.0,0.5792731448858977,0.07862431314587594,0.05903359756385908,0.11573828125,-12452.934080078125,4.258123909950256,29454.002330078125,5.923924324333668
55000,36.6,275,1.0,1.0,0.5845393492281437,0.07394729285687208,0.057115026207640765,0.11417578125,-12236.458728515625,4.301656105041504,28716.421698730468,5.731921527683735
56000,36.6,280,1.0,1.0,0.5779174068272114,0.08031105856597423,0.06000717577245086,0.11469140625,-12013.254522460937,4.217506791591644,30897.31965185547,6.020984716296196
57000,36.5,285,1.0,1.0,0.5851706789135933,0.07743668999522925,0.05833885815856047,0.1142890625,-11806.576541015625,4.491284975528717,30862.006751464844,5.855505642086268
58000,36.5,290,1.0,1.0,0.5839289587140083,0.07506113619357348,0.05942639289144427,0.1141015625,-11495.155309570313,3.895988778591156,28412.160731933593,5.963848343163729
59000,36.5,295,1.0,1.0,0.5843798483014107,0.08003468187898398,0.059909568425267935,0.113546875,-11161.841255859375,3.381809958457947,26722.19987841797,6.012428967833519
60000,36.4,300,1.0,1.0,0.5764320018291473,0.07926279610395431,0.06189417499769479,0.11419140625,-10799.758010742187,3.0988957607746124,23826.106662597656,6.21066326457262
61000,36.4,305,1.0,1.0,0.589175558179617,0.08338042744994163,0.061709604129660874,0.11278125,-10419.380923828125,2.969632376432419,22916.6453984375,6.192564065933228
62000,36.4,310,1.0,1.0,0.579177095144987,0.08337057650089263,0.06545096157304943,0.11457421875,-10041.118784179687,2.7523204641342165,20978.49737548828,6.567830832839012
63000,36.3,315,1.0,1.0,0.5793871085345745,0.09072214390337467,0.06841137127950787,0.113765625,-9667.98391015625,2.7002733962535856,19966.96582763672,6.862895189166069
64000,36.3,320,1.0,1.0,0.5799369688630104,0.08866332903504372,0.06914677159115672,0.11344140625,-9300.0273359375,2.5377786843776704,19531.29655908203,6.937292822241783
65000,36.3,325,1.0,1.0,0.5782239692509175,0.09698546953499317,0.07160055944044143,0.11574609375,-8949.21843359375,2.475511412858963,19145.26671582031,7.182954945147038
66000,36.3,330,1.0,1.0,0.5777187873721122,0.09776250606775284,0.07224372566305101,0.11533984375,-8596.434134765625,2.4243138365745542,18244.75107421875,7.246400406599045
67000,36.2,335,1.0,1.0,0.5827950067222119,0.09665124042332172,0.07333369379444048,0.11522265625,-8278.245135253906,2.370745339870453,16954.873258789063,7.356031194210052
68000,36.2,340,1.0,1.0,0.5822240367531777,0.09387806715071201,0.07359186405315996,0.11385546875,-7980.359583007813,2.1031598039865496,15659.036666503906,7.381961376547814
69000,36.2,345,1.0,1.0,0.5772837325185537,0.10184578040242195,0.07513101588189602,0.11471484375,-7735.646422363281,1.9037518931627273,13579.424178955078,7.535490003108978
70000,36.1,350,1.0,1.0,0.5830578762590886,0.09525449477881193,0.07407199465483427,0.1141015625,-7512.211870605469,1.7006488534212112,12250.40208959961,7.43039104783535
71000,36.1,355,1.0,1.0,0.5828017159700394,0.10254080647230149,0.07588690996728838,0.11408203125,-7281.284075195313,1.648124599814415,10383.292837158204,7.611814668297767
72000,36.1,360,1.0,1.0,0.5771184725761414,0.09861499437689782,0.07637992710061371,0.11534375,-7042.663043945313,1.6383751019239425,9393.762642089843,7.662601959943771
73000,36.1,365,1.0,1.0,0.5844183800220489,0.10515610361099244,0.0781949886791408,0.114734375,-6800.112380371093,1.7005483034849167,8406.579178955079,7.843071306586266
74000,36.1,370,1.0,1.0,0.5808511221706867,0.10334554313868284,0.07895479467511177,0.116203125,-6545.938774414062,1.7618589663505555,7528.912245117188,7.918898911952972
75000,36.1,375,1.0,1.0,0.5840442128777504,0.10381494365632533,0.07883344424888492,0.11430859375,-6299.663013183594,1.7420770334005355,6988.942513916016,7.908061424374581
76000,36.0,380,1.0,1.0,0.5825923126339912,0.10494360976666212,0.07865762812271714,0.11437890625,-6052.8847490234375,1.6209565979242324,6554.384737792969,7.890424261808396
77000,36.0,385,1.0,1.0,0.5796526677310466,0.10743388598412275,0.0793589951172471,0.115640625,-5821.502657714844,1.595538569688797,6058.207200683593,7.95964039683342
78000,36.0,390,1.0,1.0,0.5890902283191681,0.10310518223047256,0.0791784059535712,0.11413671875,-5595.231788574219,1.5339434871673583,5926.193955078125,7.941271629571915
79000,36.0,395,1.0,1.0,0.5795463005304337,0.11167171509563922,0.08124632537690922,0.11564453125,-5386.38953125,1.5107655128240585,5688.966834716797,8.149105190575122
80000,36.0,400,1.0,1.0,0.5931618035435676,0.10628143155574798,0.08045819636806846,0.11255078125,-5187.583354980468,1.4797611237764359,5623.587168701172,8.07210360431671
81000,36.0,405,1.0,1.0,0.5798493030369282,0.11478865879774093,0.08408819526992738,0.11475390625,-5006.459222167969,1.49400696349144,5560.1536850585935,8.434450969457627
82000,35.9,410,1.0,1.0,0.5840082879215479,0.11495708706229925,0.08393157135974616,0.11474609375,-4837.83140625,1.4897668234109878,5479.033049804688,8.418722827851772
83000,35.9,415,1.0,1.0,0.5845944666266442,0.11273677163571119,0.0837999963387847,0.114875,-4673.611963378907,1.4793259315490723,5116.901371826172,8.40433645439148
84000,35.9,420,1.0,1.0,0.5929629877507686,0.11416062965989113,0.0838164684548974,0.112953125,-4513.596866210937,1.496202540755272,4776.116465332031,8.406137505888939
85000,35.9,425,1.0,1.0,0.5837684988379478,0.1166579111739993,0.08512528197281062,0.11426953125,-4363.985504638672,1.470398405432701,4422.163780639648,8.535805646419526
86000,35.9,430,1.0,1.0,0.5871976793408394,0.11595885255932808,0.08538279118575155,0.1136796875,-4227.69993359375,1.4326472868919373,4143.0357592773435,8.562580739736557
87000,35.9,435,1.0,1.0,0.5888236875534058,0.1158897356465459,0.08602797593548894,0.1126796875,-4099.063534667969,1.4271152707338333,3849.1963997802736,8.62665432035923
88000,35.9,440,1.0,1.0,0.580252187371254,0.12011513798683882,0.08872872767969966,0.11573046875,-3986.216098388672,1.3962202696800232,3629.802371948242,8.896850627422333
89000,35.8,445,1.0,1.0,0.5964695327877998,0.12201059288531542,0.088038220198825,0.11241015625,-3870.9821005859376,1.3504111343622207,3523.3046923828124,8.828246950387955
90000,35.8,450,1.0,1.0,0.5805917361676693,0.12109354129433632,0.09025612439587713,0.11505078125,-3758.9858308105468,1.33028009390831,3441.872092529297,9.049536751747132
91000,35.8,455,1.0,1.0,0.5941815348267555,0.11981445840746165,0.08848797825910151,0.11237890625,-3659.9759770507812,1.3181661894321441,3199.4450739746094,8.872432712316513
92000,35.8,460,1.0,1.0,0.5876063045859337,0.12208775497227907,0.09099666061252355,0.11302734375,-3566.668962158203,1.303108776330948,3132.155600341797,9.124311796426774
93000,35.8,465,1.0,1.0,0.5907154933810234,0.1257496240362525,0.0921652330160141,0.1138515625,-3484.88639453125,1.2887430754899978,3062.5106337890625,9.240730183601379
94000,35.7,470,1.0,1.0,0.5860669601559639,0.1221367012411356,0.09172756892815233,0.1133125,-3399.5685966796873,1.2697294551134108,3052.0472573242187,9.198564723014831
95000,35.7,475,1.0,1.0,0.5938101559579373,0.1214502555951476,0.08991658112220466,0.112375,-3311.9277875976563,1.2422475358247758,2976.503354125977,9.016648822546005
96000,35.7,480,1.0,1.0,0.5907060011923313,0.12259172086417675,0.09009306513518095,0.11290625,-3237.316408691406,1.2185203094482422,3038.8456518554685,9.035580451011658
97000,35.7,485,1.0,1.0,0.582541520267725,0.12222784033417702,0.09201476308330893,0.11523828125,-3164.3739411621095,1.1933846385478974,3000.9054813232424,9.227757983446121
98000,35.7,490,1.0,1.0,0.5885451494157314,0.12394945272803307,0.09070614900626242,0.1153984375,-3099.0499384765626,1.1984110499620437,3019.086255859375,9.097213299036026
99000,35.7,495,1.0,1.0,0.5802694592177868,0.12349367443472146,0.092695052459836,0.11709765625,-3032.279288330078,1.170478379368782,3022.377717163086,9.296339455366134
100000,35.7,500,1.0,1.0,0.5911060200333595,0.12644338575750588,0.09294681491330266,0.1147734375,-2965.2680786132814,1.142178621649742,3090.449810791016,9.32135533952713
101000,35.7,505,1.0,1.0,0.579571202725172,0.12733298963308334,0.09651771682873368,0.11818359375,-2915.792291748047,1.114848552942276,3121.5002922363283,9.67809851527214
102000,35.7,510,1.0,1.0,0.5835842571556568,0.13196698862314224,0.09569787527061999,0.1181015625,-2868.3375327148437,1.1201840912103653,3166.4056370849607,9.595390315055846
103000,35.6,515,1.0,1.0,0.5831062677800656,0.1288973149806261,0.09640670641884208,0.1180078125,-2813.9134294433593,1.1325266695022582,3138.8470850830076,9.667396894216537
104000,35.6,520,1.0,1.0,0.5805388194024563,0.13139167454838752,0.09788806637376547,0.1194375,-2755.2300805664063,1.136720806837082,3157.8954111328126,9.814788319110871
105000,35.6,525,1.0,1.0,0.5850555158853531,0.12978472895920276,0.09652274431660772,0.1185078125,-2707.8598928222655,1.1505981441736222,3112.9226463623045,9.679095400333404
106000,35.6,530,1.0,1.0,0.5799709328114987,0.12943453592061996,0.09659570205956697,0.11874609375,-2634.7723566894533,1.13294686627388,3148.3765865478517,9.686057386636733
107000,35.6,535,1.0,1.0,0.5844057385027409,0.12994582869112492,0.0972509498745203,0.1180703125,-2589.4490422363283,1.1367447113990783,3088.4690618896484,9.751906573534011
108000,35.6,540,1.0,1.0,0.5832758948802949,0.1303424172103405,0.0975592030249536,0.11802734375,-2537.4057712402346,1.117231548666954,3143.7719747314454,9.780991626262665
109000,35.6,545,1.0,1.0,0.580321558907628,0.13108932292461395,0.098369774594903,0.11883984375,-2485.0645310058594,1.1162747449874877,3137.4064919433595,9.863565746545792
110000,35.6,550,1.0,1.0,0.5832342556715011,0.1296166981458664,0.09797304486483335,0.1183203125,-2433.397550292969,1.1065856436491013,3079.8838804931643,9.823309024810792
