run,measure,metric,phi_input,cov_1d,cov_2d,disp_1d,disp_2d
tmsd_w2_rt_d4,1d,w2,hist,0.35750455049445884,0.2545950646329272,0.29236697212764756,0.20768154870408276
tmsd_w2_rt_d4_s1,1d,w2,hist,0.28863447645794166,0.20325080611343896,0.19300081009207345,0.13615234188425043
tmsd_w2_rt_d4_s2,1d,w2,hist,0.33025483813404727,0.2324344577833212,0.23085527453295662,0.16320465404229859
abl_euclid_rt_d4,1d,euclidean,hist,0.37614057533952255,0.26433032917945337,0.3531215133196614,0.2507148251558344
abl_euclid_rt_d4_s1,1d,euclidean,hist,0.30972587953780556,0.21755458924564577,0.2556383752371925,0.18062673260768256
abl_euclid_rt_d4_s2,1d,euclidean,hist,0.3676059277814252,0.25850073518675,0.30102824104163345,0.2127833415288478
abl_temporal_rt_d4,1d,temporal,hist,0.39156608299892204,0.27408686092877316,0.3160847356565849,0.2234755071500937
abl_temporal_rt_d4_s1,1d,temporal,hist,0.2026011838145487,0.14461918717937633,0.13809570093874612,0.09792373787301283
abl_temporal_rt_d4_s2,1d,temporal,hist,0.2756290971054828,0.19092397152313165,0.26990820730165394,0.1902488716877997
abl_fullstate_temporal,1d,temporal,obs,0.08761890213139555,0.0634142104924346,0.0728307436196105,0.05195214987422029
abl_fullstate_temporal_s1,1d,temporal,obs,0.028289080157192094,0.021400686503121897,0.04168609314511329,0.030140521936118603
abl_fullstate_temporal_s2,1d,temporal,obs,0.001606703693186239,0.002395318214049829,0.033181098370214844,0.024138815002515912
tmsd_sw2_2d_s0,2d,sliced_w2,hist,0.06414959679897285,0.044056044276138503,0.060917951074190096,0.04223068159384032
abl_euclid_2d_s0,2d,euclidean,hist,0.3380669052024513,0.24602548261949173,0.25320297852640294,0.1830238498902569
abl_temporal_2d_s0,2d,temporal,hist,0.2961228827410236,0.21357515373355931,0.1994575468278219,0.14361968721883991
mi_soil_s0,1d,w2,hist,0.03541249750313243,0.02362943566515155,0.04441709598089481,0.031003525480628014
mi_soil_s1,1d,w2,hist,0.000527770316560202,0.0021557340265384744,0.0332101730163246,0.02411612557868163
mi_soil_s2,1d,w2,hist,0.02705518911075554,0.018926763541198204,0.04135169226303562,0.029180831198270123
mi_full_s0,1d,w2,obs,0.021700446283927814,0.0287202021101534,0.039903140669683645,0.03412327729165554
mi_full_s1,1d,w2,obs,0.0011533443386481314,0.00198262366133609,0.03316686435252631,0.024084373144432902
mi_full_s2,1d,w2,obs,0.06875296315732807,0.05335099702989239,0.062046394373401294,0.04590963805094361
dads_soil_s0,1d,w2,hist,0.0,0.0021986888771477553,0.03323803841493622,0.024137542815878987
dads_soil_s1,1d,w2,hist,0.014757762885388447,0.012299352982414089,0.037460801755633495,0.027479534891123574
dads_full_s0,1d,w2,obs,0.057346342154845055,0.042526167418275564,0.05378327004419803,0.039025572050983705
dads_full_s1,1d,w2,obs,0.20296475748089438,0.14865886832454375,0.16998264815594158,0.12261738123682638
stage2_comp_s0,composite,euclidean,hist,0.06515096550384267,0.04908121417143515,0.05825063657675645,0.04263767134398222
stage2_comp_s1,composite,euclidean,hist,0.3145732627323832,0.22473317198455334,0.23371919744295866,0.16687064028034607
stage2_1d_s0,1d,euclidean,hist,0.18753284542139084,0.13288426429166325,0.12359518113233088,0.08746027185892065
tmsd_w2_s0,1d,w2,hist,0.3694013802141015,0.25893384080734994,0.3280120808175021,0.23180455908489725
