step,sps,episodes,phi/obj,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,53.6,30,-0.0002549567690002732,-6.757986707210541,0.8640373546481133,0.2753577754944563,0.05630510892253369
7000,47.7,35,-0.00024550558245391586,-12.749721055030824,0.6404474989175797,0.13500914882868528,0.09915723216161132
8000,44.0,40,-0.0002511131342471344,-17.65728715324402,0.4760974552929401,0.2107811505123973,0.16026767390966415
9000,41.5,45,-0.000268535418130341,-21.817405345916747,0.356280263453722,0.35110178461670877,0.2464362826347351
10000,39.8,50,-0.0002858647068205755,-25.44985698890686,0.269216155976057,0.5945979604125022,0.3560124620348215
11000,38.5,55,-0.0003132041029020911,-29.16923000717163,0.20683385583758354,0.9170713627636433,0.4218223546743393
12000,37.4,60,-0.00031428754449007104,-33.46895864677429,0.1612241692394018,1.1666517280340194,0.5429572166502475
13000,36.6,65,-0.000316650086446316,-38.036255714416505,0.12891046159714462,1.4916187193989754,0.6237116397619248
14000,35.9,70,-0.0003009550859569572,-43.281768383026126,0.10620767185837031,1.5887122995257377,0.6444243886172771
15000,35.3,75,-0.0002940814026951557,-48.80424364852905,0.09021723538637161,1.9773157270550727,0.6912591184079647
16000,34.8,80,-0.00028644375159638,-53.74294392395019,0.08227800031006337,2.2200833151340484,0.7318965243697166
17000,34.4,85,-0.0002796758581243921,-58.55451554489136,0.07764678773283959,2.655536385834217,0.7665994713306427
18000,34.0,90,-0.00027402592982980425,-63.32058359527588,0.07122481982409955,3.180781365156174,0.7689044301509858
19000,33.7,95,-0.00026408366148825737,-67.6596890335083,0.07483207143843174,3.084313377559185,0.7999483222067356
20000,33.4,100,-0.00026434239841182717,-71.73540071868896,0.07560421995073557,3.4893894654512407,0.7956280548274517
21000,33.2,105,-0.0002537577816256089,-75.10655729675292,0.07672212637215853,3.74125629144907,0.7836592206060886
22000,33.0,110,-0.0002587653671653243,-77.8946978302002,0.07635926342010498,4.6794191693067555,0.7922348909676075
