run=dads_soil_s0 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '64', 'episodes': 5}
{'step': 2000, 'sps': '65', 'episodes': 10}
{'step': 3000, 'sps': '65', 'episodes': 15}
{'step': 4000, 'sps': '65', 'episodes': 20}
{'step': 5000, 'sps': '65.2', 'episodes': 25}
{'step': 6000, 'sps': '53.8', 'episodes': 30, 'phi/obj': '-1.283e-05', 'sac/actor_loss': '-6.823', 'sac/alpha': '0.864', 'sac/q_loss': '0.2213', 'sac/reward_mean': '0.02039'}
{'step': 7000, 'sps': '47.9', 'episodes': 35, 'phi/obj': '-3.27e-08', 'sac/actor_loss': '-12.44', 'sac/alpha': '0.64', 'sac/q_loss': '0.0363', 'sac/reward_mean': '0.01316'}
{'step': 8000, 'sps': '44.2', 'episodes': 40, 'phi/obj': '-2.816e-08', 'sac/actor_loss': '-16.56', 'sac/alpha': '0.4741', 'sac/q_loss': '0.0219', 'sac/reward_mean': '0.01094'}
{'step': 9000, 'sps': '41.7', 'episodes': 45, 'phi/obj': '-2.234e-08', 'sac/actor_loss': '-19.31', 'sac/alpha': '0.3512', 'sac/q_loss': '0.01255', 'sac/reward_mean': '0.008692'}
{'step': 10000, 'sps': '39.9', 'episodes': 50, 'phi/obj': '-1.873e-08', 'sac/actor_loss': '-21', 'sac/alpha': '0.2602', 'sac/q_loss': '0.007635', 'sac/reward_mean': '0.007176'}
{'step': 11000, 'sps': '38.6', 'episodes': 55, 'phi/obj': '-2.041e-08', 'sac/actor_loss': '-21.92', 'sac/alpha': '0.1928', 'sac/q_loss': '0.00489', 'sac/reward_mean': '0.006347'}
{'step': 12000, 'sps': '37.6', 'episodes': 60, 'phi/obj': '-2.176e-08', 'sac/actor_loss': '-22.32', 'sac/alpha': '0.1428', 'sac/q_loss': '0.003021', 'sac/reward_mean': '0.005516'}
{'step': 13000, 'sps': '36.7', 'episodes': 65, 'phi/obj': '-2.181e-08', 'sac/actor_loss': '-22.29', 'sac/alpha': '0.1058', 'sac/q_loss': '0.002088', 'sac/reward_mean': '0.004832'}
{'step': 14000, 'sps': '36', 'episodes': 70, 'phi/obj': '-2.241e-08', 'sac/actor_loss': '-21.99', 'sac/alpha': '0.07838', 'sac/q_loss': '0.00146', 'sac/reward_mean': '0.004205'}
{'step': 15000, 'sps': '35.5', 'episodes': 75, 'phi/obj': '-2.26e-08', 'sac/actor_loss': '-21.48', 'sac/alpha': '0.05807', 'sac/q_loss': '0.001094', 'sac/reward_mean': '0.003323'}
{'step': 16000, 'sps': '35', 'episodes': 80, 'phi/obj': '-2.114e-08', 'sac/actor_loss': '-20.85', 'sac/alpha': '0.04303', 'sac/q_loss': '0.0008388', 'sac/reward_mean': '0.002807'}
