run=dads_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.9', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.9', 'episodes': 20}
{'step': 5000, 'sps': '65', 'episodes': 25}
{'step': 6000, 'sps': '53.7', 'episodes': 30, 'phi/obj': '-1.37e-05', 'sac/actor_loss': '-6.732', 'sac/alpha': '0.864', 'sac/q_loss': '0.2317', 'sac/reward_mean': '0.01307'}
{'step': 7000, 'sps': '47.8', 'episodes': 35, 'phi/obj': '-4.649e-08', 'sac/actor_loss': '-12.34', 'sac/alpha': '0.64', 'sac/q_loss': '0.03626', 'sac/reward_mean': '0.009278'}
{'step': 8000, 'sps': '44.1', 'episodes': 40, 'phi/obj': '-2.403e-08', 'sac/actor_loss': '-16.47', 'sac/alpha': '0.4741', 'sac/q_loss': '0.02181', 'sac/reward_mean': '0.007919'}
{'step': 9000, 'sps': '41.6', 'episodes': 45, 'phi/obj': '-2.212e-08', 'sac/actor_loss': '-19.18', 'sac/alpha': '0.3512', 'sac/q_loss': '0.01305', 'sac/reward_mean': '0.006771'}
{'step': 10000, 'sps': '39.9', 'episodes': 50, 'phi/obj': '-1.804e-08', 'sac/actor_loss': '-20.85', 'sac/alpha': '0.2602', 'sac/q_loss': '0.007841', 'sac/reward_mean': '0.00565'}
{'step': 11000, 'sps': '38.5', 'episodes': 55, 'phi/obj': '-1.899e-08', 'sac/actor_loss': '-21.76', 'sac/alpha': '0.1928', 'sac/q_loss': '0.004893', 'sac/reward_mean': '0.004951'}
{'step': 12000, 'sps': '37.5', 'episodes': 60, 'phi/obj': '-2.224e-08', 'sac/actor_loss': '-22.13', 'sac/alpha': '0.1428', 'sac/q_loss': '0.003114', 'sac/reward_mean': '0.004215'}
{'step': 13000, 'sps': '36.6', 'episodes': 65, 'phi/obj': '-2.299e-08', 'sac/actor_loss': '-22.14', 'sac/alpha': '0.1058', 'sac/q_loss': '0.00212', 'sac/reward_mean': '0.00358'}
{'step': 14000, 'sps': '35.9', 'episodes': 70, 'phi/obj': '-2.201e-08', 'sac/actor_loss': '-21.86', 'sac/alpha': '0.07838', 'sac/q_loss': '0.001583', 'sac/reward_mean': '0.003113'}
{'step': 15000, 'sps': '35.3', 'episodes': 75, 'phi/obj': '-2.243e-08', 'sac/actor_loss': '-21.36', 'sac/alpha': '0.05807', 'sac/q_loss': '0.001094', 'sac/reward_mean': '0.002639'}
{'step': 16000, 'sps': '34.9', 'episodes': 80, 'phi/obj': '-2.154e-08', 'sac/actor_loss': '-20.72', 'sac/alpha': '0.04303', 'sac/q_loss': '0.0008836', 'sac/reward_mean': '0.002205'}
{'step': 17000, 'sps': '34.4', 'episodes': 85, 'phi/obj': '-1.995e-08', 'sac/actor_loss': '-20.02', 'sac/alpha': '0.03189', 'sac/q_loss': '0.000709', 'sac/reward_mean': '0.00192'}
{'step': 18000, 'sps': '34.1', 'episodes': 90, 'phi/obj': '-1.926e-08', 'sac/actor_loss': '-19.27', 'sac/alpha': '0.02365', 'sac/q_loss': '0.0005701', 'sac/reward_mean': '0.001751'}
{'step': 19000, 'sps': '33.8', 'episodes': 95, 'phi/obj': '-1.996e-08', 'sac/actor_loss': '-18.49', 'sac/alpha': '0.01754', 'sac/q_loss': '0.0004989', 'sac/reward_mean': '0.00154'}
{'step': 20000, 'sps': '33.5', 'episodes': 100, 'phi/obj': '-1.874e-08', 'sac/actor_loss': '-17.72', 'sac/alpha': '0.01303', 'sac/q_loss': '0.0003953', 'sac/reward_mean': '0.001381'}
{'step': 21000, 'sps': '33.2', 'episodes': 105, 'phi/obj': '-1.881e-08', 'sac/actor_loss': '-16.95', 'sac/alpha': '0.00969', 'sac/q_loss': '0.000374', 'sac/reward_mean': '0.001257'}
{'step': 22000, 'sps': '33', 'episodes': 110, 'phi/obj': '-1.884e-08', 'sac/actor_loss': '-16.2', 'sac/alpha': '0.00722', 'sac/q_loss': '0.0003426', 'sac/reward_mean': '0.001108'}
{'step': 23000, 'sps': '32.8', 'episodes': 115, 'phi/obj': '-1.827e-08', 'sac/actor_loss': '-15.46', 'sac/alpha': '0.005391', 'sac/q_loss': '0.0003017', 'sac/reward_mean': '0.0009634'}
{'step': 24000, 'sps': '32.6', 'episodes': 120, 'phi/obj': '-1.815e-08', 'sac/actor_loss': '-14.75', 'sac/alpha': '0.004033', 'sac/q_loss': '0.000289', 'sac/reward_mean': '0.00085'}
