run=dads_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.7', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.8', 'episodes': 20}
{'step': 5000, 'sps': '64.9', 'episodes': 25}
{'step': 6000, 'sps': '53.6', 'episodes': 30, 'phi/obj': '-0.000255', 'sac/actor_loss': '-6.758', 'sac/alpha': '0.864', 'sac/q_loss': '0.2754', 'sac/reward_mean': '0.05631'}
{'step': 7000, 'sps': '47.7', 'episodes': 35, 'phi/obj': '-0.0002455', 'sac/actor_loss': '-12.75', 'sac/alpha': '0.6404', 'sac/q_loss': '0.135', 'sac/reward_mean': '0.09916'}
{'step': 8000, 'sps': '44', 'episodes': 40, 'phi/obj': '-0.0002511', 'sac/actor_loss': '-17.66', 'sac/alpha': '0.4761', 'sac/q_loss': '0.2108', 'sac/reward_mean': '0.1603'}
{'step': 9000, 'sps': '41.5', 'episodes': 45, 'phi/obj': '-0.0002685', 'sac/actor_loss': '-21.82', 'sac/alpha': '0.3563', 'sac/q_loss': '0.3511', 'sac/reward_mean': '0.2464'}
{'step': 10000, 'sps': '39.8', 'episodes': 50, 'phi/obj': '-0.0002859', 'sac/actor_loss': '-25.45', 'sac/alpha': '0.2692', 'sac/q_loss': '0.5946', 'sac/reward_mean': '0.356'}
{'step': 11000, 'sps': '38.5', 'episodes': 55, 'phi/obj': '-0.0003132', 'sac/actor_loss': '-29.17', 'sac/alpha': '0.2068', 'sac/q_loss': '0.9171', 'sac/reward_mean': '0.4218'}
{'step': 12000, 'sps': '37.4', 'episodes': 60, 'phi/obj': '-0.0003143', 'sac/actor_loss': '-33.47', 'sac/alpha': '0.1612', 'sac/q_loss': '1.167', 'sac/reward_mean': '0.543'}
{'step': 13000, 'sps': '36.6', 'episodes': 65, 'phi/obj': '-0.0003167', 'sac/actor_loss': '-38.04', 'sac/alpha': '0.1289', 'sac/q_loss': '1.492', 'sac/reward_mean': '0.6237'}
{'step': 14000, 'sps': '35.9', 'episodes': 70, 'phi/obj': '-0.000301', 'sac/actor_loss': '-43.28', 'sac/alpha': '0.1062', 'sac/q_loss': '1.589', 'sac/reward_mean': '0.6444'}
{'step': 15000, 'sps': '35.3', 'episodes': 75, 'phi/obj': '-0.0002941', 'sac/actor_loss': '-48.8', 'sac/alpha': '0.09022', 'sac/q_loss': '1.977', 'sac/reward_mean': '0.6913'}
{'step': 16000, 'sps': '34.8', 'episodes': 80, 'phi/obj': '-0.0002864', 'sac/actor_loss': '-53.74', 'sac/alpha': '0.08228', 'sac/q_loss': '2.22', 'sac/reward_mean': '0.7319'}
