run,method,family,batch,buffer,env_steps,episodes,eval_cov_1d,eval_cov_2d,eval_disp_1d,eval_disp_2d,final_reward_per_step,gamma,gc_improvement,grad_updates,hidden,lr,measure,metric,objective,params_critics,params_policy,params_repr,params_total,phi_input,reward_scale,seed,skill_dim,soil_moved_per_ep_m,steps_per_s,tau,train_hours
abl_euclid_2d_s0,ablation (2D measure),distance-max (Euclidean),256,150000,200000,1000,0.338,0.246,0.253,0.183,0.0402,0.99,,200000,256,0.0003,2d,euclidean,metra,154114,77574,361988,593676,hist,100.0,0,4,0.211,23.0,0.005,2.42
abl_euclid_rt_d4,ablation,distance-max (Euclidean),256,300000,200000,1000,0.376,0.264,0.353,0.251,0.0336,0.99,,200000,256,0.0003,1d,euclidean,metra,154114,77574,83460,315148,hist,100.0,0,4,0.211,42.1,0.005,1.32
abl_euclid_rt_d4_s1,ablation,distance-max (Euclidean),256,300000,200000,1000,0.31,0.218,0.256,0.181,0.0461,0.99,,200000,256,0.0003,1d,euclidean,metra,154114,77574,83460,315148,hist,100.0,1,4,0.198,27.2,0.005,2.04
abl_euclid_rt_d4_s2,ablation,distance-max (Euclidean),256,300000,200000,1000,0.368,0.259,0.301,0.213,0.0387,0.99,,200000,256,0.0003,1d,euclidean,metra,154114,77574,83460,315148,hist,100.0,2,4,0.221,27.3,0.005,2.04
abl_fullstate_temporal,"METRA (vanilla, full-state)",distance-max (temporal),256,300000,200000,1000,0.088,0.063,0.073,0.052,75.1715,0.99,,200000,256,0.0003,1d,temporal,metra,154114,77574,76036,307724,obs,100.0,0,4,0.053,38.6,0.005,1.44
abl_fullstate_temporal_s1,"METRA (vanilla, full-state)",distance-max (temporal),256,300000,200000,1000,0.028,0.021,0.042,0.03,75.1238,0.99,,200000,256,0.0003,1d,temporal,metra,154114,77574,76036,307724,obs,100.0,1,4,0.044,34.9,0.005,1.59
abl_fullstate_temporal_s2,"METRA (vanilla, full-state)",distance-max (temporal),256,300000,200000,1000,0.002,0.002,0.033,0.024,73.6304,0.99,,200000,256,0.0003,1d,temporal,metra,154114,77574,76036,307724,obs,100.0,2,4,0.051,35.1,0.005,1.58
abl_temporal_2d_s0,METRA-style (2D measure),distance-max (temporal),256,150000,200000,1000,0.296,0.214,0.199,0.144,19.1625,0.99,,200000,256,0.0003,2d,temporal,metra,154114,77574,361988,593676,hist,100.0,0,4,0.182,22.5,0.005,2.47
abl_temporal_rt_d4,METRA + our factorization,distance-max (temporal),256,300000,200000,1000,0.392,0.274,0.316,0.223,16.9243,0.99,,200000,256,0.0003,1d,temporal,metra,154114,77574,83460,315148,hist,100.0,0,4,0.213,40.9,0.005,1.36
abl_temporal_rt_d4_s1,METRA + our factorization,distance-max (temporal),256,300000,200000,1000,0.203,0.145,0.138,0.098,11.6662,0.99,,200000,256,0.0003,1d,temporal,metra,154114,77574,83460,315148,hist,100.0,1,4,0.208,27.3,0.005,2.04
abl_temporal_rt_d4_s2,METRA + our factorization,distance-max (temporal),256,300000,200000,1000,0.276,0.191,0.27,0.19,13.1944,0.99,,200000,256,0.0003,1d,temporal,metra,154114,77574,83460,315148,hist,100.0,2,4,0.199,35.2,0.005,1.58
dads_full_s0,"DADS (vanilla, full-state)",skill dynamics,256,300000,200000,1000,0.057,0.043,0.054,0.039,0.3095,0.99,,200000,256,0.0003,1d,w2,dads,154114,77574,161063,392751,obs,1.0,0,4,0.057,29.4,0.005,1.89
dads_full_s1,"DADS (vanilla, full-state)",skill dynamics,256,300000,200000,1000,0.203,0.149,0.17,0.123,0.2369,0.99,,200000,256,0.0003,1d,w2,dads,154114,77574,161063,392751,obs,1.0,1,4,0.058,29.3,0.005,1.9
