step,sps,episodes,phi/obj,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,69.8,30,0.7802958245109767,-8.55319213438034,0.8640436172485352,0.35670804481767115,0.78472959022969
7000,64.7,35,0.9553468492031097,-18.202460099220275,0.6400317668318748,0.051652519859373566,0.9568512563705445
8000,61.4,40,0.9638753039240837,-26.529126579284668,0.4741204347908497,0.035149021024815735,0.965214007794857
9000,59.1,45,0.9685745471119881,-33.3505968208313,0.3512489256262779,0.025168330556713046,0.970017642378807
10000,57.3,50,0.9740911504626274,-39.00835671615601,0.2602468846440315,0.017460085128899662,0.9753837001919746
11000,56.0,55,0.9718676218390465,-43.705701587677005,0.19285598497092724,0.01782195173250511,0.9730499526858329
12000,54.5,60,0.9756758311986923,-47.695829627990726,0.14296232514828444,0.01698904098197818,0.9768397605419159
13000,53.7,65,0.9840646911263465,-51.24090392684936,0.10605098229646683,0.010072480897884815,0.984974325120449
14000,52.7,70,0.9854657782316207,-54.38254860687256,0.07875224762409926,0.009378681245725601,0.986387249648571
15000,51.7,75,0.987124169588089,-57.18053134155274,0.058578548502177,0.008742869601584971,0.9878777652382851
16000,50.9,80,0.9880407770872116,-59.74967365264892,0.04370244834199548,0.00935198655957356,0.9887287470102311
17000,50.1,85,0.9874353140592576,-62.16485116195679,0.03275336883403361,0.009559146241750568,0.988343440592289
18000,49.6,90,0.9866309970021248,-64.36360145187378,0.024660032233223318,0.012141738654114305,0.9875841617584229
19000,49.3,95,0.98707948076725,-66.37855127716064,0.018636252174153923,0.011716050648130477,0.9880740674138069
20000,49.0,100,0.987775823533535,-68.18176162719726,0.014184605503454805,0.15237451325543225,0.988719896376133
21000,48.7,105,0.9870959941148758,-69.89211967468262,0.010950132813304663,0.23608837246289477,0.9879485008716583
22000,48.4,110,0.98722830671072,-71.5610078125,0.008537407013121992,0.27957689358154314,0.9881624439954758
23000,48.3,115,0.9856062837839127,-73.09603107452392,0.006779011287260801,0.38637852951232343,0.9867553136944771
24000,48.1,120,0.9835766791701317,-74.54902890777588,0.005490915830712766,0.32995724260713905,0.984994119822979
25000,48.0,125,0.9839634206295014,-75.92325758361817,0.004762018393259495,0.3957461717808619,0.9852683858275414
26000,47.9,130,0.9813867403268814,-77.24509590148926,0.004346273191738873,0.4206371771208942,0.9829759939312935
27000,47.6,135,0.981573194205761,-78.39004152679443,0.003972764529520645,0.4067400050135329,0.9830606843829155
28000,47.4,140,0.9828461326956749,-79.46706005096435,0.0037952054005581885,0.3549433602485806,0.98427416151762
29000,47.3,145,0.9845674967169762,-80.46372177886963,0.0037484069028869272,0.49478860571235417,0.9858345185518265
30000,47.1,150,0.9847404819726944,-81.4322022857666,0.0038893863572739065,0.38588515582401306,0.9861387902498245
31000,46.9,155,0.9852804050445557,-82.38247134399414,0.004158225693274289,0.3799323609471321,0.9866424139142036
32000,46.8,160,0.9835191362500191,-83.294670211792,0.004222211330197751,0.3208642658349127,0.9850033465027809
