episode,step,return,len,terminal_w2_from_start,z
1,200,3.0709779411554337,200,0.04822787571559565,+0.187 -0.196 +0.950 +0.156
2,400,145.4841541647911,200,0.03902562352180196,-0.308 +0.208 +0.751 +0.545
3,600,-20.775539331138134,200,0.04004735733235541,-0.446 -0.802 -0.395 +0.026
4,800,50.16875755786896,200,0.04183436304442235,-0.847 -0.080 -0.454 -0.267
5,1000,144.61877876520157,200,0.026794615217326966,-0.423 -0.246 +0.320 +0.811
6,1200,105.32792764902115,200,0.038225466516076646,-0.082 +0.873 -0.425 +0.225
7,1400,-160.8546086549759,200,0.030809179357295793,+0.605 +0.063 -0.498 -0.618
8,1600,21.260017946362495,200,0.031427959104822364,-0.398 +0.192 -0.878 -0.182
9,1800,168.0198283791542,200,0.03316568164860142,-0.227 +0.772 +0.307 +0.508
10,2000,156.3615369796753,200,0.033695090196298697,-0.361 -0.071 +0.432 +0.823
11,2200,165.83996826410294,200,0.035996196927260776,-0.502 +0.603 +0.536 +0.311
12,2400,94.1977906525135,200,0.03282766171014912,+0.107 -0.127 +0.589 +0.791
13,2600,-99.8664924800396,200,0.03479905550261701,+0.703 +0.513 +0.140 -0.472
14,2800,51.816212207078934,200,0.03706885135645199,-0.003 +0.438 -0.859 +0.264
15,3000,-68.68100979924202,200,0.032623137426019695,+0.271 +0.439 -0.748 -0.418
16,3200,-32.61053955554962,200,0.0375410166529438,-0.199 -0.532 +0.791 -0.226
17,3400,70.97151350975037,200,0.03946141946608882,+0.156 -0.123 +0.753 +0.628
18,3600,-72.65442848205566,200,0.031229791035005203,+0.265 -0.921 +0.022 +0.286
19,3800,-120.88480907678604,200,0.03542344888525454,+0.395 -0.243 +0.717 -0.520
20,4000,184.6801713705063,200,0.037667177733932085,-0.287 +0.405 +0.021 +0.868
21,4200,-173.02497220039368,200,0.035096433748822486,+0.142 -0.476 -0.284 -0.820
22,4400,195.50210428237915,200,0.034004193634956825,-0.635 +0.314 +0.289 +0.644
23,4600,178.74599808454514,200,0.03577783390432024,-0.308 +0.691 -0.117 +0.644
24,4800,96.2051890194416,200,0.043306741679017866,-0.318 -0.540 +0.183 +0.757
25,5000,-140.01802122592926,200,0.033729892719872215,+0.079 -0.288 -0.660 -0.689
26,5200,-62.59943774342537,200,0.03962267585155545,+0.324 +0.637 -0.106 -0.692
27,5400,-49.51963106915355,200,0.04010461369169307,+0.009 +0.806 +0.473 -0.356
28,5600,-26.097777273505926,200,0.03725284287223648,+0.228 -0.641 -0.444 +0.582
29,5800,138.08178955316544,200,0.03401782423042297,-0.778 -0.600 +0.157 +0.097
30,6000,-55.54866752028465,200,0.03872008336040612,-0.728 +0.132 +0.319 -0.593
31,6200,164.1462693363428,200,0.02326638501129917,-0.396 +0.046 +0.505 +0.765
32,6400,-46.60728134959936,200,0.033771848590895465,+0.529 +0.163 -0.366 -0.748
33,6600,29.256616596132517,200,0.03801467564513605,-0.371 +0.406 +0.476 -0.686
34,6800,35.905927773565054,200,0.041939861864473744,+0.446 -0.111 -0.171 -0.872
35,7000,27.239119194447994,200,0.02690121121441945,+0.217 +0.133 +0.658 +0.708
36,7200,108.22803544998169,200,0.041138108155321436,+0.315 -0.090 -0.945 -0.011
37,7400,-158.4449239373207,200,0.028369992370806056,+0.162 -0.677 +0.429 +0.576
38,7600,85.35147392749786,200,0.03744364623395769,+0.658 +0.519 -0.492 -0.235
39,7800,46.68861048668623,200,0.03637759532795716,-0.543 -0.057 +0.491 -0.679
40,8000,166.4598826766014,200,0.03264436468281341,-0.044 +0.855 -0.414 +0.308
41,8200,91.84742869436741,200,0.03456502035403204,+0.669 -0.633 -0.389 +0.002
42,8400,136.439297914505,200,0.03809714209785225,+0.281 +0.606 -0.741 -0.064
43,8600,18.33276131004095,200,0.03732669287073533,-0.431 -0.591 -0.287 -0.618
44,8800,137.18621291220188,200,0.038393126808251854,+0.311 -0.887 +0.088 -0.330
45,9000,-71.51057866215706,200,0.03769568401221687,-0.017 +0.469 -0.847 +0.250
46,9200,88.30113781988621,200,0.0319696244471273,+0.787 -0.383 +0.328 -0.355
47,9400,-28.710929796099663,200,0.03379225461673569,+0.367 +0.257 +0.293 -0.845
48,9600,165.33539149165154,200,0.03126413255767186,-0.258 +0.827 +0.460 +0.196
49,9800,81.72114427387714,200,0.03351080358158996,-0.048 -0.156 -0.429 -0.889
50,10000,-90.70131775736809,200,0.04035096725617703,+0.033 +0.733 +0.647 -0.208
51,10200,147.16154956817627,200,0.031115475167930944,+0.060 +0.035 +0.949 +0.306
52,10400,-46.37511473894119,200,0.030324294960510968,-0.828 -0.517 -0.206 -0.072
53,10600,167.32955113053322,200,0.039213342493524594,+0.938 -0.130 +0.291 -0.139
54,10800,-121.78917983174324,200,0.038088880318703874,-0.807 +0.192 -0.247 -0.501
55,11000,-121.56088474392891,200,0.033458669847001486,-0.270 +0.335 +0.424 +0.797
56,11200,95.7828440964222,200,0.036360177822022575,-0.421 -0.040 -0.823 -0.379
57,11400,45.06465768814087,200,0.031842300939449286,-0.441 +0.439 -0.001 +0.782
58,11600,52.9854352325201,200,0.03299060347022999,+0.706 -0.526 -0.157 -0.447
59,11800,-97.53517550230026,200,0.03953531743408873,-0.967 -0.141 +0.207 -0.041
60,12000,150.81109984219074,200,0.0412266153398831,-0.578 -0.107 -0.809 -0.007
61,12200,82.76900094002485,200,0.026256533050313745,-0.064 +0.641 -0.579 +0.499
62,12400,30.7945818901062,200,0.028823391272441982,+0.002 -0.607 +0.135 +0.783
63,12600,141.8786942064762,200,0.03461438683488732,+0.484 -0.173 -0.598 -0.615
64,12800,85.97612117230892,200,0.036922718103763734,-0.014 +0.867 -0.019 -0.498
65,13000,122.03464952111244,200,0.03436637580237449,-0.098 +0.863 +0.033 +0.495
66,13200,104.44012668728828,200,0.03470239957140115,-0.208 +0.296 -0.518 -0.775
67,13400,97.67577098309994,200,0.028704918126407526,+0.057 -0.707 -0.687 -0.160
68,13600,-57.048686884343624,200,0.03099258188359358,-0.466 -0.763 -0.446 +0.043
69,13800,62.119482807815075,200,0.03564480187338517,-0.051 +0.796 +0.403 -0.448
70,14000,67.6856371872127,200,0.03155036963791883,+0.821 +0.047 +0.530 -0.209
71,14200,70.8711733147502,200,0.04354040463004092,-0.564 -0.799 +0.097 -0.186
72,14400,41.85207779146731,200,0.04015056700168245,+0.927 -0.068 -0.236 +0.282
73,14600,-94.26952780038118,200,0.04271370106577782,-0.541 +0.749 -0.303 -0.234
74,14800,52.22751471400261,200,0.03011297423872375,+0.341 -0.775 +0.395 -0.355
75,15000,-30.08588917553425,200,0.03655389281086036,-0.117 -0.738 -0.634 +0.198
76,15200,-24.936495751142502,200,0.037409606640889895,-0.350 +0.147 +0.923 +0.056
77,15400,-65.01475410163403,200,0.029563794563698925,-0.366 +0.405 -0.829 -0.122
78,15600,-115.03906524181366,200,0.038620715316428,+0.865 +0.202 -0.460 -0.008
79,15800,-51.81817710399628,200,0.02795086701912213,-0.189 -0.577 +0.256 +0.752
80,16000,64.64877896755934,200,0.044484220658269985,+0.229 +0.109 +0.308 -0.917
81,16200,94.52471613883972,200,0.03420521709667744,-0.056 -0.827 +0.335 -0.449
82,16400,115.77988469600677,200,0.029947607875462825,-0.478 -0.182 +0.838 +0.190
83,16600,131.42796475440264,200,0.03189474633223219,+0.926 +0.285 -0.246 +0.020
84,16800,65.95212404429913,200,0.03896461634631211,+0.435 +0.557 -0.673 +0.217
85,17000,54.45738235116005,200,0.03605956675787117,+0.830 +0.119 +0.038 +0.544
86,17200,32.187833957374096,200,0.0280788774555276,+0.698 -0.041 -0.432 +0.570
87,17400,-51.1966450214386,200,0.03783501967631554,+0.418 +0.120 +0.086 +0.896
88,17600,42.1546256840229,200,0.04297351191880098,+0.023 +0.397 -0.891 +0.217
89,17800,116.12955290079117,200,0.03795711139613325,+0.470 -0.112 +0.328 +0.812
90,18000,-141.69949454069138,200,0.040387232562076235,+0.889 -0.056 -0.292 -0.347
91,18200,-24.581572595983744,200,0.03863077434843173,+0.078 +0.448 -0.530 -0.716
92,18400,83.40271338820457,200,0.04091201389102345,+0.865 -0.419 +0.197 +0.195
93,18600,-13.536533176898956,200,0.041330177978677746,-0.563 -0.316 -0.726 +0.239
94,18800,120.6235443353653,200,0.031849669766846285,+0.446 +0.602 -0.616 +0.244
95,19000,-38.65201658010483,200,0.030562305714571317,-0.655 -0.687 +0.305 -0.076
96,19200,102.89284786581993,200,0.035029146763624765,-0.306 -0.157 -0.161 +0.925
97,19400,-49.79546353593469,200,0.03379762549882623,+0.014 -0.937 -0.348 +0.012
98,19600,-20.97208558022976,200,0.036621152208876295,-0.595 +0.709 -0.373 -0.062
99,19800,86.19645273685455,200,0.03206803041554787,+0.360 -0.512 -0.340 -0.702
100,20000,37.09285280108452,200,0.032783105699664035,-0.052 +0.827 +0.040 -0.559
101,20200,132.4599092528224,200,0.0389398278545433,-0.327 +0.489 -0.629 +0.509
102,20400,-148.784621655941,200,0.0370587626073452,+0.717 +0.026 +0.344 -0.605
103,20600,12.330708503723145,200,0.03664792821444173,-0.550 +0.641 +0.139 +0.517
104,20800,20.656483948230743,200,0.04283681907984983,-0.165 -0.397 -0.470 -0.771
105,21000,-150.71038308739662,200,0.035726104723158264,-0.632 -0.755 +0.149 +0.096
106,21200,124.57295163720846,200,0.0412638400540457,+0.874 +0.003 +0.359 +0.326
107,21400,178.87461298704147,200,0.03759175790403129,+0.361 +0.207 -0.902 -0.113
108,21600,140.24049907922745,200,0.03510244623113426,+0.758 +0.309 -0.573 +0.042
109,21800,-91.35233055055141,200,0.03330941861484029,-0.559 -0.020 +0.258 -0.788
110,22000,108.60594605654478,200,0.031134770331519877,+0.542 -0.336 +0.725 -0.260
111,22200,-78.70967803895473,200,0.03760690986970516,+0.094 -0.953 -0.267 -0.104
112,22400,17.211541086435318,200,0.03840894439655384,+0.665 -0.508 +0.052 +0.544
113,22600,163.68086716532707,200,0.04027600224829328,+0.177 -0.396 -0.701 -0.566
114,22800,30.046485632658005,200,0.04599476214546669,+0.079 +0.969 -0.035 -0.231
115,23000,60.21881125122309,200,0.038629834160887805,+0.593 -0.748 -0.296 -0.042
116,23200,79.06168722733855,200,0.033122702421347336,+0.449 +0.321 -0.332 +0.765
117,23400,-134.7613247334957,200,0.05101937644750296,-0.540 +0.782 +0.310 -0.010
118,23600,2.8843786120414734,200,0.037955434632889404,+0.630 -0.168 +0.450 +0.610
119,23800,-114.87690940499306,200,0.024535793824761617,+0.798 -0.181 -0.349 -0.457
120,24000,159.23585450649261,200,0.037129009058216464,+0.170 +0.043 +0.838 +0.516
121,24200,-27.672981038689613,200,0.038147279571216136,-0.387 -0.308 -0.234 -0.837
122,24400,39.89780358225107,200,0.04202269487070954,+0.701 +0.072 -0.683 -0.193
123,24600,132.64056433737278,200,0.03332950272317609,-0.537 -0.480 +0.688 +0.091
124,24800,107.39578653033823,200,0.036758327395387945,-0.011 -0.518 -0.283 -0.807
125,25000,56.432090766727924,200,0.03636545843766101,-0.431 -0.671 +0.591 +0.122
126,25200,-4.590226463973522,200,0.03600264160880205,-0.800 -0.306 +0.508 -0.089
127,25400,116.40656742453575,200,0.034695266483994694,-0.203 -0.522 +0.750 +0.352
128,25600,108.6319835446775,200,0.05113987954234483,-0.959 -0.195 -0.203 -0.023
129,25800,-105.03772693872452,200,0.028697654769361716,-0.415 -0.876 +0.071 +0.235
130,26000,30.96683019027114,200,0.22289306914297805,-0.296 +0.688 -0.291 +0.596
131,26200,-61.79391688108444,200,0.03472861220240622,+0.334 -0.355 +0.870 -0.072
132,26400,138.36956384778023,200,0.038665138915912625,+0.805 -0.147 -0.552 -0.159
133,26600,-30.48713530600071,200,0.033127561097771464,-0.787 -0.234 -0.239 -0.518
134,26800,-99.91589640080929,200,0.03719095194589054,-0.722 +0.352 +0.360 +0.475
135,27000,-31.9216492427513,200,0.03534835707875883,-0.789 -0.388 +0.004 +0.476
136,27200,76.8910385966301,200,0.03506162692481142,-0.058 +0.557 +0.428 -0.710
137,27400,-22.102137327194214,200,0.042099160497265434,-0.427 +0.224 +0.450 -0.752
138,27600,110.71284198760986,200,0.03863947005652407,-0.780 -0.368 +0.345 -0.371
139,27800,-75.51948761940002,200,0.04284271558582855,-0.086 -0.039 -0.137 +0.986
140,28000,47.018607161939144,200,0.029428748525056413,+0.094 +0.534 +0.177 +0.821
141,28200,84.74245914816856,200,0.04360443687126479,-0.456 +0.571 +0.097 -0.676
142,28400,-73.3913801908493,200,0.032399349847910965,+0.793 -0.174 +0.559 -0.167
143,28600,10.712066367268562,200,0.04069809390145734,+0.395 +0.240 +0.180 -0.868
144,28800,106.92852072417736,200,0.03062189900677377,+0.412 +0.532 +0.098 +0.734
145,29000,57.256441824138165,200,0.033585290674463836,+0.922 +0.107 +0.236 -0.287
146,29200,57.260333648882806,200,0.035478217893100426,+0.866 -0.224 +0.429 +0.127
147,29400,-32.128998912870884,200,0.030886757509862556,+0.845 +0.415 -0.295 +0.162
148,29600,-36.49702949821949,200,0.03653524384780202,+0.276 +0.584 +0.529 -0.550
149,29800,87.4968380779028,200,0.033319733696199255,-0.354 -0.798 -0.054 +0.484
