run=mi_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.7', 'episodes': 5}
{'step': 2000, 'sps': '69.3', 'episodes': 10}
{'step': 3000, 'sps': '67.3', 'episodes': 15}
{'step': 4000, 'sps': '66.3', 'episodes': 20}
{'step': 5000, 'sps': '65.7', 'episodes': 25}
{'step': 6000, 'sps': '51.9', 'episodes': 30, 'phi/obj': '0.5348', 'sac/actor_loss': '-7.948', 'sac/alpha': '0.864', 'sac/q_loss': '0.3713', 'sac/reward_mean': '0.5393'}
{'step': 7000, 'sps': '45.1', 'episodes': 35, 'phi/obj': '0.8926', 'sac/actor_loss': '-17.09', 'sac/alpha': '0.64', 'sac/q_loss': '0.05073', 'sac/reward_mean': '0.8947'}
{'step': 8000, 'sps': '41', 'episodes': 40, 'phi/obj': '0.9293', 'sac/actor_loss': '-25.27', 'sac/alpha': '0.4741', 'sac/q_loss': '0.0378', 'sac/reward_mean': '0.9306'}
{'step': 9000, 'sps': '38.4', 'episodes': 45, 'phi/obj': '0.9064', 'sac/actor_loss': '-31.88', 'sac/alpha': '0.3512', 'sac/q_loss': '0.03977', 'sac/reward_mean': '0.9076'}
{'step': 10000, 'sps': '36.5', 'episodes': 50, 'phi/obj': '0.9066', 'sac/actor_loss': '-37.24', 'sac/alpha': '0.2602', 'sac/q_loss': '0.02181', 'sac/reward_mean': '0.9078'}
{'step': 11000, 'sps': '35.1', 'episodes': 55, 'phi/obj': '0.9205', 'sac/actor_loss': '-41.79', 'sac/alpha': '0.1928', 'sac/q_loss': '0.02057', 'sac/reward_mean': '0.922'}
{'step': 12000, 'sps': '33.9', 'episodes': 60, 'phi/obj': '0.9179', 'sac/actor_loss': '-45.65', 'sac/alpha': '0.1429', 'sac/q_loss': '0.02683', 'sac/reward_mean': '0.9194'}
{'step': 13000, 'sps': '33.1', 'episodes': 65, 'phi/obj': '0.903', 'sac/actor_loss': '-48.93', 'sac/alpha': '0.1059', 'sac/q_loss': '0.04586', 'sac/reward_mean': '0.9043'}
{'step': 14000, 'sps': '32.3', 'episodes': 70, 'phi/obj': '0.9023', 'sac/actor_loss': '-51.7', 'sac/alpha': '0.07855', 'sac/q_loss': '0.03398', 'sac/reward_mean': '0.9036'}
{'step': 15000, 'sps': '31.7', 'episodes': 75, 'phi/obj': '0.8993', 'sac/actor_loss': '-54.1', 'sac/alpha': '0.05838', 'sac/q_loss': '0.02909', 'sac/reward_mean': '0.9005'}
{'step': 16000, 'sps': '31.2', 'episodes': 80, 'phi/obj': '0.8904', 'sac/actor_loss': '-56.21', 'sac/alpha': '0.04357', 'sac/q_loss': '0.02714', 'sac/reward_mean': '0.8923'}
{'step': 17000, 'sps': '30.8', 'episodes': 85, 'phi/obj': '0.9009', 'sac/actor_loss': '-58.21', 'sac/alpha': '0.03262', 'sac/q_loss': '0.02832', 'sac/reward_mean': '0.9032'}
{'step': 18000, 'sps': '30.8', 'episodes': 90, 'phi/obj': '0.901', 'sac/actor_loss': '-60.15', 'sac/alpha': '0.02444', 'sac/q_loss': '0.0325', 'sac/reward_mean': '0.9026'}
{'step': 19000, 'sps': '30.8', 'episodes': 95, 'phi/obj': '0.8949', 'sac/actor_loss': '-61.81', 'sac/alpha': '0.01841', 'sac/q_loss': '0.04', 'sac/reward_mean': '0.8967'}
{'step': 20000, 'sps': '30.8', 'episodes': 100, 'phi/obj': '0.905', 'sac/actor_loss': '-63.36', 'sac/alpha': '0.01397', 'sac/q_loss': '0.0315', 'sac/reward_mean': '0.9067'}
{'step': 21000, 'sps': '30.9', 'episodes': 105, 'phi/obj': '0.9213', 'sac/actor_loss': '-64.91', 'sac/alpha': '0.01067', 'sac/q_loss': '0.02616', 'sac/reward_mean': '0.9229'}
{'step': 22000, 'sps': '30.9', 'episodes': 110, 'phi/obj': '0.932', 'sac/actor_loss': '-66.44', 'sac/alpha': '0.008166', 'sac/q_loss': '0.03907', 'sac/reward_mean': '0.9335'}
{'step': 23000, 'sps': '30.9', 'episodes': 115, 'phi/obj': '0.9335', 'sac/actor_loss': '-67.86', 'sac/alpha': '0.006331', 'sac/q_loss': '0.0392', 'sac/reward_mean': '0.9349'}
{'step': 24000, 'sps': '30.9', 'episodes': 120, 'phi/obj': '0.9293', 'sac/actor_loss': '-69.17', 'sac/alpha': '0.005089', 'sac/q_loss': '0.05391', 'sac/reward_mean': '0.9309'}
{'step': 25000, 'sps': '30.9', 'episodes': 125, 'phi/obj': '0.9336', 'sac/actor_loss': '-70.47', 'sac/alpha': '0.004315', 'sac/q_loss': '0.04626', 'sac/reward_mean': '0.9351'}
{'step': 26000, 'sps': '30.9', 'episodes': 130, 'phi/obj': '0.9421', 'sac/actor_loss': '-71.73', 'sac/alpha': '0.00383', 'sac/q_loss': '0.04644', 'sac/reward_mean': '0.9438'}
{'step': 27000, 'sps': '31', 'episodes': 135, 'phi/obj': '0.9524', 'sac/actor_loss': '-72.9', 'sac/alpha': '0.003458', 'sac/q_loss': '0.07059', 'sac/reward_mean': '0.9536'}
{'step': 28000, 'sps': '31', 'episodes': 140, 'phi/obj': '0.9542', 'sac/actor_loss': '-74.11', 'sac/alpha': '0.003392', 'sac/q_loss': '0.09721', 'sac/reward_mean': '0.9554'}
