run=mi_full_s0 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.5', 'episodes': 5}
{'step': 2000, 'sps': '69.1', 'episodes': 10}
{'step': 3000, 'sps': '67.2', 'episodes': 15}
{'step': 4000, 'sps': '66.2', 'episodes': 20}
{'step': 5000, 'sps': '65.7', 'episodes': 25}
{'step': 6000, 'sps': '51.8', 'episodes': 30, 'phi/obj': '0.8101', 'sac/actor_loss': '-8.651', 'sac/alpha': '0.864', 'sac/q_loss': '0.3828', 'sac/reward_mean': '0.8144'}
{'step': 7000, 'sps': '45', 'episodes': 35, 'phi/obj': '0.8937', 'sac/actor_loss': '-17.97', 'sac/alpha': '0.64', 'sac/q_loss': '0.09987', 'sac/reward_mean': '0.897'}
{'step': 8000, 'sps': '41', 'episodes': 40, 'phi/obj': '0.9482', 'sac/actor_loss': '-26.09', 'sac/alpha': '0.4741', 'sac/q_loss': '0.04448', 'sac/reward_mean': '0.9503'}
{'step': 9000, 'sps': '38.3', 'episodes': 45, 'phi/obj': '0.9598', 'sac/actor_loss': '-32.86', 'sac/alpha': '0.3513', 'sac/q_loss': '0.0298', 'sac/reward_mean': '0.9615'}
{'step': 10000, 'sps': '36.4', 'episodes': 50, 'phi/obj': '0.9723', 'sac/actor_loss': '-38.5', 'sac/alpha': '0.2603', 'sac/q_loss': '0.01858', 'sac/reward_mean': '0.9737'}
{'step': 11000, 'sps': '35', 'episodes': 55, 'phi/obj': '0.9669', 'sac/actor_loss': '-43.21', 'sac/alpha': '0.1929', 'sac/q_loss': '0.02452', 'sac/reward_mean': '0.9685'}
{'step': 12000, 'sps': '33.9', 'episodes': 60, 'phi/obj': '0.9696', 'sac/actor_loss': '-47.24', 'sac/alpha': '0.143', 'sac/q_loss': '0.02212', 'sac/reward_mean': '0.9712'}
{'step': 13000, 'sps': '33', 'episodes': 65, 'phi/obj': '0.9789', 'sac/actor_loss': '-50.72', 'sac/alpha': '0.106', 'sac/q_loss': '0.01387', 'sac/reward_mean': '0.9801'}
{'step': 14000, 'sps': '32.3', 'episodes': 70, 'phi/obj': '0.9817', 'sac/actor_loss': '-53.85', 'sac/alpha': '0.07876', 'sac/q_loss': '0.01765', 'sac/reward_mean': '0.9828'}
{'step': 15000, 'sps': '31.7', 'episodes': 75, 'phi/obj': '0.9801', 'sac/actor_loss': '-56.58', 'sac/alpha': '0.05862', 'sac/q_loss': '0.0242', 'sac/reward_mean': '0.9813'}
{'step': 16000, 'sps': '31.2', 'episodes': 80, 'phi/obj': '0.9814', 'sac/actor_loss': '-59.09', 'sac/alpha': '0.04378', 'sac/q_loss': '0.02939', 'sac/reward_mean': '0.9825'}
{'step': 17000, 'sps': '30.8', 'episodes': 85, 'phi/obj': '0.9842', 'sac/actor_loss': '-61.36', 'sac/alpha': '0.03287', 'sac/q_loss': '0.05821', 'sac/reward_mean': '0.9853'}
