run=mi_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69', 'episodes': 5}
{'step': 2000, 'sps': '68.4', 'episodes': 10}
{'step': 3000, 'sps': '66.5', 'episodes': 15}
{'step': 4000, 'sps': '65.7', 'episodes': 20}
{'step': 5000, 'sps': '65.2', 'episodes': 25}
{'step': 6000, 'sps': '51.5', 'episodes': 30, 'phi/obj': '0.8103', 'sac/actor_loss': '-8.639', 'sac/alpha': '0.864', 'sac/q_loss': '0.3448', 'sac/reward_mean': '0.8151'}
{'step': 7000, 'sps': '44.8', 'episodes': 35, 'phi/obj': '0.9584', 'sac/actor_loss': '-18.27', 'sac/alpha': '0.6399', 'sac/q_loss': '0.04951', 'sac/reward_mean': '0.9602'}
{'step': 8000, 'sps': '40.8', 'episodes': 40, 'phi/obj': '0.9693', 'sac/actor_loss': '-26.59', 'sac/alpha': '0.4741', 'sac/q_loss': '0.03934', 'sac/reward_mean': '0.9706'}
{'step': 9000, 'sps': '38.2', 'episodes': 45, 'phi/obj': '0.9554', 'sac/actor_loss': '-33.29', 'sac/alpha': '0.3512', 'sac/q_loss': '0.03538', 'sac/reward_mean': '0.9574'}
{'step': 10000, 'sps': '36.3', 'episodes': 50, 'phi/obj': '0.9713', 'sac/actor_loss': '-38.86', 'sac/alpha': '0.2603', 'sac/q_loss': '0.01815', 'sac/reward_mean': '0.9726'}
{'step': 11000, 'sps': '34.9', 'episodes': 55, 'phi/obj': '0.9772', 'sac/actor_loss': '-43.6', 'sac/alpha': '0.1929', 'sac/q_loss': '0.0136', 'sac/reward_mean': '0.9782'}
{'step': 12000, 'sps': '33.8', 'episodes': 60, 'phi/obj': '0.9764', 'sac/actor_loss': '-47.69', 'sac/alpha': '0.143', 'sac/q_loss': '0.01942', 'sac/reward_mean': '0.9775'}
{'step': 13000, 'sps': '32.9', 'episodes': 65, 'phi/obj': '0.9803', 'sac/actor_loss': '-51.29', 'sac/alpha': '0.1061', 'sac/q_loss': '0.01367', 'sac/reward_mean': '0.9813'}
{'step': 14000, 'sps': '32.2', 'episodes': 70, 'phi/obj': '0.9822', 'sac/actor_loss': '-54.45', 'sac/alpha': '0.07881', 'sac/q_loss': '0.01401', 'sac/reward_mean': '0.9831'}
{'step': 15000, 'sps': '31.6', 'episodes': 75, 'phi/obj': '0.9855', 'sac/actor_loss': '-57.28', 'sac/alpha': '0.05868', 'sac/q_loss': '0.0124', 'sac/reward_mean': '0.9865'}
{'step': 16000, 'sps': '31.1', 'episodes': 80, 'phi/obj': '0.989', 'sac/actor_loss': '-59.85', 'sac/alpha': '0.04383', 'sac/q_loss': '0.01572', 'sac/reward_mean': '0.9898'}
{'step': 17000, 'sps': '30.7', 'episodes': 85, 'phi/obj': '0.9863', 'sac/actor_loss': '-62.15', 'sac/alpha': '0.03283', 'sac/q_loss': '0.01974', 'sac/reward_mean': '0.9873'}
{'step': 18000, 'sps': '30.7', 'episodes': 90, 'phi/obj': '0.9878', 'sac/actor_loss': '-64.25', 'sac/alpha': '0.02467', 'sac/q_loss': '0.08353', 'sac/reward_mean': '0.9887'}
{'step': 19000, 'sps': '30.7', 'episodes': 95, 'phi/obj': '0.9863', 'sac/actor_loss': '-66.02', 'sac/alpha': '0.01863', 'sac/q_loss': '0.4856', 'sac/reward_mean': '0.9874'}
{'step': 20000, 'sps': '30.7', 'episodes': 100, 'phi/obj': '0.9894', 'sac/actor_loss': '-67.65', 'sac/alpha': '0.01419', 'sac/q_loss': '0.6938', 'sac/reward_mean': '0.9902'}
{'step': 21000, 'sps': '30.7', 'episodes': 105, 'phi/obj': '0.9885', 'sac/actor_loss': '-69.34', 'sac/alpha': '0.01097', 'sac/q_loss': '0.5304', 'sac/reward_mean': '0.9893'}
{'step': 22000, 'sps': '30.8', 'episodes': 110, 'phi/obj': '0.9876', 'sac/actor_loss': '-70.94', 'sac/alpha': '0.008668', 'sac/q_loss': '0.5521', 'sac/reward_mean': '0.9887'}
{'step': 23000, 'sps': '30.8', 'episodes': 115, 'phi/obj': '0.9889', 'sac/actor_loss': '-72.45', 'sac/alpha': '0.007205', 'sac/q_loss': '0.4561', 'sac/reward_mean': '0.9898'}
{'step': 24000, 'sps': '30.8', 'episodes': 120, 'phi/obj': '0.99', 'sac/actor_loss': '-73.87', 'sac/alpha': '0.006524', 'sac/q_loss': '0.4548', 'sac/reward_mean': '0.9908'}
{'step': 25000, 'sps': '30.8', 'episodes': 125, 'phi/obj': '0.989', 'sac/actor_loss': '-75.26', 'sac/alpha': '0.006625', 'sac/q_loss': '0.3731', 'sac/reward_mean': '0.9901'}
{'step': 26000, 'sps': '30.8', 'episodes': 130, 'phi/obj': '0.9904', 'sac/actor_loss': '-76.57', 'sac/alpha': '0.006922', 'sac/q_loss': '0.3487', 'sac/reward_mean': '0.9913'}
{'step': 27000, 'sps': '30.8', 'episodes': 135, 'phi/obj': '0.9898', 'sac/actor_loss': '-77.83', 'sac/alpha': '0.007027', 'sac/q_loss': '0.3559', 'sac/reward_mean': '0.9908'}
{'step': 28000, 'sps': '30.8', 'episodes': 140, 'phi/obj': '0.9894', 'sac/actor_loss': '-79.05', 'sac/alpha': '0.007325', 'sac/q_loss': '0.3169', 'sac/reward_mean': '0.9904'}
{'step': 29000, 'sps': '30.8', 'episodes': 145, 'phi/obj': '0.9902', 'sac/actor_loss': '-80.25', 'sac/alpha': '0.007875', 'sac/q_loss': '0.2463', 'sac/reward_mean': '0.9911'}
{'step': 30000, 'sps': '30.9', 'episodes': 150, 'phi/obj': '0.9895', 'sac/actor_loss': '-81.38', 'sac/alpha': '0.008149', 'sac/q_loss': '0.2052', 'sac/reward_mean': '0.9905'}
{'step': 31000, 'sps': '30.9', 'episodes': 155, 'phi/obj': '0.9896', 'sac/actor_loss': '-82.45', 'sac/alpha': '0.00852', 'sac/q_loss': '0.2341', 'sac/reward_mean': '0.9907'}
{'step': 32000, 'sps': '30.9', 'episodes': 160, 'phi/obj': '0.9898', 'sac/actor_loss': '-83.48', 'sac/alpha': '0.008549', 'sac/q_loss': '0.1918', 'sac/reward_mean': '0.9908'}
{'step': 33000, 'sps': '30.9', 'episodes': 165, 'phi/obj': '0.9894', 'sac/actor_loss': '-84.49', 'sac/alpha': '0.008435', 'sac/q_loss': '0.1705', 'sac/reward_mean': '0.9905'}
{'step': 34000, 'sps': '30.9', 'episodes': 170, 'phi/obj': '0.9875', 'sac/actor_loss': '-85.43', 'sac/alpha': '0.008458', 'sac/q_loss': '0.143', 'sac/reward_mean': '0.9887'}
{'step': 35000, 'sps': '30.9', 'episodes': 175, 'phi/obj': '0.9888', 'sac/actor_loss': '-86.31', 'sac/alpha': '0.008543', 'sac/q_loss': '0.1516', 'sac/reward_mean': '0.99'}
{'step': 36000, 'sps': '30.9', 'episodes': 180, 'phi/obj': '0.9873', 'sac/actor_loss': '-87.13', 'sac/alpha': '0.008604', 'sac/q_loss': '0.1215', 'sac/reward_mean': '0.9887'}
{'step': 37000, 'sps': '30.9', 'episodes': 185, 'phi/obj': '0.9875', 'sac/actor_loss': '-87.92', 'sac/alpha': '0.008594', 'sac/q_loss': '0.1187', 'sac/reward_mean': '0.9888'}
{'step': 38000, 'sps': '30.9', 'episodes': 190, 'phi/obj': '0.9882', 'sac/actor_loss': '-88.65', 'sac/alpha': '0.008286', 'sac/q_loss': '0.1263', 'sac/reward_mean': '0.9895'}
{'step': 39000, 'sps': '30.9', 'episodes': 195, 'phi/obj': '0.9883', 'sac/actor_loss': '-89.33', 'sac/alpha': '0.008035', 'sac/q_loss': '0.09474', 'sac/reward_mean': '0.9896'}
{'step': 40000, 'sps': '30.9', 'episodes': 200, 'phi/obj': '0.9895', 'sac/actor_loss': '-89.99', 'sac/alpha': '0.007778', 'sac/q_loss': '0.09535', 'sac/reward_mean': '0.9907'}
{'step': 41000, 'sps': '30.9', 'episodes': 205, 'phi/obj': '0.9895', 'sac/actor_loss': '-90.58', 'sac/alpha': '0.00786', 'sac/q_loss': '0.09538', 'sac/reward_mean': '0.9907'}
{'step': 42000, 'sps': '30.9', 'episodes': 210, 'phi/obj': '0.989', 'sac/actor_loss': '-91.12', 'sac/alpha': '0.007883', 'sac/q_loss': '0.07214', 'sac/reward_mean': '0.9903'}
{'step': 43000, 'sps': '30.9', 'episodes': 215, 'phi/obj': '0.9889', 'sac/actor_loss': '-91.69', 'sac/alpha': '0.007826', 'sac/q_loss': '0.07342', 'sac/reward_mean': '0.9902'}
{'step': 44000, 'sps': '30.9', 'episodes': 220, 'phi/obj': '0.9878', 'sac/actor_loss': '-92.22', 'sac/alpha': '0.007569', 'sac/q_loss': '0.07386', 'sac/reward_mean': '0.9892'}
{'step': 45000, 'sps': '30.9', 'episodes': 225, 'phi/obj': '0.9874', 'sac/actor_loss': '-92.71', 'sac/alpha': '0.007404', 'sac/q_loss': '0.0648', 'sac/reward_mean': '0.9889'}
{'step': 46000, 'sps': '30.9', 'episodes': 230, 'phi/obj': '0.9866', 'sac/actor_loss': '-93.12', 'sac/alpha': '0.007262', 'sac/q_loss': '0.06845', 'sac/reward_mean': '0.9882'}
{'step': 47000, 'sps': '30.9', 'episodes': 235, 'phi/obj': '0.9869', 'sac/actor_loss': '-93.49', 'sac/alpha': '0.006958', 'sac/q_loss': '0.06469', 'sac/reward_mean': '0.9883'}
{'step': 48000, 'sps': '30.9', 'episodes': 240, 'phi/obj': '0.9871', 'sac/actor_loss': '-93.87', 'sac/alpha': '0.006822', 'sac/q_loss': '0.06011', 'sac/reward_mean': '0.9886'}
{'step': 49000, 'sps': '31', 'episodes': 245, 'phi/obj': '0.9865', 'sac/actor_loss': '-94.24', 'sac/alpha': '0.006744', 'sac/q_loss': '0.06521', 'sac/reward_mean': '0.9881'}
{'step': 50000, 'sps': '31', 'episodes': 250, 'phi/obj': '0.9862', 'sac/actor_loss': '-94.58', 'sac/alpha': '0.006715', 'sac/q_loss': '0.05831', 'sac/reward_mean': '0.9878'}
{'step': 51000, 'sps': '31', 'episodes': 255, 'phi/obj': '0.9861', 'sac/actor_loss': '-94.91', 'sac/alpha': '0.006492', 'sac/q_loss': '0.06046', 'sac/reward_mean': '0.9877'}
{'step': 52000, 'sps': '31', 'episodes': 260, 'phi/obj': '0.9845', 'sac/actor_loss': '-95.13', 'sac/alpha': '0.006104', 'sac/q_loss': '0.05578', 'sac/reward_mean': '0.9863'}
{'step': 53000, 'sps': '31', 'episodes': 265, 'phi/obj': '0.9837', 'sac/actor_loss': '-95.41', 'sac/alpha': '0.006027', 'sac/q_loss': '0.05133', 'sac/reward_mean': '0.9856'}
{'step': 54000, 'sps': '31', 'episodes': 270, 'phi/obj': '0.9835', 'sac/actor_loss': '-95.65', 'sac/alpha': '0.005913', 'sac/q_loss': '0.05167', 'sac/reward_mean': '0.9854'}
{'step': 55000, 'sps': '31', 'episodes': 275, 'phi/obj': '0.9829', 'sac/actor_loss': '-95.9', 'sac/alpha': '0.005627', 'sac/q_loss': '0.0473', 'sac/reward_mean': '0.9849'}
{'step': 56000, 'sps': '31', 'episodes': 280, 'phi/obj': '0.9828', 'sac/actor_loss': '-96.1', 'sac/alpha': '0.005484', 'sac/q_loss': '0.05052', 'sac/reward_mean': '0.9847'}
{'step': 57000, 'sps': '31', 'episodes': 285, 'phi/obj': '0.9846', 'sac/actor_loss': '-96.25', 'sac/alpha': '0.005414', 'sac/q_loss': '0.0454', 'sac/reward_mean': '0.9863'}
{'step': 58000, 'sps': '31', 'episodes': 290, 'phi/obj': '0.9836', 'sac/actor_loss': '-96.41', 'sac/alpha': '0.00539', 'sac/q_loss': '0.04181', 'sac/reward_mean': '0.9855'}
{'step': 59000, 'sps': '31', 'episodes': 295, 'phi/obj': '0.9844', 'sac/actor_loss': '-96.55', 'sac/alpha': '0.005165', 'sac/q_loss': '0.0375', 'sac/reward_mean': '0.9862'}
{'step': 60000, 'sps': '31', 'episodes': 300, 'phi/obj': '0.9844', 'sac/actor_loss': '-96.66', 'sac/alpha': '0.00478', 'sac/q_loss': '0.04083', 'sac/reward_mean': '0.9862'}
{'step': 61000, 'sps': '31', 'episodes': 305, 'phi/obj': '0.9834', 'sac/actor_loss': '-96.78', 'sac/alpha': '0.004582', 'sac/q_loss': '0.04006', 'sac/reward_mean': '0.9853'}
{'step': 62000, 'sps': '31', 'episodes': 310, 'phi/obj': '0.9839', 'sac/actor_loss': '-96.9', 'sac/alpha': '0.004476', 'sac/q_loss': '0.03523', 'sac/reward_mean': '0.9858'}
{'step': 63000, 'sps': '31', 'episodes': 315, 'phi/obj': '0.9849', 'sac/actor_loss': '-97', 'sac/alpha': '0.004462', 'sac/q_loss': '0.03697', 'sac/reward_mean': '0.9867'}
{'step': 64000, 'sps': '31', 'episodes': 320, 'phi/obj': '0.985', 'sac/actor_loss': '-97.09', 'sac/alpha': '0.004334', 'sac/q_loss': '0.03322', 'sac/reward_mean': '0.9868'}
{'step': 65000, 'sps': '31', 'episodes': 325, 'phi/obj': '0.9828', 'sac/actor_loss': '-97.18', 'sac/alpha': '0.004211', 'sac/q_loss': '0.03975', 'sac/reward_mean': '0.9848'}
{'step': 66000, 'sps': '31', 'episodes': 330, 'phi/obj': '0.9846', 'sac/actor_loss': '-97.25', 'sac/alpha': '0.004163', 'sac/q_loss': '0.03271', 'sac/reward_mean': '0.9864'}
{'step': 67000, 'sps': '31', 'episodes': 335, 'phi/obj': '0.9851', 'sac/actor_loss': '-97.34', 'sac/alpha': '0.004062', 'sac/q_loss': '0.03159', 'sac/reward_mean': '0.9869'}
{'step': 68000, 'sps': '31', 'episodes': 340, 'phi/obj': '0.9849', 'sac/actor_loss': '-97.41', 'sac/alpha': '0.003918', 'sac/q_loss': '0.03332', 'sac/reward_mean': '0.9867'}
{'step': 69000, 'sps': '31', 'episodes': 345, 'phi/obj': '0.9851', 'sac/actor_loss': '-97.5', 'sac/alpha': '0.003875', 'sac/q_loss': '0.03003', 'sac/reward_mean': '0.987'}
{'step': 70000, 'sps': '31', 'episodes': 350, 'phi/obj': '0.9859', 'sac/actor_loss': '-97.57', 'sac/alpha': '0.003822', 'sac/q_loss': '0.02863', 'sac/reward_mean': '0.9877'}
{'step': 71000, 'sps': '31', 'episodes': 355, 'phi/obj': '0.9874', 'sac/actor_loss': '-97.66', 'sac/alpha': '0.00375', 'sac/q_loss': '0.02961', 'sac/reward_mean': '0.989'}
{'step': 72000, 'sps': '31', 'episodes': 360, 'phi/obj': '0.987', 'sac/actor_loss': '-97.74', 'sac/alpha': '0.003773', 'sac/q_loss': '0.02931', 'sac/reward_mean': '0.9887'}
{'step': 73000, 'sps': '31', 'episodes': 365, 'phi/obj': '0.9872', 'sac/actor_loss': '-97.8', 'sac/alpha': '0.003685', 'sac/q_loss': '0.02886', 'sac/reward_mean': '0.9889'}
{'step': 74000, 'sps': '31', 'episodes': 370, 'phi/obj': '0.9877', 'sac/actor_loss': '-97.86', 'sac/alpha': '0.003665', 'sac/q_loss': '0.02823', 'sac/reward_mean': '0.9892'}
{'step': 75000, 'sps': '31', 'episodes': 375, 'phi/obj': '0.9874', 'sac/actor_loss': '-97.9', 'sac/alpha': '0.003528', 'sac/q_loss': '0.02949', 'sac/reward_mean': '0.989'}
{'step': 76000, 'sps': '31', 'episodes': 380, 'phi/obj': '0.987', 'sac/actor_loss': '-97.95', 'sac/alpha': '0.003519', 'sac/q_loss': '0.02495', 'sac/reward_mean': '0.9887'}
{'step': 77000, 'sps': '31', 'episodes': 385, 'phi/obj': '0.9868', 'sac/actor_loss': '-98', 'sac/alpha': '0.003464', 'sac/q_loss': '0.02493', 'sac/reward_mean': '0.9885'}
{'step': 78000, 'sps': '31', 'episodes': 390, 'phi/obj': '0.9863', 'sac/actor_loss': '-98.07', 'sac/alpha': '0.003461', 'sac/q_loss': '0.02886', 'sac/reward_mean': '0.988'}
{'step': 79000, 'sps': '31', 'episodes': 395, 'phi/obj': '0.9871', 'sac/actor_loss': '-98.13', 'sac/alpha': '0.003504', 'sac/q_loss': '0.02547', 'sac/reward_mean': '0.9887'}
{'step': 80000, 'sps': '31', 'episodes': 400, 'phi/obj': '0.9868', 'sac/actor_loss': '-98.16', 'sac/alpha': '0.003434', 'sac/q_loss': '0.02984', 'sac/reward_mean': '0.9885'}
{'step': 81000, 'sps': '31', 'episodes': 405, 'phi/obj': '0.9863', 'sac/actor_loss': '-98.2', 'sac/alpha': '0.003405', 'sac/q_loss': '0.03502', 'sac/reward_mean': '0.988'}
{'step': 82000, 'sps': '31', 'episodes': 410, 'phi/obj': '0.9869', 'sac/actor_loss': '-98.23', 'sac/alpha': '0.003308', 'sac/q_loss': '0.03128', 'sac/reward_mean': '0.9886'}
{'step': 83000, 'sps': '31', 'episodes': 415, 'phi/obj': '0.9869', 'sac/actor_loss': '-98.26', 'sac/alpha': '0.00322', 'sac/q_loss': '0.03624', 'sac/reward_mean': '0.9886'}
