episode,step,return,len,terminal_w2_from_start,z
1,200,-3.445759375608759e-06,200,0.028078906039573567,+0.689 -0.724
2,400,4.046689042525031e-05,200,0.039161050119242105,+0.987 +0.162
3,600,0.00013449288633182732,200,0.03600638666131698,-0.829 +0.559
4,800,-0.030189401134521177,200,0.03582776517226623,-0.972 -0.234
5,1000,-0.005806479544844478,200,0.03055490747156365,+0.173 -0.985
6,1200,0.0208800212276401,200,0.03383636407583759,-0.158 -0.987
7,1400,-0.014689501258544624,200,0.036994556828880316,-0.946 -0.325
8,1600,-0.012207359599415213,200,0.02958752388364829,-0.957 +0.289
9,1800,-0.01010799698997289,200,0.034595640766975216,+0.854 -0.520
10,2000,-0.036672152804385405,200,0.02997913366329531,+1.000 -0.031
11,2200,-0.006474468624219298,200,0.03056731638662606,+0.681 +0.732
12,2400,0.0034814327373169363,200,0.03691555300166838,-0.985 +0.175
13,2600,0.006864904687972739,200,0.028438257679713023,+0.565 -0.825
14,2800,-0.002865152549929917,200,0.03539692319255021,-0.229 -0.973
15,3000,0.0070337404613383114,200,0.03179033659717024,+0.510 +0.860
