episode,step,return,len,terminal_w2_from_start,z
1,300,-0.007631452617715695,300,0.03625002583602409,+0.187 -0.196 +0.950 +0.156
2,600,0.00942128508904716,300,0.023162510525048807,-0.308 +0.208 +0.751 +0.545
3,900,-8.525074372300878e-05,300,0.02535146769332998,-0.446 -0.802 -0.395 +0.026
4,1200,0.0033447839959990233,300,0.019072501822194922,-0.847 -0.080 -0.454 -0.267
5,1500,0.002988766376802232,300,0.025566282045936133,-0.423 -0.246 +0.320 +0.811
6,1800,0.0009511274811302428,300,0.02099186366229591,-0.082 +0.873 -0.425 +0.225
7,2100,-0.0017835746511991601,300,0.027141441183659153,+0.605 +0.063 -0.498 -0.618
8,2400,0.00021421327801363077,300,0.03511490451608342,-0.398 +0.192 -0.878 -0.182
9,2700,0.000504233074025251,300,0.022846034268491983,-0.227 +0.772 +0.307 +0.508
10,3000,0.0035088564254692756,300,0.03207564213324536,-0.361 -0.071 +0.432 +0.823
11,3300,-0.0029030919758952223,300,0.036972450981717725,-0.502 +0.603 +0.536 +0.311
12,3600,-0.0004248743962307344,300,0.04416438358001288,+0.107 -0.127 +0.589 +0.791
13,3900,0.00362762510394532,300,0.034375839434555626,+0.703 +0.513 +0.140 -0.472
14,4200,-0.023939431564940605,300,0.041719431652725514,-0.003 +0.438 -0.859 +0.264
15,4500,-0.008388017114157265,300,0.034752837906025784,+0.271 +0.439 -0.748 -0.418
16,4800,0.009000553225632757,300,0.03549362827665733,-0.199 -0.532 +0.791 -0.226
17,5100,-0.010878472016884189,300,0.02595016449955728,+0.156 -0.123 +0.753 +0.628
18,5400,-0.28996777767315507,300,0.04027940826313388,+0.410 +0.797 +0.444 -0.022
19,5700,-0.4537080707959831,300,0.04081394196845805,-0.650 -0.753 -0.097 +0.028
20,6000,0.11868892330676317,300,0.02768888728967365,-0.123 -0.558 +0.680 -0.460
21,6300,0.4741408545523882,300,0.020493566788412944,-0.023 +0.289 +0.955 -0.057
22,6600,0.0019903872162103653,300,0.025242708982164175,+0.060 -0.120 -0.265 -0.955
23,6900,-0.010598759923595935,300,0.02954572336554941,-0.937 -0.052 +0.083 -0.336
24,7200,-0.7582795424968936,300,0.031262168183027496,-0.826 -0.351 -0.347 -0.271
25,7500,-1.3127070765476674,300,0.03152738534588729,+0.048 +0.078 -0.967 -0.239
26,7800,0.43721435428597033,300,0.0323579986373644,+0.981 +0.018 +0.185 +0.048
27,8100,-0.41096632461994886,300,0.02800635650669496,+0.090 +0.142 -0.984 -0.059
28,8400,-0.4072757341200486,300,0.022001390898030635,-0.487 -0.562 +0.142 +0.653
29,8700,0.14139083592453972,300,0.018208318923095674,-0.720 -0.224 -0.153 -0.639
30,9000,0.5988144453876885,300,0.0373002392510468,-0.761 +0.091 +0.121 +0.630
31,9300,0.015248979674652219,300,0.03516238592191642,-0.525 -0.364 +0.058 +0.767
32,9600,0.11843948834575713,300,0.022923185745511537,-0.978 +0.174 +0.098 -0.052
33,9900,0.07424576254561543,300,0.02305844640534507,+0.300 +0.106 +0.894 +0.316
34,10200,0.3411563830450177,300,0.031101254979103123,+0.450 +0.479 +0.644 +0.392
35,10500,0.3917909497395158,300,0.02826488463387923,+0.250 +0.390 +0.574 -0.675
36,10800,0.340306936763227,300,0.022342382188229676,-0.032 -0.977 +0.207 +0.047
37,11100,-0.837977459654212,300,0.04392020777459928,-0.642 -0.377 +0.521 -0.419
38,11400,0.37770698918029666,300,0.03195695166402791,-0.148 -0.360 +0.611 -0.690
39,11700,0.2576577595900744,300,0.024752170593082125,-0.744 +0.581 -0.188 +0.270
40,12000,0.14126450289040804,300,0.026827686819167643,-0.188 +0.571 -0.797 +0.056
41,12300,0.39473255327902734,300,0.02654718563906358,-0.698 +0.516 -0.484 -0.109
42,12600,2.3251497261226177,300,0.035677008701845044,-0.679 -0.477 -0.532 +0.166
43,12900,0.6517028822563589,300,0.031824810358699225,+0.460 +0.094 -0.119 -0.875
44,13200,-0.08372279908508062,300,0.026346732455906637,-0.014 +0.927 -0.374 -0.010
45,13500,-0.11310884775593877,300,0.02549342997076118,+0.112 -0.803 +0.118 +0.573
46,13800,0.22253670450299978,300,0.02634382720003148,-0.691 -0.508 -0.433 -0.277
47,14100,-0.18908460065722466,300,0.026371783764772602,-0.128 +0.675 -0.669 +0.283
48,14400,-0.08352795091923326,300,0.03795507722550397,+0.408 +0.364 +0.126 -0.828
