step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,60.0,20,0.00013832651362099567,0.1016328125,-3.470069966349243e-07,38.12270330810547,5.4260276567376306e-05,0.05780859375,-6.603208181500435,0.8640433173775673,0.23049807555601,0.0054724755765159895
7000,53.8,23,0.0001327438777880161,0.09837109375,-1.8435404364502973e-07,75.26232664108277,5.775753082593838e-05,0.070125,-12.191974035263062,0.6400517956614494,0.03928404373861849,0.005807734606205486
8000,49.9,26,0.00013192142365733161,0.09978125,-3.828358094382089e-08,98.83846449279785,4.254252124019331e-05,0.04605859375,-16.327362369537354,0.47413583254814146,0.023044903299771248,0.00428385477422853
9000,47.1,30,0.0001299238865794905,0.0987421875,-1.354975443512707e-09,107.67350645446777,3.7275195447591615e-05,0.033234375,-19.095394632339477,0.35124942407011983,0.0141038095257245,0.0037593786542420276
10000,45.2,33,0.00012733410610962892,0.0966171875,5.612158443524251e-09,111.1628165435791,3.585715719952987e-05,0.031046875,-20.765467092514037,0.2602193008959293,0.009137685736175627,0.0036178436279151356
11000,41.6,36,0.00012489009949786124,0.094953125,8.575988898029685e-09,110.92193920135497,3.326179042926469e-05,0.02521484375,-21.66880386543274,0.19277731308341026,0.006262800544267521,0.0033590374955165315
12000,37.6,40,0.0001249764464519103,0.0950546875,6.238760828281009e-09,108.0130486831665,3.3152328832102285e-05,0.029203125,-22.034605142593385,0.1428130839318037,0.004657451844541356,0.0033474509837978987
13000,37.1,43,0.00012472512315434868,0.09562890625,5.3929063137392315e-09,107.59434520721436,3.294958928790948e-05,0.027203125,-22.0585793800354,0.1058025920689106,0.0035404341258108616,0.003326322400193021
14000,36.8,46,0.0001244658577743394,0.09690625,7.672908236555642e-09,110.95918060302735,3.205875318121798e-05,0.0276640625,-21.8129084854126,0.078390620008111,0.0032030655241105706,0.003236822115308314
15000,36.5,50,0.00012332728179899278,0.096671875,7.0731920083222375e-09,106.00053357696534,3.07095362641121e-05,0.0293671875,-21.34362475204468,0.05808600949496031,0.00259959627839271,0.003101687570757349
16000,36.3,53,0.000122778893004579,0.0964453125,7.493133437841414e-09,102.23060063934327,2.9040406438298303e-05,0.02805859375,-20.719911893844603,0.04304672534391284,0.0023463185490109027,0.0029344851691130314
17000,36.1,56,0.00012491700326791033,0.0987734375,9.865364662187126e-09,99.46026083374024,2.8621860738212492e-05,0.02915625,-20.053385122299193,0.03190887950733304,0.0021952373972162604,0.002891982385495794
18000,35.9,60,0.0001247691908865818,0.09943359375,6.8403695904217795e-09,91.38356432342529,2.7307217978318475e-05,0.03255078125,-19.344285526275634,0.02366755335405469,0.002041691408841871,0.0027613773921111714
19000,35.7,63,0.00013561760258380673,0.105203125,1.2944223374944387e-08,89.93160778045655,2.8282151788971533e-05,0.0303046875,-18.581525375366212,0.01758210075646639,0.006664837125397753,0.002862108218643698
20000,35.6,66,0.000187116468034219,0.1227578125,5.069024560455659e-08,84.6415209197998,4.3925299644342884e-05,0.02600390625,-17.76736911010742,0.013116174438036978,0.017365727217053064,0.004446120630396763
21000,35.1,70,0.00019984315204783342,0.12465625,6.447313162372126e-08,107.67503212738038,6.327379189792736e-05,0.01240625,-16.97853323364258,0.009812765082344414,0.021979189330595547,0.006366444569546729
22000,34.5,73,0.00019659943116857902,0.12401953125,7.799000187969085e-08,114.4557844696045,6.006729240903041e-05,0.01017578125,-16.230871708869934,0.007360793772619218,0.020048518019379118,0.006040304853013367
23000,34.1,76,0.0002021167620187043,0.12698046875,8.069232656815473e-08,116.73941282653809,6.229280198510878e-05,0.0116171875,-15.528556749343872,0.005557578025851399,0.01230021789530292,0.006261967191581789
24000,33.9,80,0.00022017950224835657,0.13398046875,1.1077094341516158e-07,111.23127924346923,5.979647387971454e-05,0.01051953125,-14.847955028533935,0.0042423461813014,0.019026701534399764,0.006015621707221726
25000,33.9,83,0.00029913328157999785,0.15150390625,2.499392571460035e-07,84.62604864501954,7.46834360493267e-05,0.014953125,-14.218405673980714,0.003320527403848246,0.019209504088154063,0.007540717997238972
26000,33.9,86,0.00035428039920225275,0.168046875,1.5772848679596052e-07,84.48059484100342,0.00012169640671163507,0.02469140625,-13.647076621055604,0.0027879879905376584,0.018863522607134656,0.012250897906953469
27000,33.8,90,0.00039299526072863957,0.1810546875,2.343132610214127e-07,98.42899630737304,0.00014155082722572843,0.02304296875,-13.139057483673096,0.0025559765116777273,0.018706300841411574,0.01423131621768698
28000,33.8,93,0.0004472456920775585,0.19816796875,3.117521121023259e-07,96.29571116638184,0.00015338463696389226,0.02701171875,-12.647912420272828,0.002470289503457025,0.017551182225346566,0.015419661758467556
29000,33.8,96,0.0004679987282142974,0.2074296875,3.085980188046733e-07,93.41673583221436,0.0001577180810563732,0.02845703125,-12.194745746612549,0.0026652661017142238,0.0169666022839956,0.015850095639005305
30000,33.7,100,0.0004985923722560983,0.2148671875,3.5161711739384315e-07,84.78216439819336,0.0001534151237719925,0.0331328125,-11.815493984222412,0.0032530821738764645,0.01723981304606423,0.015432952189235948
31000,33.7,103,0.0005789147139585112,0.2361875,4.1190188677475704e-07,87.83633113861084,0.00019236022165569012,0.03738671875,-11.492368149757386,0.003922610359499231,0.018948749835137276,0.019329232364892958
32000,33.7,106,0.0006521411978465039,0.25403515625,4.6910913398257037e-07,82.88419844818115,0.00021924121704796563,0.04138671875,-11.154611115455628,0.004406752733048052,0.019552505674306303,0.022033907507546246
33000,33.6,110,0.0007078619668609463,0.2699296875,5.143037231327696e-07,79.78431467437744,0.00023023881152039395,0.0467421875,-10.86988905620575,0.004630518609657883,0.022637343348935246,0.02314233164675534
34000,33.7,113,0.0007407817136845552,0.2778359375,5.552864556790383e-07,76.67260600280761,0.0002333561135092168,0.049234375,-10.520265672683715,0.004624729057308287,0.02291157757677138,0.02345430016517639
35000,33.7,116,0.0007618911735480651,0.28536328125,5.822453038497599e-07,74.10513887786865,0.0002291687336510222,0.050390625,-10.157950882911683,0.004504938438069075,0.02267768190521747,0.023034387496300043
36000,33.6,120,0.0008001027773716487,0.29496484375,5.515413775629696e-07,69.14293992614746,0.0002354861642088508,0.05522265625,-9.751403718948364,0.004691820767708123,0.023061463858932256,0.02369078097306192
37000,33.6,123,0.0008539013057597913,0.30822265625,6.094086713197555e-07,68.75153103637696,0.00025205986441869754,0.059484375,-9.453050507545472,0.004866903168149293,0.022773162647150458,0.025349534058012067
38000,33.6,126,0.0008666802186635323,0.3104453125,6.126479460490941e-07,64.50418062973023,0.00024573461417458023,0.06075,-9.145823724746704,0.004767012643627822,0.02293050775490701,0.02472990219015628
39000,33.6,130,0.0008856264528003522,0.31715234375,6.210705292879481e-07,64.9169649810791,0.0002504822939736187,0.06368359375,-8.880615673065186,0.004619623881299048,0.022365001363679766,0.025204110682941972
40000,33.6,133,0.0009010537384892814,0.32430859375,6.392886462691649e-07,64.78707521820068,0.0002520375766325742,0.06398046875,-8.58037267589569,0.0045068668150343005,0.0229512829920277,0.02535043540969491
41000,33.6,136,0.0009297030538436957,0.33118359375,6.74312286783163e-07,62.448730228424076,0.0002501434865189367,0.06439453125,-8.334305005073547,0.004612385353073478,0.02307609373796731,0.025163269547745587
42000,33.6,140,0.0009392460496164859,0.335578125,6.952337232206673e-07,62.33295896148682,0.00025093899440253154,0.0641484375,-8.13941112279892,0.004659892551135272,0.02338450097758323,0.025245374704711138
43000,33.6,143,0.0009518025012221188,0.3381796875,7.13465158648674e-07,60.929332572937014,0.0002509986227378249,0.06583984375,-7.901890087604523,0.004627718996722251,0.023223550559952854,0.025254282579757273
44000,33.6,146,0.0009661058264318854,0.3421953125,6.971203654302372e-07,61.02781005477905,0.0002553104300532141,0.07019921875,-7.690264558315277,0.0044907047348096965,0.024644166839309038,0.025686612728983163
45000,33.6,150,0.0009851658805273473,0.34778515625,7.212952796109562e-07,61.58546201705933,0.0002630814875083161,0.07107421875,-7.543145205020904,0.004540620388928801,0.024935249197296797,0.0264771945765242
