run=stage2_comp_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '74.6', 'episodes': 3}
{'step': 2000, 'sps': '73.6', 'episodes': 6}
{'step': 3000, 'sps': '71.2', 'episodes': 10}
{'step': 4000, 'sps': '71.3', 'episodes': 13}
{'step': 5000, 'sps': '71.1', 'episodes': 16}
{'step': 6000, 'sps': '59.6', 'episodes': 20, 'metric/d_mean': '0.0002171', 'metric/d_nonzero': '0.1169', 'phi/constraint': '2.752e-05', 'phi/lambda': '33.51', 'phi/obj': '7.375e-05', 'phi/violation_rate': '0.0545', 'sac/actor_loss': '-6.61', 'sac/alpha': '0.864', 'sac/q_loss': '0.3555', 'sac/reward_mean': '0.007439'}
{'step': 7000, 'sps': '53.5', 'episodes': 23, 'metric/d_mean': '0.0002801', 'metric/d_nonzero': '0.114', 'phi/constraint': '5.841e-05', 'phi/lambda': '34.05', 'phi/obj': '0.0001371', 'phi/violation_rate': '0.07895', 'sac/actor_loss': '-12.2', 'sac/alpha': '0.64', 'sac/q_loss': '0.4636', 'sac/reward_mean': '0.01374'}
{'step': 8000, 'sps': '49.6', 'episodes': 26, 'metric/d_mean': '0.0002488', 'metric/d_nonzero': '0.114', 'phi/constraint': '3.848e-05', 'phi/lambda': '27.72', 'phi/obj': '0.0001302', 'phi/violation_rate': '0.08486', 'sac/actor_loss': '-16.35', 'sac/alpha': '0.4742', 'sac/q_loss': '0.4677', 'sac/reward_mean': '0.01303'}
{'step': 9000, 'sps': '46.9', 'episodes': 30, 'metric/d_mean': '0.0002795', 'metric/d_nonzero': '0.1122', 'phi/constraint': '5.173e-05', 'phi/lambda': '23.39', 'phi/obj': '0.0001543', 'phi/violation_rate': '0.08689', 'sac/actor_loss': '-19.14', 'sac/alpha': '0.3514', 'sac/q_loss': '0.6524', 'sac/reward_mean': '0.01543'}
{'step': 10000, 'sps': '45', 'episodes': 33, 'metric/d_mean': '0.0005647', 'metric/d_nonzero': '0.1235', 'phi/constraint': '0.0001467', 'phi/lambda': '17.3', 'phi/obj': '0.0001571', 'phi/violation_rate': '0.09831', 'sac/actor_loss': '-20.82', 'sac/alpha': '0.2614', 'sac/q_loss': '2.515', 'sac/reward_mean': '0.01586'}
{'step': 11000, 'sps': '41.4', 'episodes': 36, 'metric/d_mean': '0.0009109', 'metric/d_nonzero': '0.1754', 'phi/constraint': '0.0002259', 'phi/lambda': '10.33', 'phi/obj': '0.0002776', 'phi/violation_rate': '0.1304', 'sac/actor_loss': '-20.89', 'sac/alpha': '0.1958', 'sac/q_loss': '2.068', 'sac/reward_mean': '0.02797'}
{'step': 12000, 'sps': '37.5', 'episodes': 40, 'metric/d_mean': '0.001072', 'metric/d_nonzero': '0.2198', 'phi/constraint': '0.0002065', 'phi/lambda': '6.368', 'phi/obj': '0.0004746', 'phi/violation_rate': '0.1687', 'sac/actor_loss': '-20.67', 'sac/alpha': '0.1468', 'sac/q_loss': '2.248', 'sac/reward_mean': '0.04777'}
{'step': 13000, 'sps': '37', 'episodes': 43, 'metric/d_mean': '0.001139', 'metric/d_nonzero': '0.2443', 'phi/constraint': '0.000155', 'phi/lambda': '4.288', 'phi/obj': '0.0005949', 'phi/violation_rate': '0.2016', 'sac/actor_loss': '-20.92', 'sac/alpha': '0.111', 'sac/q_loss': '2.319', 'sac/reward_mean': '0.05997'}
{'step': 14000, 'sps': '36.7', 'episodes': 46, 'metric/d_mean': '0.001457', 'metric/d_nonzero': '0.2707', 'phi/constraint': '0.0002', 'phi/lambda': '2.931', 'phi/obj': '0.000886', 'phi/violation_rate': '0.2493', 'sac/actor_loss': '-21.22', 'sac/alpha': '0.08513', 'sac/q_loss': '2.644', 'sac/reward_mean': '0.08944'}
{'step': 15000, 'sps': '36.4', 'episodes': 50, 'metric/d_mean': '0.001473', 'metric/d_nonzero': '0.2919', 'phi/constraint': '0.0001196', 'phi/lambda': '2.512', 'phi/obj': '0.001116', 'phi/violation_rate': '0.2733', 'sac/actor_loss': '-21.74', 'sac/alpha': '0.06677', 'sac/q_loss': '3.321', 'sac/reward_mean': '0.1125'}
{'step': 16000, 'sps': '36.1', 'episodes': 53, 'metric/d_mean': '0.001728', 'metric/d_nonzero': '0.3229', 'phi/constraint': '0.0001821', 'phi/lambda': '2.498', 'phi/obj': '0.001219', 'phi/violation_rate': '0.3068', 'sac/actor_loss': '-22.47', 'sac/alpha': '0.05416', 'sac/q_loss': '3.649', 'sac/reward_mean': '0.1233'}
