run=stage2_comp_s1 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.9', 'episodes': 3}
{'step': 2000, 'sps': '70.2', 'episodes': 6}
{'step': 3000, 'sps': '70.8', 'episodes': 10}
{'step': 4000, 'sps': '71.5', 'episodes': 13}
{'step': 5000, 'sps': '71.3', 'episodes': 16}
{'step': 6000, 'sps': '59.1', 'episodes': 20, 'metric/d_mean': '0.0001468', 'metric/d_nonzero': '0.1124', 'phi/constraint': '-3.286e-07', 'phi/lambda': '37.07', 'phi/obj': '5.556e-05', 'phi/violation_rate': '0.06095', 'sac/actor_loss': '-6.702', 'sac/alpha': '0.864', 'sac/q_loss': '0.2325', 'sac/reward_mean': '0.005602'}
{'step': 7000, 'sps': '53.3', 'episodes': 23, 'metric/d_mean': '0.0001437', 'metric/d_nonzero': '0.1112', 'phi/constraint': '-2.164e-07', 'phi/lambda': '78.61', 'phi/obj': '6.482e-05', 'phi/violation_rate': '0.07121', 'sac/actor_loss': '-12.29', 'sac/alpha': '0.64', 'sac/q_loss': '0.03993', 'sac/reward_mean': '0.006513'}
{'step': 8000, 'sps': '49.5', 'episodes': 26, 'metric/d_mean': '0.0001402', 'metric/d_nonzero': '0.1081', 'phi/constraint': '-5.562e-08', 'phi/lambda': '103.8', 'phi/obj': '5.072e-05', 'phi/violation_rate': '0.04568', 'sac/actor_loss': '-16.36', 'sac/alpha': '0.4741', 'sac/q_loss': '0.02418', 'sac/reward_mean': '0.0051'}
{'step': 9000, 'sps': '47.1', 'episodes': 30, 'metric/d_mean': '0.0001379', 'metric/d_nonzero': '0.1063', 'phi/constraint': '-6.209e-09', 'phi/lambda': '117.9', 'phi/obj': '4.249e-05', 'phi/violation_rate': '0.02602', 'sac/actor_loss': '-19.11', 'sac/alpha': '0.3512', 'sac/q_loss': '0.01463', 'sac/reward_mean': '0.004276'}
{'step': 10000, 'sps': '45.2', 'episodes': 33, 'metric/d_mean': '0.0001309', 'metric/d_nonzero': '0.102', 'phi/constraint': '5.241e-09', 'phi/lambda': '124.1', 'phi/obj': '3.795e-05', 'phi/violation_rate': '0.0217', 'sac/actor_loss': '-20.77', 'sac/alpha': '0.2602', 'sac/q_loss': '0.009132', 'sac/reward_mean': '0.003821'}
{'step': 11000, 'sps': '41.6', 'episodes': 36, 'metric/d_mean': '0.000128', 'metric/d_nonzero': '0.09891', 'phi/constraint': '1.338e-08', 'phi/lambda': '122.2', 'phi/obj': '3.415e-05', 'phi/violation_rate': '0.01914', 'sac/actor_loss': '-21.66', 'sac/alpha': '0.1928', 'sac/q_loss': '0.006313', 'sac/reward_mean': '0.003441'}
{'step': 12000, 'sps': '37.5', 'episodes': 40, 'metric/d_mean': '0.0001341', 'metric/d_nonzero': '0.1032', 'phi/constraint': '1.601e-08', 'phi/lambda': '112.3', 'phi/obj': '3.384e-05', 'phi/violation_rate': '0.02121', 'sac/actor_loss': '-22.06', 'sac/alpha': '0.1428', 'sac/q_loss': '0.004641', 'sac/reward_mean': '0.003412'}
{'step': 13000, 'sps': '37', 'episodes': 43, 'metric/d_mean': '0.0001434', 'metric/d_nonzero': '0.1092', 'phi/constraint': '1.393e-08', 'phi/lambda': '100.5', 'phi/obj': '3.364e-05', 'phi/violation_rate': '0.0221', 'sac/actor_loss': '-22.02', 'sac/alpha': '0.1058', 'sac/q_loss': '0.003907', 'sac/reward_mean': '0.003394'}
{'step': 14000, 'sps': '36.7', 'episodes': 46, 'metric/d_mean': '0.0001423', 'metric/d_nonzero': '0.1081', 'phi/constraint': '1.335e-08', 'phi/lambda': '97.17', 'phi/obj': '3.311e-05', 'phi/violation_rate': '0.02589', 'sac/actor_loss': '-21.71', 'sac/alpha': '0.0784', 'sac/q_loss': '0.003173', 'sac/reward_mean': '0.003341'}
{'step': 15000, 'sps': '36.3', 'episodes': 50, 'metric/d_mean': '0.0001419', 'metric/d_nonzero': '0.1071', 'phi/constraint': '1.374e-08', 'phi/lambda': '95.17', 'phi/obj': '3.25e-05', 'phi/violation_rate': '0.02237', 'sac/actor_loss': '-21.21', 'sac/alpha': '0.0581', 'sac/q_loss': '0.002956', 'sac/reward_mean': '0.00328'}
{'step': 16000, 'sps': '36.1', 'episodes': 53, 'metric/d_mean': '0.0001458', 'metric/d_nonzero': '0.1093', 'phi/constraint': '1.848e-08', 'phi/lambda': '92.71', 'phi/obj': '3.127e-05', 'phi/violation_rate': '0.02631', 'sac/actor_loss': '-20.62', 'sac/alpha': '0.04308', 'sac/q_loss': '0.002734', 'sac/reward_mean': '0.003159'}
{'step': 17000, 'sps': '35.9', 'episodes': 56, 'metric/d_mean': '0.0001443', 'metric/d_nonzero': '0.109', 'phi/constraint': '8.642e-09', 'phi/lambda': '88.3', 'phi/obj': '3.197e-05', 'phi/violation_rate': '0.02733', 'sac/actor_loss': '-19.98', 'sac/alpha': '0.03196', 'sac/q_loss': '0.002527', 'sac/reward_mean': '0.003228'}
{'step': 18000, 'sps': '35.8', 'episodes': 60, 'metric/d_mean': '0.0001429', 'metric/d_nonzero': '0.1086', 'phi/constraint': '1.18e-08', 'phi/lambda': '92.89', 'phi/obj': '3.146e-05', 'phi/violation_rate': '0.02737', 'sac/actor_loss': '-19.29', 'sac/alpha': '0.02372', 'sac/q_loss': '0.002395', 'sac/reward_mean': '0.003176'}
{'step': 19000, 'sps': '35.6', 'episodes': 63, 'metric/d_mean': '0.0001381', 'metric/d_nonzero': '0.1058', 'phi/constraint': '1.446e-08', 'phi/lambda': '89.72', 'phi/obj': '2.849e-05', 'phi/violation_rate': '0.02245', 'sac/actor_loss': '-18.57', 'sac/alpha': '0.01762', 'sac/q_loss': '0.002233', 'sac/reward_mean': '0.002878'}
{'step': 20000, 'sps': '35.5', 'episodes': 66, 'metric/d_mean': '0.0001365', 'metric/d_nonzero': '0.1037', 'phi/constraint': '1.32e-08', 'phi/lambda': '86.74', 'phi/obj': '2.774e-05', 'phi/violation_rate': '0.02373', 'sac/actor_loss': '-17.78', 'sac/alpha': '0.01311', 'sac/q_loss': '0.002179', 'sac/reward_mean': '0.002804'}
{'step': 21000, 'sps': '35', 'episodes': 70, 'metric/d_mean': '0.0001342', 'metric/d_nonzero': '0.1023', 'phi/constraint': '1.406e-08', 'phi/lambda': '86.3', 'phi/obj': '2.686e-05', 'phi/violation_rate': '0.02151', 'sac/actor_loss': '-16.99', 'sac/alpha': '0.009768', 'sac/q_loss': '0.002056', 'sac/reward_mean': '0.002717'}
{'step': 22000, 'sps': '34.4', 'episodes': 73, 'metric/d_mean': '0.0001326', 'metric/d_nonzero': '0.1015', 'phi/constraint': '1.233e-08', 'phi/lambda': '84.13', 'phi/obj': '2.66e-05', 'phi/violation_rate': '0.02205', 'sac/actor_loss': '-16.25', 'sac/alpha': '0.007287', 'sac/q_loss': '0.001966', 'sac/reward_mean': '0.002691'}
{'step': 23000, 'sps': '34.1', 'episodes': 76, 'metric/d_mean': '0.0001317', 'metric/d_nonzero': '0.1006', 'phi/constraint': '1.373e-08', 'phi/lambda': '82.51', 'phi/obj': '2.52e-05', 'phi/violation_rate': '0.02245', 'sac/actor_loss': '-15.5', 'sac/alpha': '0.00544', 'sac/q_loss': '0.002006', 'sac/reward_mean': '0.002551'}
{'step': 24000, 'sps': '33.9', 'episodes': 80, 'metric/d_mean': '0.0001311', 'metric/d_nonzero': '0.09945', 'phi/constraint': '1.345e-08', 'phi/lambda': '79.47', 'phi/obj': '2.442e-05', 'phi/violation_rate': '0.02476', 'sac/actor_loss': '-14.76', 'sac/alpha': '0.004073', 'sac/q_loss': '0.001959', 'sac/reward_mean': '0.002473'}
{'step': 25000, 'sps': '33.8', 'episodes': 83, 'metric/d_mean': '0.0001294', 'metric/d_nonzero': '0.09942', 'phi/constraint': '1.743e-08', 'phi/lambda': '79.52', 'phi/obj': '2.307e-05', 'phi/violation_rate': '0.02345', 'sac/actor_loss': '-14.07', 'sac/alpha': '0.003061', 'sac/q_loss': '0.001811', 'sac/reward_mean': '0.002336'}
{'step': 26000, 'sps': '33.8', 'episodes': 86, 'metric/d_mean': '0.0001287', 'metric/d_nonzero': '0.09921', 'phi/constraint': '1.374e-08', 'phi/lambda': '76.25', 'phi/obj': '2.258e-05', 'phi/violation_rate': '0.02291', 'sac/actor_loss': '-13.39', 'sac/alpha': '0.002313', 'sac/q_loss': '0.001802', 'sac/reward_mean': '0.002287'}
{'step': 27000, 'sps': '33.8', 'episodes': 90, 'metric/d_mean': '0.0001291', 'metric/d_nonzero': '0.09944', 'phi/constraint': '1.578e-08', 'phi/lambda': '75.3', 'phi/obj': '2.235e-05', 'phi/violation_rate': '0.02374', 'sac/actor_loss': '-12.77', 'sac/alpha': '0.001764', 'sac/q_loss': '0.001765', 'sac/reward_mean': '0.002264'}
