run=stage2_1d_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '75.7', 'episodes': 3}
{'step': 2000, 'sps': '74.8', 'episodes': 6}
{'step': 3000, 'sps': '72.2', 'episodes': 10}
{'step': 4000, 'sps': '72.1', 'episodes': 13}
{'step': 5000, 'sps': '72.1', 'episodes': 16}
{'step': 6000, 'sps': '60', 'episodes': 20, 'metric/d_mean': '0.0001383', 'metric/d_nonzero': '0.1016', 'phi/constraint': '-3.47e-07', 'phi/lambda': '38.12', 'phi/obj': '5.426e-05', 'phi/violation_rate': '0.05781', 'sac/actor_loss': '-6.603', 'sac/alpha': '0.864', 'sac/q_loss': '0.2305', 'sac/reward_mean': '0.005472'}
{'step': 7000, 'sps': '53.8', 'episodes': 23, 'metric/d_mean': '0.0001327', 'metric/d_nonzero': '0.09837', 'phi/constraint': '-1.844e-07', 'phi/lambda': '75.26', 'phi/obj': '5.776e-05', 'phi/violation_rate': '0.07013', 'sac/actor_loss': '-12.19', 'sac/alpha': '0.6401', 'sac/q_loss': '0.03928', 'sac/reward_mean': '0.005808'}
{'step': 8000, 'sps': '49.9', 'episodes': 26, 'metric/d_mean': '0.0001319', 'metric/d_nonzero': '0.09978', 'phi/constraint': '-3.828e-08', 'phi/lambda': '98.84', 'phi/obj': '4.254e-05', 'phi/violation_rate': '0.04606', 'sac/actor_loss': '-16.33', 'sac/alpha': '0.4741', 'sac/q_loss': '0.02304', 'sac/reward_mean': '0.004284'}
{'step': 9000, 'sps': '47.1', 'episodes': 30, 'metric/d_mean': '0.0001299', 'metric/d_nonzero': '0.09874', 'phi/constraint': '-1.355e-09', 'phi/lambda': '107.7', 'phi/obj': '3.728e-05', 'phi/violation_rate': '0.03323', 'sac/actor_loss': '-19.1', 'sac/alpha': '0.3512', 'sac/q_loss': '0.0141', 'sac/reward_mean': '0.003759'}
{'step': 10000, 'sps': '45.2', 'episodes': 33, 'metric/d_mean': '0.0001273', 'metric/d_nonzero': '0.09662', 'phi/constraint': '5.612e-09', 'phi/lambda': '111.2', 'phi/obj': '3.586e-05', 'phi/violation_rate': '0.03105', 'sac/actor_loss': '-20.77', 'sac/alpha': '0.2602', 'sac/q_loss': '0.009138', 'sac/reward_mean': '0.003618'}
{'step': 11000, 'sps': '41.6', 'episodes': 36, 'metric/d_mean': '0.0001249', 'metric/d_nonzero': '0.09495', 'phi/constraint': '8.576e-09', 'phi/lambda': '110.9', 'phi/obj': '3.326e-05', 'phi/violation_rate': '0.02521', 'sac/actor_loss': '-21.67', 'sac/alpha': '0.1928', 'sac/q_loss': '0.006263', 'sac/reward_mean': '0.003359'}
{'step': 12000, 'sps': '37.6', 'episodes': 40, 'metric/d_mean': '0.000125', 'metric/d_nonzero': '0.09505', 'phi/constraint': '6.239e-09', 'phi/lambda': '108', 'phi/obj': '3.315e-05', 'phi/violation_rate': '0.0292', 'sac/actor_loss': '-22.03', 'sac/alpha': '0.1428', 'sac/q_loss': '0.004657', 'sac/reward_mean': '0.003347'}
{'step': 13000, 'sps': '37.1', 'episodes': 43, 'metric/d_mean': '0.0001247', 'metric/d_nonzero': '0.09563', 'phi/constraint': '5.393e-09', 'phi/lambda': '107.6', 'phi/obj': '3.295e-05', 'phi/violation_rate': '0.0272', 'sac/actor_loss': '-22.06', 'sac/alpha': '0.1058', 'sac/q_loss': '0.00354', 'sac/reward_mean': '0.003326'}
{'step': 14000, 'sps': '36.8', 'episodes': 46, 'metric/d_mean': '0.0001245', 'metric/d_nonzero': '0.09691', 'phi/constraint': '7.673e-09', 'phi/lambda': '111', 'phi/obj': '3.206e-05', 'phi/violation_rate': '0.02766', 'sac/actor_loss': '-21.81', 'sac/alpha': '0.07839', 'sac/q_loss': '0.003203', 'sac/reward_mean': '0.003237'}
{'step': 15000, 'sps': '36.5', 'episodes': 50, 'metric/d_mean': '0.0001233', 'metric/d_nonzero': '0.09667', 'phi/constraint': '7.073e-09', 'phi/lambda': '106', 'phi/obj': '3.071e-05', 'phi/violation_rate': '0.02937', 'sac/actor_loss': '-21.34', 'sac/alpha': '0.05809', 'sac/q_loss': '0.0026', 'sac/reward_mean': '0.003102'}
{'step': 16000, 'sps': '36.3', 'episodes': 53, 'metric/d_mean': '0.0001228', 'metric/d_nonzero': '0.09645', 'phi/constraint': '7.493e-09', 'phi/lambda': '102.2', 'phi/obj': '2.904e-05', 'phi/violation_rate': '0.02806', 'sac/actor_loss': '-20.72', 'sac/alpha': '0.04305', 'sac/q_loss': '0.002346', 'sac/reward_mean': '0.002934'}
{'step': 17000, 'sps': '36.1', 'episodes': 56, 'metric/d_mean': '0.0001249', 'metric/d_nonzero': '0.09877', 'phi/constraint': '9.865e-09', 'phi/lambda': '99.46', 'phi/obj': '2.862e-05', 'phi/violation_rate': '0.02916', 'sac/actor_loss': '-20.05', 'sac/alpha': '0.03191', 'sac/q_loss': '0.002195', 'sac/reward_mean': '0.002892'}
{'step': 18000, 'sps': '35.9', 'episodes': 60, 'metric/d_mean': '0.0001248', 'metric/d_nonzero': '0.09943', 'phi/constraint': '6.84e-09', 'phi/lambda': '91.38', 'phi/obj': '2.731e-05', 'phi/violation_rate': '0.03255', 'sac/actor_loss': '-19.34', 'sac/alpha': '0.02367', 'sac/q_loss': '0.002042', 'sac/reward_mean': '0.002761'}
{'step': 19000, 'sps': '35.7', 'episodes': 63, 'metric/d_mean': '0.0001356', 'metric/d_nonzero': '0.1052', 'phi/constraint': '1.294e-08', 'phi/lambda': '89.93', 'phi/obj': '2.828e-05', 'phi/violation_rate': '0.0303', 'sac/actor_loss': '-18.58', 'sac/alpha': '0.01758', 'sac/q_loss': '0.006665', 'sac/reward_mean': '0.002862'}
