skill_i,skill_j,w2
0,0,0.0
0,1,0.6992778830519005
0,2,0.6992778830519005
0,3,0.30905888340077015
0,4,0.43509794672853286
0,5,0.36139924742991614
0,6,0.517365711973754
0,7,0.6992778830519005
1,0,0.6992778830519005
1,1,0.0
1,2,0.0
1,3,0.45723832109574786
1,4,0.539477523846672
1,5,0.4768259126849368
1,6,0.3109654702915189
1,7,0.0
2,0,0.6992778830519005
2,1,0.0
2,2,0.0
2,3,0.45723832109574786
2,4,0.539477523846672
2,5,0.4768259126849368
2,6,0.3109654702915189
2,7,0.0
3,0,0.30905888340077015
3,1,0.45723832109574786
3,2,0.45723832109574786
3,3,0.0
3,4,0.26695890198583716
3,5,0.27342812547273726
3,6,0.2661677490835749
3,7,0.45723832109574786
4,0,0.43509794672853286
4,1,0.539477523846672
4,2,0.539477523846672
4,3,0.26695890198583716
4,4,0.0
4,5,0.41554070482976396
4,6,0.2562879912165118
4,7,0.539477523846672
5,0,0.36139924742991614
5,1,0.4768259126849368
5,2,0.4768259126849368
5,3,0.27342812547273726
5,4,0.41554070482976396
5,5,0.0
5,6,0.36504837906642273
5,7,0.4768259126849368
6,0,0.517365711973754
6,1,0.3109654702915189
6,2,0.3109654702915189
6,3,0.2661677490835749
6,4,0.2562879912165118
6,5,0.36504837906642273
6,6,0.0
6,7,0.3109654702915189
7,0,0.6992778830519005
7,1,0.0
7,2,0.0
7,3,0.45723832109574786
7,4,0.539477523846672
7,5,0.4768259126849368
7,6,0.3109654702915189
7,7,0.0
