step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,67.1,30,0.001264273477019742,0.18671484375,5.987195227760367e-06,20.423588932037354,0.00010709989777937779,0.022421875,-6.607383542299271,0.8640450347661972,0.25217175438255074,0.010815279781293612
7000,60.9,35,0.0012225354472175242,0.18139453125,1.538340060321275e-06,15.640472971916198,0.00019710027714700117,0.05098828125,-12.24664188861847,0.6400548923015594,0.08573927600309253,0.01982499700866174
8000,51.6,40,0.0012137752429698593,0.179546875,1.4900581264072342e-06,16.47221828174591,0.0001932162798821082,0.04959375,-16.411361008644104,0.47414234337210653,0.06830549061112105,0.019427460918202997
9000,45.5,45,0.00120205092249671,0.17676171875,1.3138256670757187e-06,16.042736337661744,0.0001940293352081426,0.05170703125,-19.199183765411377,0.35126283183693885,0.061842163804918526,0.01950633147964254
10000,41.7,50,0.0012167279384448194,0.17940625,1.4382008358211351e-06,15.259184643745423,0.00018553397873347422,0.05206640625,-20.91433894920349,0.2602469370961189,0.056661358492448924,0.018663362551946193
11000,39.1,55,0.0012023239819100127,0.17759375,1.5121366334156506e-06,15.166525115013123,0.0001784100512140867,0.05178125,-21.841427350997925,0.19282997116446496,0.05211488044448197,0.01794919647637289
12000,37.2,60,0.0012157722513074986,0.17962890625,1.42130157691156e-06,14.583762682914735,0.00017517034837510436,0.0545546875,-22.232229904174805,0.1428981972709298,0.05107651872560382,0.017631616115453653
13000,35.7,65,0.001212491067009978,0.1790859375,1.552754739662987e-06,14.570841129302979,0.00016762768613580193,0.0500390625,-22.20662659072876,0.10592483093589544,0.048776003502309324,0.016871500279405153
14000,34.5,70,0.0012130195851204916,0.18020703125,1.471404921446151e-06,14.214193260192872,0.00016526980601884133,0.0491171875,-21.90552955818176,0.0785500284805894,0.048643198061734436,0.01663906783988932
15000,33.6,75,0.0012096623030374758,0.17955078125,1.4463995093834114e-06,14.090758666038512,0.00016177320693714137,0.05066796875,-21.418739130020143,0.05829258134961128,0.048141026075929405,0.016294026953110007
16000,34.0,80,0.0012062999254558236,0.17870703125,1.5792843633803955e-06,13.230992231369019,0.0001464072066132758,0.04893359375,-20.811778722763062,0.04330435121059418,0.04720937337167561,0.014756881945650092
17000,34.2,85,0.0012042299049207941,0.17883203125,1.3428280071678956e-06,12.266820843696594,0.00014230339767709667,0.05250390625,-20.128371925354003,0.03221301952563226,0.04777980438619852,0.014349102388077881
18000,34.5,90,0.00120467638107948,0.1785078125,1.5344433809474367e-06,12.318434896469116,0.00014274115237139994,0.0500390625,-19.396632564544678,0.023999262124300005,0.04727798610180616,0.014391139727144037
19000,34.8,95,0.001217646907956805,0.180671875,1.367610656494378e-06,12.034600977897645,0.00014162688829537728,0.0522265625,-18.67190873527527,0.017941495100967587,0.0487054229862988,0.014281396819540533
20000,35.0,100,0.0012154710770118982,0.18021875,1.5973978726151471e-06,11.866041556358338,0.00013452482801858424,0.0487265625,-17.9325982131958,0.013478096711449325,0.046645313342101875,0.013568179892841727
21000,35.1,105,0.0012220423491089605,0.18081640625,1.4661807922387026e-06,11.875395188331604,0.00013904321232439541,0.05179296875,-17.193836332321165,0.010190748126246036,0.04801222063414753,0.014023396051488817
22000,35.4,110,0.001219035814050585,0.1811328125,1.493946752457731e-06,11.497951837539674,0.00013186754844355164,0.0512109375,-16.49166467666626,0.007764644670300185,0.04602768842317164,0.013304141313419678
23000,35.6,115,0.0012285234176088124,0.18215234375,1.4005355038051447e-06,11.594865347862244,0.00013793043422629127,0.0516328125,-15.813786440849304,0.0059828199720941486,0.04804045762401074,0.013912504182429983
24000,35.8,120,0.001230800930352416,0.1821328125,1.6298108954906354e-06,10.852311797142029,0.00012335259729502469,0.0492265625,-15.169139788627625,0.00470395307475701,0.04595935539249331,0.012449657782126452
25000,36.0,125,0.0012256158250384033,0.18172265625,1.3927435503404696e-06,10.049285099029541,0.00012268740853733107,0.051421875,-14.557121512413024,0.0038364847551565617,0.04594989852979779,0.012385323829599656
26000,36.1,130,0.0012241944823181256,0.1815625,1.572866831985209e-06,9.943242361068725,0.00011816966060268897,0.04978515625,-13.99384451007843,0.0032444772636517883,0.04552370352949947,0.011930886469548568
27000,36.2,135,0.0012231223611161113,0.18137890625,1.283752727999854e-06,10.23945728302002,0.00012371302081737667,0.05378515625,-13.453927453041077,0.002903003743151203,0.04701466311328113,0.012487044632493052
28000,36.4,140,0.0012360646591405384,0.18219921875,1.4577072673986891e-06,10.212599449157715,0.0001251378455331178,0.0509921875,-12.947501482963562,0.0027500895622652025,0.04741155678406358,0.01263284242770169
29000,36.6,145,0.0012311606393195689,0.18138671875,1.6261968058444153e-06,9.956993746757508,0.00011790500982078811,0.04940625,-12.464267574310302,0.0026465695903170852,0.046292851727455855,0.011909774587198626
30000,36.9,150,0.0012259487350238488,0.18050390625,1.5370508599730215e-06,9.953534321784973,0.00011644257750958786,0.05059375,-11.999711277008057,0.002642408379819244,0.046108214743435384,0.011762957802275195
31000,37.0,155,0.001216663141385652,0.1804921875,1.2655081352761499e-06,9.245483102798461,0.00011538980691875622,0.052328125,-11.561642737388611,0.002753287791274488,0.04649639249965549,0.011661781951319426
32000,37.1,160,0.0012125971376663073,0.1801875,1.4359636015441878e-06,9.181925033569335,0.00010843583882387974,0.051125,-11.15732691860199,0.002721899361582473,0.04502615081332624,0.010964431661646814
33000,37.2,165,0.0012056813141680322,0.1781640625,1.4369317231555101e-06,9.014283253669738,0.00010385996115292073,0.05087890625,-10.763142107963562,0.0026189880464226006,0.04427710421942174,0.01050622581737116
