step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,55.5,30,0.0010670203194604255,0.15846875,4.68174770557539e-06,20.638100971221924,0.00010849656560347753,0.0220703125,-6.674206084489822,0.8640464169979095,0.25426284333691,0.010955312763746406
7000,48.5,35,0.0011001694998703897,0.1641015625,1.090779554665744e-06,18.777370903015136,0.0002095481517671942,0.04739453125,-12.369455564498901,0.64005673122406,0.08154393292218447,0.021067091343342326
8000,44.2,40,0.0011180070990812964,0.16696484375,1.4145732854800031e-06,19.5365198135376,0.00020884666116580776,0.04572265625,-16.546702627182007,0.4741408919394016,0.06546802311018109,0.020986053771688603
9000,40.5,45,0.001135414670803584,0.1686640625,1.4447595063558082e-06,19.04737894821167,0.0002025574683175364,0.0468828125,-19.330699029922485,0.3512518211305141,0.05698158318921924,0.020357111384277232
10000,36.6,50,0.0011321986004477367,0.16942578125,1.338386947310255e-06,18.272736783981323,0.00019348390833329177,0.047734375,-21.06658759498596,0.2602280655950308,0.051197270721197126,0.019451937548001296
11000,34.0,55,0.0011437156001920812,0.17200390625,1.3614213626595983e-06,17.49020323944092,0.000183870707679489,0.0480078125,-21.998404331207276,0.19280358843505382,0.04786913068778813,0.01849132972327061
12000,32.1,60,0.001148488615755923,0.17217578125,1.4007582580717327e-06,16.93329065322876,0.00018036562706402038,0.0488828125,-22.37145780181885,0.14286629784107208,0.04641867516003549,0.01814477208815515
13000,30.6,65,0.0011638310468988493,0.17365234375,1.3276145654330661e-06,15.26371576499939,0.00017591857326260653,0.050265625,-22.35852989578247,0.10588876140117645,0.04650997206196189,0.017704066203208642
14000,29.4,70,0.0011882721087313258,0.17588671875,1.431214297447525e-06,14.4725384683609,0.000164097327367017,0.05112109375,-22.084051137924195,0.07850583795458078,0.04650951783359051,0.01652077153220307
15000,28.5,75,0.001177050751459319,0.17525,1.3892478176558143e-06,14.4534671459198,0.00015993883642340733,0.05168359375,-21.609746276855468,0.05823697512224316,0.04599395595304668,0.016102466275100598
16000,27.8,80,0.00118631845084019,0.1766640625,1.3833215112200036e-06,13.35051601409912,0.0001541495230558212,0.0531640625,-21.017643125534057,0.04324649829044938,0.045318973481655124,0.015528973854030483
17000,27.2,85,0.001185966257180553,0.1764921875,1.3902798104581392e-06,13.592092946052551,0.00015174074165770436,0.0509765625,-20.331426052093505,0.03217058406770229,0.04664323705434799,0.01528632740007015
18000,26.7,90,0.0011817449714289978,0.175671875,1.3357092660033487e-06,12.299351764678955,0.00014305152256292785,0.0514453125,-19.579828075408937,0.023993138145655395,0.04633005074225366,0.014419656345038674
19000,26.2,95,0.0011589590156218038,0.173234375,1.3905031539422907e-06,12.74258377456665,0.00013618965216528523,0.04791796875,-18.835213314056396,0.01796603436395526,0.04456111255288124,0.01372969066305086
