skill_i,skill_j,w2
0,0,0.0
0,1,0.05345948536968384
0,2,0.11632044846073922
0,3,0.30778067928118374
0,4,0.37753833247048074
0,5,0.3821491983269275
0,6,0.38084460535942444
0,7,0.4520821719395832
1,0,0.05345948536968384
1,1,0.0
1,2,0.10938554816092146
1,3,0.3165699106526833
1,4,0.3860211811113378
1,5,0.3906624505621284
1,6,0.38945382240388166
1,7,0.4582221492339661
2,0,0.11632044846073922
2,1,0.10938554816092146
2,2,0.0
2,3,0.26977723351577093
2,4,0.35125516572862575
2,5,0.35851713715015193
2,6,0.3602415514468765
2,7,0.4350083099454409
3,0,0.30778067928118374
3,1,0.3165699106526833
3,2,0.26977723351577093
3,3,0.0
3,4,0.23440154979458835
3,5,0.25841791830314026
3,6,0.269861340318987
3,7,0.37859479083867625
4,0,0.37753833247048074
4,1,0.3860211811113378
4,2,0.35125516572862575
4,3,0.23440154979458835
4,4,0.0
4,5,0.10258215846059116
4,6,0.1553362453734641
4,7,0.3569787109008161
5,0,0.3821491983269275
5,1,0.3906624505621284
5,2,0.35851713715015193
5,3,0.25841791830314026
5,4,0.10258215846059116
5,5,0.0
5,6,0.08908012123312266
5,7,0.3262708942316081
6,0,0.38084460535942444
6,1,0.38945382240388166
6,2,0.3602415514468765
6,3,0.269861340318987
6,4,0.1553362453734641
6,5,0.08908012123312266
6,6,0.0
6,7,0.30777587955950386
7,0,0.4520821719395832
7,1,0.4582221492339661
7,2,0.4350083099454409
7,3,0.37859479083867625
7,4,0.3569787109008161
7,5,0.3262708942316081
7,6,0.30777587955950386
7,7,0.0
