episode,step,return,len,terminal_w2_from_start,z
1,200,-0.0006596025850740261,200,0.028335860018476364,+0.689 -0.724
2,400,0.004046689313327079,200,0.039161050119242105,+0.987 +0.162
3,600,-0.004139592849242035,200,0.03600705657108628,-0.829 +0.559
4,800,0.001912240270030452,200,0.03582776517226623,+0.809 +0.588
5,1000,-0.006662870107902563,200,0.03055490747156365,-0.486 -0.874
6,1200,0.016931400015891995,200,0.03383636407583759,-0.998 +0.066
7,1400,-0.0030976025191193912,200,0.036994556828880316,-0.996 -0.094
8,1600,-0.0028626703460759018,200,0.02958752388364829,-0.862 -0.507
9,1800,-0.011080649701398215,200,0.034595640766975216,-0.865 -0.502
10,2000,-0.0007765592581563396,200,0.030262814250743158,+0.367 +0.930
11,2200,0.0022852369911561254,200,0.029861537662438806,-0.094 +0.996
12,2400,0.006909282055858057,200,0.03691555300166838,-0.884 +0.467
13,2600,0.006512359837870463,200,0.028438257679713023,+0.995 +0.103
14,2800,0.0055747988606071885,200,0.03539692319255021,-0.628 -0.778
15,3000,-0.0067877088076784275,200,0.03179033659717024,-0.901 +0.434
16,3200,0.009174882317893207,200,0.032020365390882294,-0.979 -0.203
17,3400,0.003570465738448547,200,0.030285655629917273,-0.282 +0.959
18,3600,-0.004137514459216618,200,0.03229581665371805,+0.517 +0.856
19,3800,-0.0018879961571656168,200,0.03379054910939541,-0.981 -0.194
20,4000,0.01019331970019266,200,0.03649680238408198,+0.465 +0.885
21,4200,0.001615535824385006,200,0.033563891171472876,-0.639 +0.769
22,4400,0.01887088888179278,200,0.03566944035807328,+0.865 +0.502
23,4600,-0.007972956795128994,200,0.0340531338435898,+0.644 -0.765
24,4800,-0.0008609786300439737,200,0.03614087826954694,+0.597 +0.802
25,5000,0.014467741326370742,200,0.02656635413196498,+0.808 +0.590
26,5200,-0.09462250060460065,200,0.03263753291615726,+0.284 -0.959
27,5400,0.23017824740963988,200,0.03380432206353442,-0.818 +0.575
28,5600,-1.1129070199094713,200,0.03304900526249173,-0.991 -0.137
29,5800,2.9010795429348946,200,0.03491401779287355,+0.479 -0.878
30,6000,-0.06789133697748184,200,0.03468274392670157,-0.011 -1.000
31,6200,-2.5193269280716777,200,0.029833848622644023,+0.683 -0.731
32,6400,-0.011404125019907951,200,0.03213577300800193,+0.686 -0.727
33,6600,2.151574933901429,200,0.03622014678106758,+0.127 -0.992
34,6800,-0.7978184227831662,200,0.03159718052449292,-0.566 -0.824
35,7000,-2.3339255210012197,200,0.03387960208934993,+0.540 +0.842
36,7200,-0.042693535797297955,200,0.02621193202002849,+0.959 -0.283
37,7400,-2.078615002334118,200,0.03500615082347428,-0.158 -0.987
38,7600,-3.2447358667850494,200,0.035701107622391814,+0.999 +0.048
39,7800,-2.6259573781862855,200,0.036973248490584774,-0.173 +0.985
40,8000,2.8326874505728483,200,0.0352336522931692,-0.996 -0.089
41,8200,-1.9728592708706856,200,0.030415446734867,-0.726 -0.688
42,8400,2.5623962259851396,200,0.03308099147618442,-0.318 +0.948
43,8600,-2.717150218784809,200,0.03441843245966499,+0.406 -0.914
