step,sps,episodes,metric/d_mean,metric/d_nonzero,phi/constraint,phi/lambda,phi/obj,phi/violation_rate,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,68.5,30,0.0011347224157652817,0.1754375,4.459707825802184e-06,21.70222122001648,0.00012880735502351825,0.02526171875,-6.708729979276657,0.8640481213927269,0.2655469724573195,0.012989195850992473
7000,62.1,35,0.0011236039096838794,0.17462890625,1.8190633541195211e-06,21.563222583770752,0.0001987159365271509,0.0439921875,-12.377475071907044,0.6400533589720726,0.10433143006265164,0.01997033023124095
8000,58.8,40,0.001125207600009162,0.17540234375,1.8405608839486831e-06,19.372480653762818,0.00017389259629635489,0.044890625,-16.53696866989136,0.47413847360014916,0.08783476604521274,0.0174916982636787
9000,56.5,45,0.001122301443712786,0.17477734375,1.833314656892071e-06,18.51409245300293,0.00016727315602656746,0.045265625,-19.317820377349854,0.35125778383016587,0.07958235887810589,0.01683063121337909
10000,54.2,50,0.001119408618658781,0.17501953125,1.931493862429079e-06,17.617401123046875,0.00015271798396133818,0.04399609375,-21.04878505706787,0.2602365719974041,0.07356214352324605,0.015377592568052932
11000,52.3,55,0.0011131542139337397,0.174296875,1.7661160682678201e-06,17.448822147369384,0.00015595750742977544,0.0457734375,-22.000142627716066,0.19281267841160296,0.07200885475054383,0.01570187499828171
12000,51.0,60,0.001115404067968484,0.17430078125,1.79272604517422e-06,17.103513292312623,0.00015497493400835083,0.04907421875,-22.392313858032228,0.14287685295194388,0.06954282790794969,0.0156048130847048
13000,49.8,65,0.0011122836107388138,0.1732734375,1.7792721466776128e-06,16.630659088134767,0.00015272717041807482,0.04800390625,-22.39850463294983,0.10591246943920851,0.06854487634822726,0.015379288942785934
14000,49.0,70,0.0011028787117102184,0.17263671875,1.7292206382322207e-06,16.12375463485718,0.00013954395660584852,0.046359375,-22.112125904083253,0.07854267660528422,0.06736854190565646,0.014058309601503425
15000,48.1,75,0.0010994248896022327,0.17209375,1.660585961495542e-06,15.038035443305969,0.00013222037963441836,0.0470234375,-21.634572011947633,0.058269888889044524,0.06783725150115788,0.013325389880803413
16000,47.5,80,0.0011013199026347138,0.17233984375,1.6984189936124494e-06,14.27051163482666,0.00012660491144106346,0.04845703125,-21.026034740447997,0.04325763349235058,0.06646488892659545,0.012761756007384974
17000,47.1,85,0.0011176986779319123,0.17504296875,1.793535781700939e-06,13.92777971458435,0.00012633947296944824,0.04821484375,-20.339297616958618,0.03213501061871648,0.0659849617946893,0.012736811283044517
18000,46.8,90,0.0011076490405248478,0.1735390625,1.4439380306185968e-06,13.685741730690003,0.00012920885286530392,0.04891796875,-19.604360567092897,0.023908966694027187,0.0682221782207489,0.013025538972113282
19000,46.7,95,0.0011055892173899337,0.17315625,1.827868703145441e-06,13.391955216407776,0.00011214182600269851,0.04330078125,-18.846192255020142,0.0178269966756925,0.06330471773631871,0.01131639551493572
20000,46.6,100,0.0011157679358730092,0.1747265625,1.5780896873067718e-06,12.190482246398926,0.00011153023388442307,0.0472421875,-18.08401314544678,0.013361244472675025,0.06627509691752494,0.011260299510817277
21000,46.6,105,0.0011121841832646168,0.1743046875,1.6453026826894756e-06,12.884691158294677,0.00011621397567796521,0.04483984375,-17.343187925338746,0.010114359701052308,0.06589427293278277,0.011729124224977568
