run=tmsd_sw2_2d_s0 metric=sliced_w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '66.6', 'episodes': 5}
{'step': 2000, 'sps': '67.7', 'episodes': 10}
{'step': 3000, 'sps': '68.1', 'episodes': 15}
{'step': 4000, 'sps': '68.2', 'episodes': 20}
{'step': 5000, 'sps': '68.5', 'episodes': 25}
{'step': 6000, 'sps': '50.6', 'episodes': 30, 'metric/d_mean': '0.00116', 'metric/d_nonzero': '0.2727', 'phi/constraint': '1.835e-06', 'phi/lambda': '29.57', 'phi/obj': '0.0002337', 'phi/violation_rate': '0.05913', 'sac/actor_loss': '-6.737', 'sac/alpha': '0.864', 'sac/q_loss': '0.2646', 'sac/reward_mean': '0.02358'}
{'step': 7000, 'sps': '42.7', 'episodes': 35, 'metric/d_mean': '0.001128', 'metric/d_nonzero': '0.2646', 'phi/constraint': '8.625e-07', 'phi/lambda': '38.5', 'phi/obj': '0.0002991', 'phi/violation_rate': '0.06913', 'sac/actor_loss': '-12.43', 'sac/alpha': '0.64', 'sac/q_loss': '0.0789', 'sac/reward_mean': '0.0301'}
{'step': 8000, 'sps': '38.4', 'episodes': 40, 'metric/d_mean': '0.001121', 'metric/d_nonzero': '0.2621', 'phi/constraint': '8.454e-07', 'phi/lambda': '36.57', 'phi/obj': '0.0002817', 'phi/violation_rate': '0.06459', 'sac/actor_loss': '-16.63', 'sac/alpha': '0.4741', 'sac/q_loss': '0.06302', 'sac/reward_mean': '0.02836'}
{'step': 9000, 'sps': '35.6', 'episodes': 45, 'metric/d_mean': '0.001113', 'metric/d_nonzero': '0.2594', 'phi/constraint': '7.211e-07', 'phi/lambda': '36.08', 'phi/obj': '0.0002786', 'phi/violation_rate': '0.06554', 'sac/actor_loss': '-19.43', 'sac/alpha': '0.3512', 'sac/q_loss': '0.0522', 'sac/reward_mean': '0.02806'}
{'step': 10000, 'sps': '33.7', 'episodes': 50, 'metric/d_mean': '0.001115', 'metric/d_nonzero': '0.2611', 'phi/constraint': '6.98e-07', 'phi/lambda': '34.77', 'phi/obj': '0.0002608', 'phi/violation_rate': '0.06475', 'sac/actor_loss': '-21.16', 'sac/alpha': '0.2602', 'sac/q_loss': '0.04579', 'sac/reward_mean': '0.02627'}
{'step': 11000, 'sps': '32.2', 'episodes': 55, 'metric/d_mean': '0.0011', 'metric/d_nonzero': '0.2585', 'phi/constraint': '7.008e-07', 'phi/lambda': '32.8', 'phi/obj': '0.0002446', 'phi/violation_rate': '0.06281', 'sac/actor_loss': '-22.11', 'sac/alpha': '0.1928', 'sac/q_loss': '0.04151', 'sac/reward_mean': '0.02465'}
{'step': 12000, 'sps': '31', 'episodes': 60, 'metric/d_mean': '0.001119', 'metric/d_nonzero': '0.2615', 'phi/constraint': '7.588e-07', 'phi/lambda': '31.37', 'phi/obj': '0.0002345', 'phi/violation_rate': '0.06362', 'sac/actor_loss': '-22.54', 'sac/alpha': '0.1429', 'sac/q_loss': '0.0402', 'sac/reward_mean': '0.02364'}
{'step': 13000, 'sps': '30', 'episodes': 65, 'metric/d_mean': '0.001111', 'metric/d_nonzero': '0.2604', 'phi/constraint': '7.212e-07', 'phi/lambda': '29.11', 'phi/obj': '0.0002249', 'phi/violation_rate': '0.06603', 'sac/actor_loss': '-22.53', 'sac/alpha': '0.1059', 'sac/q_loss': '0.03744', 'sac/reward_mean': '0.02268'}
{'step': 14000, 'sps': '29.2', 'episodes': 70, 'metric/d_mean': '0.001112', 'metric/d_nonzero': '0.2613', 'phi/constraint': '7.432e-07', 'phi/lambda': '29.96', 'phi/obj': '0.0002187', 'phi/violation_rate': '0.06453', 'sac/actor_loss': '-22.25', 'sac/alpha': '0.07853', 'sac/q_loss': '0.03634', 'sac/reward_mean': '0.02205'}
{'step': 15000, 'sps': '28.6', 'episodes': 75, 'metric/d_mean': '0.00111', 'metric/d_nonzero': '0.2612', 'phi/constraint': '8.09e-07', 'phi/lambda': '29.15', 'phi/obj': '0.0002126', 'phi/violation_rate': '0.06448', 'sac/actor_loss': '-21.77', 'sac/alpha': '0.05828', 'sac/q_loss': '0.0339', 'sac/reward_mean': '0.02143'}
{'step': 16000, 'sps': '28.1', 'episodes': 80, 'metric/d_mean': '0.001113', 'metric/d_nonzero': '0.2607', 'phi/constraint': '8.059e-07', 'phi/lambda': '27.59', 'phi/obj': '0.0002052', 'phi/violation_rate': '0.0632', 'sac/actor_loss': '-21.17', 'sac/alpha': '0.0433', 'sac/q_loss': '0.03399', 'sac/reward_mean': '0.02069'}
{'step': 17000, 'sps': '27.7', 'episodes': 85, 'metric/d_mean': '0.001111', 'metric/d_nonzero': '0.26', 'phi/constraint': '7.134e-07', 'phi/lambda': '26.28', 'phi/obj': '0.0002002', 'phi/violation_rate': '0.06578', 'sac/actor_loss': '-20.49', 'sac/alpha': '0.03222', 'sac/q_loss': '0.03398', 'sac/reward_mean': '0.0202'}
{'step': 18000, 'sps': '27.4', 'episodes': 90, 'metric/d_mean': '0.001122', 'metric/d_nonzero': '0.2626', 'phi/constraint': '8.025e-07', 'phi/lambda': '26.26', 'phi/obj': '0.0001941', 'phi/violation_rate': '0.06278', 'sac/actor_loss': '-19.78', 'sac/alpha': '0.02402', 'sac/q_loss': '0.03393', 'sac/reward_mean': '0.01958'}
