run=abl_euclid_2d_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '68', 'episodes': 5}
{'step': 2000, 'sps': '68.9', 'episodes': 10}
{'step': 3000, 'sps': '69.3', 'episodes': 15}
{'step': 4000, 'sps': '69.5', 'episodes': 20}
{'step': 5000, 'sps': '69.6', 'episodes': 25}
{'step': 6000, 'sps': '52.5', 'episodes': 30, 'metric/d_mean': '0.000407', 'metric/d_nonzero': '0.2699', 'phi/constraint': '-9.678e-07', 'phi/lambda': '40.93', 'phi/obj': '0.0001631', 'phi/violation_rate': '0.1488', 'sac/actor_loss': '-6.721', 'sac/alpha': '0.864', 'sac/q_loss': '0.2413', 'sac/reward_mean': '0.01647'}
{'step': 7000, 'sps': '44.6', 'episodes': 35, 'metric/d_mean': '0.0003982', 'metric/d_nonzero': '0.2619', 'phi/constraint': '-3.387e-07', 'phi/lambda': '74.05', 'phi/obj': '0.0001531', 'phi/violation_rate': '0.1446', 'sac/actor_loss': '-12.36', 'sac/alpha': '0.64', 'sac/q_loss': '0.0461', 'sac/reward_mean': '0.01541'}
{'step': 8000, 'sps': '40.1', 'episodes': 40, 'metric/d_mean': '0.0003965', 'metric/d_nonzero': '0.2596', 'phi/constraint': '-2.391e-08', 'phi/lambda': '91.24', 'phi/obj': '0.0001223', 'phi/violation_rate': '0.1043', 'sac/actor_loss': '-16.49', 'sac/alpha': '0.4741', 'sac/q_loss': '0.02833', 'sac/reward_mean': '0.01232'}
{'step': 9000, 'sps': '37.1', 'episodes': 45, 'metric/d_mean': '0.0003937', 'metric/d_nonzero': '0.2569', 'phi/constraint': '7.027e-08', 'phi/lambda': '96.3', 'phi/obj': '0.0001079', 'phi/violation_rate': '0.08043', 'sac/actor_loss': '-19.24', 'sac/alpha': '0.3512', 'sac/q_loss': '0.0181', 'sac/reward_mean': '0.01089'}
{'step': 10000, 'sps': '35', 'episodes': 50, 'metric/d_mean': '0.000393', 'metric/d_nonzero': '0.2587', 'phi/constraint': '8.996e-08', 'phi/lambda': '90.06', 'phi/obj': '9.738e-05', 'phi/violation_rate': '0.07705', 'sac/actor_loss': '-20.94', 'sac/alpha': '0.2602', 'sac/q_loss': '0.01273', 'sac/reward_mean': '0.009829'}
{'step': 11000, 'sps': '33.6', 'episodes': 55, 'metric/d_mean': '0.0003884', 'metric/d_nonzero': '0.2572', 'phi/constraint': '7.135e-08', 'phi/lambda': '85.79', 'phi/obj': '9.308e-05', 'phi/violation_rate': '0.07938', 'sac/actor_loss': '-21.87', 'sac/alpha': '0.1928', 'sac/q_loss': '0.009842', 'sac/reward_mean': '0.009396'}
{'step': 12000, 'sps': '32.4', 'episodes': 60, 'metric/d_mean': '0.0003934', 'metric/d_nonzero': '0.2602', 'phi/constraint': '7.501e-08', 'phi/lambda': '80.45', 'phi/obj': '8.953e-05', 'phi/violation_rate': '0.0825', 'sac/actor_loss': '-22.27', 'sac/alpha': '0.1428', 'sac/q_loss': '0.008284', 'sac/reward_mean': '0.009043'}
{'step': 13000, 'sps': '31.5', 'episodes': 65, 'metric/d_mean': '0.0003915', 'metric/d_nonzero': '0.2601', 'phi/constraint': '6.876e-08', 'phi/lambda': '76.86', 'phi/obj': '8.579e-05', 'phi/violation_rate': '0.08349', 'sac/actor_loss': '-22.25', 'sac/alpha': '0.1058', 'sac/q_loss': '0.007142', 'sac/reward_mean': '0.008668'}
{'step': 14000, 'sps': '30.7', 'episodes': 70, 'metric/d_mean': '0.0003902', 'metric/d_nonzero': '0.2612', 'phi/constraint': '7.315e-08', 'phi/lambda': '75.84', 'phi/obj': '8.322e-05', 'phi/violation_rate': '0.08193', 'sac/actor_loss': '-21.96', 'sac/alpha': '0.07839', 'sac/q_loss': '0.006459', 'sac/reward_mean': '0.008407'}
{'step': 15000, 'sps': '30.1', 'episodes': 75, 'metric/d_mean': '0.000391', 'metric/d_nonzero': '0.2615', 'phi/constraint': '7.978e-08', 'phi/lambda': '73.73', 'phi/obj': '8.055e-05', 'phi/violation_rate': '0.0798', 'sac/actor_loss': '-21.46', 'sac/alpha': '0.05809', 'sac/q_loss': '0.005909', 'sac/reward_mean': '0.008139'}
{'step': 16000, 'sps': '29.6', 'episodes': 80, 'metric/d_mean': '0.0003927', 'metric/d_nonzero': '0.2602', 'phi/constraint': '7.384e-08', 'phi/lambda': '70.45', 'phi/obj': '7.821e-05', 'phi/violation_rate': '0.08011', 'sac/actor_loss': '-20.84', 'sac/alpha': '0.04306', 'sac/q_loss': '0.005832', 'sac/reward_mean': '0.007906'}
