run=abl_temporal_2d_s0 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '66.5', 'episodes': 5}
{'step': 2000, 'sps': '67.2', 'episodes': 10}
{'step': 3000, 'sps': '67.7', 'episodes': 15}
{'step': 4000, 'sps': '68', 'episodes': 20}
{'step': 5000, 'sps': '68.2', 'episodes': 25}
{'step': 6000, 'sps': '51.3', 'episodes': 30, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9983', 'phi/lambda': '18.97', 'phi/obj': '0.002813', 'phi/violation_rate': '0', 'sac/actor_loss': '-7.272', 'sac/alpha': '0.8641', 'sac/q_loss': '16.69', 'sac/reward_mean': '0.2829'}
{'step': 7000, 'sps': '43.7', 'episodes': 35, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9898', 'phi/lambda': '6.98', 'phi/obj': '0.007579', 'phi/violation_rate': '0', 'sac/actor_loss': '-15.68', 'sac/alpha': '0.6413', 'sac/q_loss': '92.77', 'sac/reward_mean': '0.7595'}
{'step': 8000, 'sps': '39.4', 'episodes': 40, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9784', 'phi/lambda': '2.568', 'phi/obj': '0.009746', 'phi/violation_rate': '0.0001641', 'sac/actor_loss': '-24.66', 'sac/alpha': '0.4852', 'sac/q_loss': '190.7', 'sac/reward_mean': '0.9766'}
{'step': 9000, 'sps': '36.6', 'episodes': 45, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9698', 'phi/lambda': '0.9466', 'phi/obj': '0.01079', 'phi/violation_rate': '0.00116', 'sac/actor_loss': '-33.37', 'sac/alpha': '0.3782', 'sac/q_loss': '243.6', 'sac/reward_mean': '1.082'}
{'step': 10000, 'sps': '34.6', 'episodes': 50, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9543', 'phi/lambda': '0.3502', 'phi/obj': '0.01199', 'phi/violation_rate': '0.005332', 'sac/actor_loss': '-43.04', 'sac/alpha': '0.3019', 'sac/q_loss': '356.2', 'sac/reward_mean': '1.203'}
{'step': 11000, 'sps': '33.1', 'episodes': 55, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9181', 'phi/lambda': '0.1322', 'phi/obj': '0.01463', 'phi/violation_rate': '0.0202', 'sac/actor_loss': '-57.1', 'sac/alpha': '0.2533', 'sac/q_loss': '631.4', 'sac/reward_mean': '1.468'}
{'step': 12000, 'sps': '32', 'episodes': 60, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.8035', 'phi/lambda': '0.05633', 'phi/obj': '0.02272', 'phi/violation_rate': '0.05348', 'sac/actor_loss': '-79.7', 'sac/alpha': '0.2367', 'sac/q_loss': '1526', 'sac/reward_mean': '2.281'}
{'step': 13000, 'sps': '31', 'episodes': 65, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.636', 'phi/lambda': '0.03843', 'phi/obj': '0.02967', 'phi/violation_rate': '0.08384', 'sac/actor_loss': '-110.7', 'sac/alpha': '0.2708', 'sac/q_loss': '2784', 'sac/reward_mean': '2.977'}
{'step': 14000, 'sps': '30.3', 'episodes': 70, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6128', 'phi/lambda': '0.04911', 'phi/obj': '0.03326', 'phi/violation_rate': '0.08479', 'sac/actor_loss': '-153.6', 'sac/alpha': '0.3606', 'sac/q_loss': '2941', 'sac/reward_mean': '3.334'}
{'step': 15000, 'sps': '29.6', 'episodes': 75, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6588', 'phi/lambda': '0.05035', 'phi/obj': '0.02994', 'phi/violation_rate': '0.07565', 'sac/actor_loss': '-191.8', 'sac/alpha': '0.4354', 'sac/q_loss': '2345', 'sac/reward_mean': '3.001'}
{'step': 16000, 'sps': '29.1', 'episodes': 80, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6399', 'phi/lambda': '0.04391', 'phi/obj': '0.02988', 'phi/violation_rate': '0.0793', 'sac/actor_loss': '-228.2', 'sac/alpha': '0.4907', 'sac/q_loss': '2549', 'sac/reward_mean': '2.996'}
{'step': 17000, 'sps': '28.7', 'episodes': 85, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.639', 'phi/lambda': '0.04359', 'phi/obj': '0.02902', 'phi/violation_rate': '0.07983', 'sac/actor_loss': '-267.1', 'sac/alpha': '0.558', 'sac/q_loss': '2479', 'sac/reward_mean': '2.91'}
{'step': 18000, 'sps': '28.4', 'episodes': 90, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6342', 'phi/lambda': '0.0461', 'phi/obj': '0.03041', 'phi/violation_rate': '0.07952', 'sac/actor_loss': '-302.2', 'sac/alpha': '0.5984', 'sac/q_loss': '2463', 'sac/reward_mean': '3.049'}
{'step': 19000, 'sps': '28', 'episodes': 95, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6438', 'phi/lambda': '0.04608', 'phi/obj': '0.02929', 'phi/violation_rate': '0.07793', 'sac/actor_loss': '-342.3', 'sac/alpha': '0.631', 'sac/q_loss': '2462', 'sac/reward_mean': '2.938'}
{'step': 20000, 'sps': '27.7', 'episodes': 100, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6526', 'phi/lambda': '0.0432', 'phi/obj': '0.02904', 'phi/violation_rate': '0.07573', 'sac/actor_loss': '-373.6', 'sac/alpha': '0.6241', 'sac/q_loss': '2404', 'sac/reward_mean': '2.915'}
{'step': 21000, 'sps': '27.5', 'episodes': 105, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6249', 'phi/lambda': '0.04639', 'phi/obj': '0.03155', 'phi/violation_rate': '0.07799', 'sac/actor_loss': '-408.2', 'sac/alpha': '0.6813', 'sac/q_loss': '2583', 'sac/reward_mean': '3.165'}
{'step': 22000, 'sps': '27.2', 'episodes': 110, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6622', 'phi/lambda': '0.04565', 'phi/obj': '0.0285', 'phi/violation_rate': '0.0732', 'sac/actor_loss': '-443', 'sac/alpha': '0.7115', 'sac/q_loss': '2394', 'sac/reward_mean': '2.861'}
