run=tmsd_w2_rt_d4_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '66.9', 'episodes': 5}
{'step': 2000, 'sps': '67.8', 'episodes': 10}
{'step': 3000, 'sps': '68.3', 'episodes': 15}
{'step': 4000, 'sps': '68.7', 'episodes': 20}
{'step': 5000, 'sps': '68.9', 'episodes': 25}
{'step': 6000, 'sps': '51.5', 'episodes': 30, 'metric/d_mean': '0.001149', 'metric/d_nonzero': '0.1697', 'phi/constraint': '5.051e-06', 'phi/lambda': '20.71', 'phi/obj': '0.0001202', 'phi/violation_rate': '0.02558', 'sac/actor_loss': '-6.724', 'sac/alpha': '0.864', 'sac/q_loss': '0.247', 'sac/reward_mean': '0.01213'}
{'step': 7000, 'sps': '43.8', 'episodes': 35, 'metric/d_mean': '0.001143', 'metric/d_nonzero': '0.1686', 'phi/constraint': '1.347e-06', 'phi/lambda': '18', 'phi/obj': '0.0002078', 'phi/violation_rate': '0.05035', 'sac/actor_loss': '-12.39', 'sac/alpha': '0.64', 'sac/q_loss': '0.08068', 'sac/reward_mean': '0.02089'}
{'step': 8000, 'sps': '39.3', 'episodes': 40, 'metric/d_mean': '0.001131', 'metric/d_nonzero': '0.1675', 'phi/constraint': '1.341e-06', 'phi/lambda': '18.05', 'phi/obj': '0.000199', 'phi/violation_rate': '0.04673', 'sac/actor_loss': '-16.55', 'sac/alpha': '0.4741', 'sac/q_loss': '0.06554', 'sac/reward_mean': '0.02'}
{'step': 9000, 'sps': '36.5', 'episodes': 45, 'metric/d_mean': '0.001144', 'metric/d_nonzero': '0.1697', 'phi/constraint': '1.294e-06', 'phi/lambda': '17.96', 'phi/obj': '0.0001974', 'phi/violation_rate': '0.04716', 'sac/actor_loss': '-19.32', 'sac/alpha': '0.3512', 'sac/q_loss': '0.05691', 'sac/reward_mean': '0.01985'}
{'step': 10000, 'sps': '34.5', 'episodes': 50, 'metric/d_mean': '0.001137', 'metric/d_nonzero': '0.1687', 'phi/constraint': '1.519e-06', 'phi/lambda': '15.78', 'phi/obj': '0.0001775', 'phi/violation_rate': '0.04514', 'sac/actor_loss': '-21.03', 'sac/alpha': '0.2602', 'sac/q_loss': '0.05025', 'sac/reward_mean': '0.01786'}
{'step': 11000, 'sps': '32.9', 'episodes': 55, 'metric/d_mean': '0.001128', 'metric/d_nonzero': '0.1679', 'phi/constraint': '1.129e-06', 'phi/lambda': '15.75', 'phi/obj': '0.0001738', 'phi/violation_rate': '0.05003', 'sac/actor_loss': '-21.98', 'sac/alpha': '0.1928', 'sac/q_loss': '0.04868', 'sac/reward_mean': '0.01748'}
{'step': 12000, 'sps': '31.8', 'episodes': 60, 'metric/d_mean': '0.001129', 'metric/d_nonzero': '0.168', 'phi/constraint': '1.349e-06', 'phi/lambda': '15.7', 'phi/obj': '0.0001685', 'phi/violation_rate': '0.04645', 'sac/actor_loss': '-22.38', 'sac/alpha': '0.1429', 'sac/q_loss': '0.04543', 'sac/reward_mean': '0.01695'}
{'step': 13000, 'sps': '30.9', 'episodes': 65, 'metric/d_mean': '0.001154', 'metric/d_nonzero': '0.1717', 'phi/constraint': '1.488e-06', 'phi/lambda': '14.74', 'phi/obj': '0.0001622', 'phi/violation_rate': '0.0483', 'sac/actor_loss': '-22.41', 'sac/alpha': '0.1059', 'sac/q_loss': '0.04401', 'sac/reward_mean': '0.01633'}
{'step': 14000, 'sps': '30.1', 'episodes': 70, 'metric/d_mean': '0.001165', 'metric/d_nonzero': '0.1724', 'phi/constraint': '1.295e-06', 'phi/lambda': '14.22', 'phi/obj': '0.0001648', 'phi/violation_rate': '0.05093', 'sac/actor_loss': '-22.14', 'sac/alpha': '0.0785', 'sac/q_loss': '0.04511', 'sac/reward_mean': '0.01659'}
{'step': 15000, 'sps': '29.5', 'episodes': 75, 'metric/d_mean': '0.001166', 'metric/d_nonzero': '0.1724', 'phi/constraint': '1.313e-06', 'phi/lambda': '13.73', 'phi/obj': '0.0001588', 'phi/violation_rate': '0.04989', 'sac/actor_loss': '-21.65', 'sac/alpha': '0.05821', 'sac/q_loss': '0.04616', 'sac/reward_mean': '0.016'}
{'step': 16000, 'sps': '29', 'episodes': 80, 'metric/d_mean': '0.001156', 'metric/d_nonzero': '0.171', 'phi/constraint': '1.353e-06', 'phi/lambda': '13.36', 'phi/obj': '0.0001535', 'phi/violation_rate': '0.05068', 'sac/actor_loss': '-21.02', 'sac/alpha': '0.04321', 'sac/q_loss': '0.04432', 'sac/reward_mean': '0.01546'}
{'step': 17000, 'sps': '28.6', 'episodes': 85, 'metric/d_mean': '0.00116', 'metric/d_nonzero': '0.1716', 'phi/constraint': '1.386e-06', 'phi/lambda': '12.41', 'phi/obj': '0.0001415', 'phi/violation_rate': '0.05165', 'sac/actor_loss': '-20.33', 'sac/alpha': '0.03212', 'sac/q_loss': '0.04351', 'sac/reward_mean': '0.01427'}
{'step': 18000, 'sps': '28.2', 'episodes': 90, 'metric/d_mean': '0.00116', 'metric/d_nonzero': '0.1713', 'phi/constraint': '1.365e-06', 'phi/lambda': '11.96', 'phi/obj': '0.0001334', 'phi/violation_rate': '0.04967', 'sac/actor_loss': '-19.58', 'sac/alpha': '0.02391', 'sac/q_loss': '0.04279', 'sac/reward_mean': '0.01346'}
{'step': 19000, 'sps': '27.8', 'episodes': 95, 'metric/d_mean': '0.001146', 'metric/d_nonzero': '0.1697', 'phi/constraint': '1.329e-06', 'phi/lambda': '10.51', 'phi/obj': '0.0001307', 'phi/violation_rate': '0.04788', 'sac/actor_loss': '-18.81', 'sac/alpha': '0.01785', 'sac/q_loss': '0.04274', 'sac/reward_mean': '0.01318'}
{'step': 20000, 'sps': '27.5', 'episodes': 100, 'metric/d_mean': '0.001158', 'metric/d_nonzero': '0.1714', 'phi/constraint': '1.389e-06', 'phi/lambda': '12.1', 'phi/obj': '0.0001322', 'phi/violation_rate': '0.04702', 'sac/actor_loss': '-18.06', 'sac/alpha': '0.01339', 'sac/q_loss': '0.0429', 'sac/reward_mean': '0.01333'}
{'step': 21000, 'sps': '27.3', 'episodes': 105, 'metric/d_mean': '0.00116', 'metric/d_nonzero': '0.1725', 'phi/constraint': '1.396e-06', 'phi/lambda': '11.13', 'phi/obj': '0.0001255', 'phi/violation_rate': '0.04628', 'sac/actor_loss': '-17.33', 'sac/alpha': '0.01014', 'sac/q_loss': '0.04323', 'sac/reward_mean': '0.01266'}
{'step': 22000, 'sps': '27.1', 'episodes': 110, 'metric/d_mean': '0.001173', 'metric/d_nonzero': '0.1735', 'phi/constraint': '1.351e-06', 'phi/lambda': '10.85', 'phi/obj': '0.000126', 'phi/violation_rate': '0.04747', 'sac/actor_loss': '-16.62', 'sac/alpha': '0.007829', 'sac/q_loss': '0.04464', 'sac/reward_mean': '0.01271'}
{'step': 23000, 'sps': '26.8', 'episodes': 115, 'metric/d_mean': '0.001164', 'metric/d_nonzero': '0.172', 'phi/constraint': '1.398e-06', 'phi/lambda': '10.42', 'phi/obj': '0.0001185', 'phi/violation_rate': '0.04788', 'sac/actor_loss': '-15.93', 'sac/alpha': '0.006114', 'sac/q_loss': '0.04374', 'sac/reward_mean': '0.01197'}
{'step': 24000, 'sps': '26.7', 'episodes': 120, 'metric/d_mean': '0.001171', 'metric/d_nonzero': '0.1727', 'phi/constraint': '1.398e-06', 'phi/lambda': '10.53', 'phi/obj': '0.0001184', 'phi/violation_rate': '0.04695', 'sac/actor_loss': '-15.29', 'sac/alpha': '0.004848', 'sac/q_loss': '0.04415', 'sac/reward_mean': '0.01196'}
{'step': 25000, 'sps': '26.5', 'episodes': 125, 'metric/d_mean': '0.001182', 'metric/d_nonzero': '0.1735', 'phi/constraint': '1.519e-06', 'phi/lambda': '10.43', 'phi/obj': '0.0001155', 'phi/violation_rate': '0.04623', 'sac/actor_loss': '-14.68', 'sac/alpha': '0.004001', 'sac/q_loss': '0.04355', 'sac/reward_mean': '0.01166'}
{'step': 26000, 'sps': '26.3', 'episodes': 130, 'metric/d_mean': '0.00118', 'metric/d_nonzero': '0.1726', 'phi/constraint': '1.335e-06', 'phi/lambda': '9.942', 'phi/obj': '0.0001149', 'phi/violation_rate': '0.04721', 'sac/actor_loss': '-14.11', 'sac/alpha': '0.003416', 'sac/q_loss': '0.04347', 'sac/reward_mean': '0.01161'}
{'step': 27000, 'sps': '26.2', 'episodes': 135, 'metric/d_mean': '0.001198', 'metric/d_nonzero': '0.1744', 'phi/constraint': '1.608e-06', 'phi/lambda': '9.48', 'phi/obj': '0.0001117', 'phi/violation_rate': '0.04579', 'sac/actor_loss': '-13.6', 'sac/alpha': '0.003073', 'sac/q_loss': '0.04361', 'sac/reward_mean': '0.01129'}
{'step': 28000, 'sps': '26.1', 'episodes': 140, 'metric/d_mean': '0.001215', 'metric/d_nonzero': '0.1765', 'phi/constraint': '1.545e-06', 'phi/lambda': '10', 'phi/obj': '0.0001167', 'phi/violation_rate': '0.04657', 'sac/actor_loss': '-13.12', 'sac/alpha': '0.00283', 'sac/q_loss': '0.04512', 'sac/reward_mean': '0.01179'}
{'step': 29000, 'sps': '25.9', 'episodes': 145, 'metric/d_mean': '0.001226', 'metric/d_nonzero': '0.1777', 'phi/constraint': '1.68e-06', 'phi/lambda': '9.894', 'phi/obj': '0.0001216', 'phi/violation_rate': '0.04638', 'sac/actor_loss': '-12.66', 'sac/alpha': '0.00272', 'sac/q_loss': '0.04558', 'sac/reward_mean': '0.01228'}
{'step': 30000, 'sps': '25.8', 'episodes': 150, 'metric/d_mean': '0.001247', 'metric/d_nonzero': '0.1794', 'phi/constraint': '1.519e-06', 'phi/lambda': '10.03', 'phi/obj': '0.0001266', 'phi/violation_rate': '0.04595', 'sac/actor_loss': '-12.21', 'sac/alpha': '0.002673', 'sac/q_loss': '0.05001', 'sac/reward_mean': '0.01279'}
{'step': 31000, 'sps': '25.7', 'episodes': 155, 'metric/d_mean': '0.001256', 'metric/d_nonzero': '0.1805', 'phi/constraint': '1.816e-06', 'phi/lambda': '10.48', 'phi/obj': '0.0001249', 'phi/violation_rate': '0.04155', 'sac/actor_loss': '-11.79', 'sac/alpha': '0.002778', 'sac/q_loss': '0.05169', 'sac/reward_mean': '0.01262'}
{'step': 32000, 'sps': '25.6', 'episodes': 160, 'metric/d_mean': '0.001265', 'metric/d_nonzero': '0.1815', 'phi/constraint': '1.713e-06', 'phi/lambda': '10.47', 'phi/obj': '0.0001309', 'phi/violation_rate': '0.0411', 'sac/actor_loss': '-11.42', 'sac/alpha': '0.003244', 'sac/q_loss': '0.05564', 'sac/reward_mean': '0.01322'}
