run=abl_euclid_rt_d4_s1 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.9', 'episodes': 5}
{'step': 2000, 'sps': '68.1', 'episodes': 10}
{'step': 3000, 'sps': '68.3', 'episodes': 15}
{'step': 4000, 'sps': '68.2', 'episodes': 20}
{'step': 5000, 'sps': '68.4', 'episodes': 25}
{'step': 6000, 'sps': '54.9', 'episodes': 30, 'metric/d_mean': '0.0002465', 'metric/d_nonzero': '0.1745', 'phi/constraint': '-1.781e-07', 'phi/lambda': '35.34', 'phi/obj': '5.185e-05', 'phi/violation_rate': '0.08857', 'sac/actor_loss': '-6.709', 'sac/alpha': '0.864', 'sac/q_loss': '0.2276', 'sac/reward_mean': '0.005236'}
{'step': 7000, 'sps': '48.1', 'episodes': 35, 'metric/d_mean': '0.0002458', 'metric/d_nonzero': '0.1731', 'phi/constraint': '-7.084e-08', 'phi/lambda': '64.47', 'phi/obj': '5.549e-05', 'phi/violation_rate': '0.08261', 'sac/actor_loss': '-12.31', 'sac/alpha': '0.64', 'sac/q_loss': '0.03917', 'sac/reward_mean': '0.005588'}
{'step': 8000, 'sps': '44.1', 'episodes': 40, 'metric/d_mean': '0.0002438', 'metric/d_nonzero': '0.1734', 'phi/constraint': '1.822e-08', 'phi/lambda': '74.7', 'phi/obj': '4.771e-05', 'phi/violation_rate': '0.05148', 'sac/actor_loss': '-16.42', 'sac/alpha': '0.4741', 'sac/q_loss': '0.02422', 'sac/reward_mean': '0.00481'}
{'step': 9000, 'sps': '40.4', 'episodes': 45, 'metric/d_mean': '0.0002479', 'metric/d_nonzero': '0.1754', 'phi/constraint': '3.691e-08', 'phi/lambda': '74.59', 'phi/obj': '4.543e-05', 'phi/violation_rate': '0.04378', 'sac/actor_loss': '-19.13', 'sac/alpha': '0.3512', 'sac/q_loss': '0.01508', 'sac/reward_mean': '0.004585'}
{'step': 10000, 'sps': '36.7', 'episodes': 50, 'metric/d_mean': '0.0002462', 'metric/d_nonzero': '0.1742', 'phi/constraint': '3.74e-08', 'phi/lambda': '69.19', 'phi/obj': '4.206e-05', 'phi/violation_rate': '0.0477', 'sac/actor_loss': '-20.8', 'sac/alpha': '0.2602', 'sac/q_loss': '0.009856', 'sac/reward_mean': '0.004249'}
{'step': 11000, 'sps': '34.1', 'episodes': 55, 'metric/d_mean': '0.0002436', 'metric/d_nonzero': '0.1732', 'phi/constraint': '3.574e-08', 'phi/lambda': '67.75', 'phi/obj': '4.105e-05', 'phi/violation_rate': '0.04984', 'sac/actor_loss': '-21.72', 'sac/alpha': '0.1928', 'sac/q_loss': '0.007063', 'sac/reward_mean': '0.00415'}
{'step': 12000, 'sps': '32.2', 'episodes': 60, 'metric/d_mean': '0.0002429', 'metric/d_nonzero': '0.1723', 'phi/constraint': '3.349e-08', 'phi/lambda': '65.03', 'phi/obj': '4.056e-05', 'phi/violation_rate': '0.04846', 'sac/actor_loss': '-22.1', 'sac/alpha': '0.1428', 'sac/q_loss': '0.005431', 'sac/reward_mean': '0.004101'}
{'step': 13000, 'sps': '30.7', 'episodes': 65, 'metric/d_mean': '0.0002467', 'metric/d_nonzero': '0.1765', 'phi/constraint': '3.717e-08', 'phi/lambda': '62.82', 'phi/obj': '3.854e-05', 'phi/violation_rate': '0.05059', 'sac/actor_loss': '-22.12', 'sac/alpha': '0.1058', 'sac/q_loss': '0.004299', 'sac/reward_mean': '0.0039'}
{'step': 14000, 'sps': '29.6', 'episodes': 70, 'metric/d_mean': '0.0002505', 'metric/d_nonzero': '0.1776', 'phi/constraint': '3.322e-08', 'phi/lambda': '59.92', 'phi/obj': '3.844e-05', 'phi/violation_rate': '0.05341', 'sac/actor_loss': '-21.84', 'sac/alpha': '0.0784', 'sac/q_loss': '0.00387', 'sac/reward_mean': '0.00389'}
{'step': 15000, 'sps': '28.7', 'episodes': 75, 'metric/d_mean': '0.0002513', 'metric/d_nonzero': '0.1769', 'phi/constraint': '3.715e-08', 'phi/lambda': '56.83', 'phi/obj': '3.676e-05', 'phi/violation_rate': '0.05083', 'sac/actor_loss': '-21.34', 'sac/alpha': '0.05809', 'sac/q_loss': '0.003632', 'sac/reward_mean': '0.003722'}
{'step': 16000, 'sps': '28', 'episodes': 80, 'metric/d_mean': '0.0002484', 'metric/d_nonzero': '0.1747', 'phi/constraint': '3.65e-08', 'phi/lambda': '53.98', 'phi/obj': '3.573e-05', 'phi/violation_rate': '0.05417', 'sac/actor_loss': '-20.72', 'sac/alpha': '0.04306', 'sac/q_loss': '0.003217', 'sac/reward_mean': '0.003616'}
{'step': 17000, 'sps': '27.4', 'episodes': 85, 'metric/d_mean': '0.0002494', 'metric/d_nonzero': '0.1759', 'phi/constraint': '4.38e-08', 'phi/lambda': '51.66', 'phi/obj': '3.223e-05', 'phi/violation_rate': '0.05107', 'sac/actor_loss': '-20.02', 'sac/alpha': '0.03193', 'sac/q_loss': '0.003097', 'sac/reward_mean': '0.003266'}
{'step': 18000, 'sps': '26.8', 'episodes': 90, 'metric/d_mean': '0.00025', 'metric/d_nonzero': '0.1757', 'phi/constraint': '4.505e-08', 'phi/lambda': '48.18', 'phi/obj': '3.02e-05', 'phi/violation_rate': '0.05107', 'sac/actor_loss': '-19.27', 'sac/alpha': '0.02368', 'sac/q_loss': '0.002901', 'sac/reward_mean': '0.003061'}
{'step': 19000, 'sps': '26.4', 'episodes': 95, 'metric/d_mean': '0.0002476', 'metric/d_nonzero': '0.1741', 'phi/constraint': '3.196e-08', 'phi/lambda': '46.43', 'phi/obj': '3.03e-05', 'phi/violation_rate': '0.05209', 'sac/actor_loss': '-18.48', 'sac/alpha': '0.01757', 'sac/q_loss': '0.002934', 'sac/reward_mean': '0.003069'}
