run=abl_euclid_rt_d4_s2 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.6', 'episodes': 5}
{'step': 2000, 'sps': '68.4', 'episodes': 10}
{'step': 3000, 'sps': '68.7', 'episodes': 15}
{'step': 4000, 'sps': '68.9', 'episodes': 20}
{'step': 5000, 'sps': '69', 'episodes': 25}
{'step': 6000, 'sps': '55.4', 'episodes': 30, 'metric/d_mean': '0.0002323', 'metric/d_nonzero': '0.161', 'phi/constraint': '-1.39e-07', 'phi/lambda': '34.85', 'phi/obj': '4.7e-05', 'phi/violation_rate': '0.08071', 'sac/actor_loss': '-6.662', 'sac/alpha': '0.864', 'sac/q_loss': '0.2354', 'sac/reward_mean': '0.004752'}
{'step': 7000, 'sps': '48.5', 'episodes': 35, 'metric/d_mean': '0.0002359', 'metric/d_nonzero': '0.166', 'phi/constraint': '-8.176e-08', 'phi/lambda': '67.92', 'phi/obj': '5.761e-05', 'phi/violation_rate': '0.07845', 'sac/actor_loss': '-12.29', 'sac/alpha': '0.6401', 'sac/q_loss': '0.03915', 'sac/reward_mean': '0.005804'}
{'step': 8000, 'sps': '44.3', 'episodes': 40, 'metric/d_mean': '0.0002388', 'metric/d_nonzero': '0.1691', 'phi/constraint': '1.782e-08', 'phi/lambda': '81.09', 'phi/obj': '5.058e-05', 'phi/violation_rate': '0.05003', 'sac/actor_loss': '-16.41', 'sac/alpha': '0.4741', 'sac/q_loss': '0.02377', 'sac/reward_mean': '0.005098'}
{'step': 9000, 'sps': '40.6', 'episodes': 45, 'metric/d_mean': '0.0002422', 'metric/d_nonzero': '0.1717', 'phi/constraint': '3.698e-08', 'phi/lambda': '83.12', 'phi/obj': '4.723e-05', 'phi/violation_rate': '0.04481', 'sac/actor_loss': '-19.14', 'sac/alpha': '0.3512', 'sac/q_loss': '0.01496', 'sac/reward_mean': '0.004764'}
{'step': 10000, 'sps': '36.8', 'episodes': 50, 'metric/d_mean': '0.00024', 'metric/d_nonzero': '0.1718', 'phi/constraint': '3.615e-08', 'phi/lambda': '78.36', 'phi/obj': '4.432e-05', 'phi/violation_rate': '0.04877', 'sac/actor_loss': '-20.84', 'sac/alpha': '0.2602', 'sac/q_loss': '0.00982', 'sac/reward_mean': '0.004474'}
{'step': 11000, 'sps': '34.2', 'episodes': 55, 'metric/d_mean': '0.0002427', 'metric/d_nonzero': '0.1742', 'phi/constraint': '3.719e-08', 'phi/lambda': '72.79', 'phi/obj': '4.265e-05', 'phi/violation_rate': '0.05267', 'sac/actor_loss': '-21.76', 'sac/alpha': '0.1928', 'sac/q_loss': '0.006829', 'sac/reward_mean': '0.004307'}
{'step': 12000, 'sps': '32.2', 'episodes': 60, 'metric/d_mean': '0.0002438', 'metric/d_nonzero': '0.1746', 'phi/constraint': '3.897e-08', 'phi/lambda': '70.78', 'phi/obj': '4.149e-05', 'phi/violation_rate': '0.05365', 'sac/actor_loss': '-22.11', 'sac/alpha': '0.1428', 'sac/q_loss': '0.005304', 'sac/reward_mean': '0.004192'}
{'step': 13000, 'sps': '30.7', 'episodes': 65, 'metric/d_mean': '0.0002464', 'metric/d_nonzero': '0.1752', 'phi/constraint': '3.572e-08', 'phi/lambda': '63.09', 'phi/obj': '4.001e-05', 'phi/violation_rate': '0.06', 'sac/actor_loss': '-22.08', 'sac/alpha': '0.1058', 'sac/q_loss': '0.00438', 'sac/reward_mean': '0.004044'}
{'step': 14000, 'sps': '29.6', 'episodes': 70, 'metric/d_mean': '0.0002527', 'metric/d_nonzero': '0.1778', 'phi/constraint': '4.055e-08', 'phi/lambda': '59.97', 'phi/obj': '3.743e-05', 'phi/violation_rate': '0.05812', 'sac/actor_loss': '-21.79', 'sac/alpha': '0.07839', 'sac/q_loss': '0.003813', 'sac/reward_mean': '0.003785'}
{'step': 15000, 'sps': '28.7', 'episodes': 75, 'metric/d_mean': '0.0002501', 'metric/d_nonzero': '0.1777', 'phi/constraint': '3.859e-08', 'phi/lambda': '59.95', 'phi/obj': '3.651e-05', 'phi/violation_rate': '0.05391', 'sac/actor_loss': '-21.3', 'sac/alpha': '0.05808', 'sac/q_loss': '0.003413', 'sac/reward_mean': '0.003692'}
{'step': 16000, 'sps': '27.9', 'episodes': 80, 'metric/d_mean': '0.0002513', 'metric/d_nonzero': '0.1791', 'phi/constraint': '3.567e-08', 'phi/lambda': '53.7', 'phi/obj': '3.498e-05', 'phi/violation_rate': '0.05615', 'sac/actor_loss': '-20.69', 'sac/alpha': '0.04304', 'sac/q_loss': '0.003288', 'sac/reward_mean': '0.003541'}
