run=abl_temporal_rt_d4_s1 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '68.5', 'episodes': 5}
{'step': 2000, 'sps': '68.9', 'episodes': 10}
{'step': 3000, 'sps': '69', 'episodes': 15}
{'step': 4000, 'sps': '69', 'episodes': 20}
{'step': 5000, 'sps': '69', 'episodes': 25}
{'step': 6000, 'sps': '55.4', 'episodes': 30, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9995', 'phi/lambda': '18.97', 'phi/obj': '0.0007019', 'phi/violation_rate': '0', 'sac/actor_loss': '-6.819', 'sac/alpha': '0.864', 'sac/q_loss': '3.272', 'sac/reward_mean': '0.07077'}
{'step': 7000, 'sps': '48.5', 'episodes': 35, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9939', 'phi/lambda': '6.98', 'phi/obj': '0.003299', 'phi/violation_rate': '0', 'sac/actor_loss': '-13.58', 'sac/alpha': '0.6407', 'sac/q_loss': '29.96', 'sac/reward_mean': '0.3307'}
{'step': 8000, 'sps': '44.4', 'episodes': 40, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9881', 'phi/lambda': '2.568', 'phi/obj': '0.004868', 'phi/violation_rate': '0', 'sac/actor_loss': '-19.88', 'sac/alpha': '0.4784', 'sac/q_loss': '59.58', 'sac/reward_mean': '0.4877'}
{'step': 9000, 'sps': '40.8', 'episodes': 45, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9813', 'phi/lambda': '0.9449', 'phi/obj': '0.006025', 'phi/violation_rate': '0.0002734', 'sac/actor_loss': '-25.94', 'sac/alpha': '0.3635', 'sac/q_loss': '90.7', 'sac/reward_mean': '0.6043'}
{'step': 10000, 'sps': '37', 'episodes': 50, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9706', 'phi/lambda': '0.3482', 'phi/obj': '0.007399', 'phi/violation_rate': '0.002668', 'sac/actor_loss': '-33.1', 'sac/alpha': '0.284', 'sac/q_loss': '142.8', 'sac/reward_mean': '0.7421'}
{'step': 11000, 'sps': '34.3', 'episodes': 55, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9482', 'phi/lambda': '0.1295', 'phi/obj': '0.01021', 'phi/violation_rate': '0.01058', 'sac/actor_loss': '-42.97', 'sac/alpha': '0.2302', 'sac/q_loss': '261', 'sac/reward_mean': '1.024'}
{'step': 12000, 'sps': '32.4', 'episodes': 60, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.8962', 'phi/lambda': '0.04998', 'phi/obj': '0.01396', 'phi/violation_rate': '0.02898', 'sac/actor_loss': '-55.76', 'sac/alpha': '0.1946', 'sac/q_loss': '512.2', 'sac/reward_mean': '1.4'}
{'step': 13000, 'sps': '30.9', 'episodes': 65, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.7794', 'phi/lambda': '0.0225', 'phi/obj': '0.01934', 'phi/violation_rate': '0.06164', 'sac/actor_loss': '-73.76', 'sac/alpha': '0.1817', 'sac/q_loss': '1055', 'sac/reward_mean': '1.939'}
{'step': 14000, 'sps': '29.8', 'episodes': 70, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5907', 'phi/lambda': '0.01882', 'phi/obj': '0.02563', 'phi/violation_rate': '0.09562', 'sac/actor_loss': '-99.01', 'sac/alpha': '0.2056', 'sac/q_loss': '2018', 'sac/reward_mean': '2.57'}
{'step': 15000, 'sps': '28.8', 'episodes': 75, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5728', 'phi/lambda': '0.03395', 'phi/obj': '0.02511', 'phi/violation_rate': '0.09685', 'sac/actor_loss': '-128.5', 'sac/alpha': '0.2633', 'sac/q_loss': '2131', 'sac/reward_mean': '2.521'}
{'step': 16000, 'sps': '28.1', 'episodes': 80, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6687', 'phi/lambda': '0.03912', 'phi/obj': '0.02165', 'phi/violation_rate': '0.08349', 'sac/actor_loss': '-155.4', 'sac/alpha': '0.3365', 'sac/q_loss': '1572', 'sac/reward_mean': '2.173'}
