run=abl_temporal_rt_d4_s2 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.6', 'episodes': 5}
{'step': 2000, 'sps': '77.4', 'episodes': 10}
{'step': 3000, 'sps': '77.7', 'episodes': 15}
{'step': 4000, 'sps': '77.6', 'episodes': 20}
{'step': 5000, 'sps': '77.8', 'episodes': 25}
{'step': 6000, 'sps': '64.2', 'episodes': 30, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9992', 'phi/lambda': '18.97', 'phi/obj': '0.0007713', 'phi/violation_rate': '0', 'sac/actor_loss': '-6.779', 'sac/alpha': '0.8641', 'sac/q_loss': '4.782', 'sac/reward_mean': '0.07788'}
{'step': 7000, 'sps': '57.3', 'episodes': 35, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9917', 'phi/lambda': '6.98', 'phi/obj': '0.00408', 'phi/violation_rate': '0', 'sac/actor_loss': '-13.92', 'sac/alpha': '0.6415', 'sac/q_loss': '46.06', 'sac/reward_mean': '0.4089'}
{'step': 8000, 'sps': '53', 'episodes': 40, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9878', 'phi/lambda': '2.568', 'phi/obj': '0.005375', 'phi/violation_rate': '8.594e-05', 'sac/actor_loss': '-20.94', 'sac/alpha': '0.481', 'sac/q_loss': '68.94', 'sac/reward_mean': '0.5384'}
{'step': 9000, 'sps': '50.1', 'episodes': 45, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9802', 'phi/lambda': '0.9454', 'phi/obj': '0.007039', 'phi/violation_rate': '0.0006875', 'sac/actor_loss': '-28.38', 'sac/alpha': '0.3662', 'sac/q_loss': '116.2', 'sac/reward_mean': '0.7052'}
{'step': 10000, 'sps': '48', 'episodes': 50, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9666', 'phi/lambda': '0.349', 'phi/obj': '0.008628', 'phi/violation_rate': '0.004277', 'sac/actor_loss': '-36.96', 'sac/alpha': '0.2852', 'sac/q_loss': '197.4', 'sac/reward_mean': '0.8648'}
{'step': 11000, 'sps': '46.4', 'episodes': 55, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9362', 'phi/lambda': '0.1305', 'phi/obj': '0.01189', 'phi/violation_rate': '0.01419', 'sac/actor_loss': '-48.44', 'sac/alpha': '0.2324', 'sac/q_loss': '367.2', 'sac/reward_mean': '1.192'}
{'step': 12000, 'sps': '45.1', 'episodes': 60, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.8644', 'phi/lambda': '0.05207', 'phi/obj': '0.01649', 'phi/violation_rate': '0.04079', 'sac/actor_loss': '-64.54', 'sac/alpha': '0.2062', 'sac/q_loss': '751.6', 'sac/reward_mean': '1.653'}
{'step': 13000, 'sps': '44.1', 'episodes': 65, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.7328', 'phi/lambda': '0.02625', 'phi/obj': '0.02105', 'phi/violation_rate': '0.07261', 'sac/actor_loss': '-87.34', 'sac/alpha': '0.214', 'sac/q_loss': '1454', 'sac/reward_mean': '2.11'}
{'step': 14000, 'sps': '43.3', 'episodes': 70, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5989', 'phi/lambda': '0.02579', 'phi/obj': '0.0249', 'phi/violation_rate': '0.09268', 'sac/actor_loss': '-116.4', 'sac/alpha': '0.2619', 'sac/q_loss': '2265', 'sac/reward_mean': '2.499'}
{'step': 15000, 'sps': '42.6', 'episodes': 75, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6353', 'phi/lambda': '0.03477', 'phi/obj': '0.02376', 'phi/violation_rate': '0.08488', 'sac/actor_loss': '-149.1', 'sac/alpha': '0.3298', 'sac/q_loss': '2119', 'sac/reward_mean': '2.387'}
{'step': 16000, 'sps': '42', 'episodes': 80, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6621', 'phi/lambda': '0.03313', 'phi/obj': '0.02133', 'phi/violation_rate': '0.08217', 'sac/actor_loss': '-183.1', 'sac/alpha': '0.4092', 'sac/q_loss': '1924', 'sac/reward_mean': '2.143'}
