run=abl_fullstate_temporal_s1 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.5', 'episodes': 5}
{'step': 2000, 'sps': '76.9', 'episodes': 10}
{'step': 3000, 'sps': '77', 'episodes': 15}
{'step': 4000, 'sps': '77.3', 'episodes': 20}
{'step': 5000, 'sps': '77.2', 'episodes': 25}
{'step': 6000, 'sps': '63.7', 'episodes': 30, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9885', 'phi/lambda': '18.97', 'phi/obj': '0.001397', 'phi/violation_rate': '3.906e-06', 'sac/actor_loss': '-13.13', 'sac/alpha': '0.8773', 'sac/q_loss': '17.05', 'sac/reward_mean': '0.1477'}
{'step': 7000, 'sps': '56.9', 'episodes': 35, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.8114', 'phi/lambda': '6.981', 'phi/obj': '0.04536', 'phi/violation_rate': '0.0001016', 'sac/actor_loss': '-108', 'sac/alpha': '0.7956', 'sac/q_loss': '199.3', 'sac/reward_mean': '4.579'}
{'step': 8000, 'sps': '52.7', 'episodes': 40, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.598', 'phi/lambda': '2.575', 'phi/obj': '0.1285', 'phi/violation_rate': '0.0007422', 'sac/actor_loss': '-264.5', 'sac/alpha': '0.7791', 'sac/q_loss': '1152', 'sac/reward_mean': '12.89'}
{'step': 9000, 'sps': '49.8', 'episodes': 45, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5292', 'phi/lambda': '1.614', 'phi/obj': '0.1297', 'phi/violation_rate': '0.002488', 'sac/actor_loss': '-447.2', 'sac/alpha': '0.8301', 'sac/q_loss': '1642', 'sac/reward_mean': '12.99'}
{'step': 10000, 'sps': '47.7', 'episodes': 50, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.659', 'phi/lambda': '1.431', 'phi/obj': '0.1584', 'phi/violation_rate': '0.007008', 'sac/actor_loss': '-644.3', 'sac/alpha': '0.9688', 'sac/q_loss': '386.3', 'sac/reward_mean': '15.87'}
{'step': 11000, 'sps': '46.1', 'episodes': 55, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6436', 'phi/lambda': '1.164', 'phi/obj': '0.1883', 'phi/violation_rate': '0.009805', 'sac/actor_loss': '-839', 'sac/alpha': '1.113', 'sac/q_loss': '365.8', 'sac/reward_mean': '18.87'}
{'step': 12000, 'sps': '44.9', 'episodes': 60, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5795', 'phi/lambda': '0.846', 'phi/obj': '0.2305', 'phi/violation_rate': '0.01716', 'sac/actor_loss': '-1052', 'sac/alpha': '1.309', 'sac/q_loss': '431.6', 'sac/reward_mean': '23.09'}
{'step': 13000, 'sps': '43.9', 'episodes': 65, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5106', 'phi/lambda': '0.5438', 'phi/obj': '0.2756', 'phi/violation_rate': '0.06545', 'sac/actor_loss': '-1269', 'sac/alpha': '1.485', 'sac/q_loss': '472.2', 'sac/reward_mean': '27.61'}
{'step': 14000, 'sps': '43.1', 'episodes': 70, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.3467', 'phi/lambda': '0.3495', 'phi/obj': '0.3428', 'phi/violation_rate': '0.2487', 'sac/actor_loss': '-1496', 'sac/alpha': '1.601', 'sac/q_loss': '515.4', 'sac/reward_mean': '34.34'}
{'step': 15000, 'sps': '42.3', 'episodes': 75, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.2347', 'phi/lambda': '0.323', 'phi/obj': '0.3951', 'phi/violation_rate': '0.3331', 'sac/actor_loss': '-1761', 'sac/alpha': '1.895', 'sac/q_loss': '642.8', 'sac/reward_mean': '39.57'}
{'step': 16000, 'sps': '41.7', 'episodes': 80, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.2285', 'phi/lambda': '0.3413', 'phi/obj': '0.4062', 'phi/violation_rate': '0.3113', 'sac/actor_loss': '-1996', 'sac/alpha': '2.053', 'sac/q_loss': '978.8', 'sac/reward_mean': '40.69'}
{'step': 17000, 'sps': '41.2', 'episodes': 85, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.2133', 'phi/lambda': '0.3433', 'phi/obj': '0.4372', 'phi/violation_rate': '0.3297', 'sac/actor_loss': '-2244', 'sac/alpha': '2.177', 'sac/q_loss': '916.1', 'sac/reward_mean': '43.78'}
{'step': 18000, 'sps': '40.8', 'episodes': 90, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1967', 'phi/lambda': '0.36', 'phi/obj': '0.4596', 'phi/violation_rate': '0.3405', 'sac/actor_loss': '-2537', 'sac/alpha': '2.147', 'sac/q_loss': '1006', 'sac/reward_mean': '46.02'}
{'step': 19000, 'sps': '40.4', 'episodes': 95, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1989', 'phi/lambda': '0.3635', 'phi/obj': '0.4608', 'phi/violation_rate': '0.3429', 'sac/actor_loss': '-2772', 'sac/alpha': '2.253', 'sac/q_loss': '955.6', 'sac/reward_mean': '46.14'}
{'step': 20000, 'sps': '40.1', 'episodes': 100, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1822', 'phi/lambda': '0.3676', 'phi/obj': '0.4743', 'phi/violation_rate': '0.3539', 'sac/actor_loss': '-3041', 'sac/alpha': '2.34', 'sac/q_loss': '946.6', 'sac/reward_mean': '47.5'}
{'step': 21000, 'sps': '39.7', 'episodes': 105, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1786', 'phi/lambda': '0.3765', 'phi/obj': '0.4837', 'phi/violation_rate': '0.3572', 'sac/actor_loss': '-3298', 'sac/alpha': '2.401', 'sac/q_loss': '1100', 'sac/reward_mean': '48.44'}
{'step': 22000, 'sps': '39.5', 'episodes': 110, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1705', 'phi/lambda': '0.3729', 'phi/obj': '0.4958', 'phi/violation_rate': '0.3722', 'sac/actor_loss': '-3514', 'sac/alpha': '2.43', 'sac/q_loss': '1084', 'sac/reward_mean': '49.64'}
{'step': 23000, 'sps': '39.2', 'episodes': 115, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1648', 'phi/lambda': '0.3781', 'phi/obj': '0.5027', 'phi/violation_rate': '0.3793', 'sac/actor_loss': '-3702', 'sac/alpha': '2.391', 'sac/q_loss': '1156', 'sac/reward_mean': '50.34'}
{'step': 24000, 'sps': '39', 'episodes': 120, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1628', 'phi/lambda': '0.3743', 'phi/obj': '0.5045', 'phi/violation_rate': '0.3796', 'sac/actor_loss': '-3871', 'sac/alpha': '2.369', 'sac/q_loss': '1172', 'sac/reward_mean': '50.52'}
