run=abl_fullstate_temporal_s2 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '77', 'episodes': 5}
{'step': 2000, 'sps': '77.3', 'episodes': 10}
{'step': 3000, 'sps': '77.7', 'episodes': 15}
{'step': 4000, 'sps': '77.9', 'episodes': 20}
{'step': 5000, 'sps': '77.9', 'episodes': 25}
{'step': 6000, 'sps': '64.2', 'episodes': 30, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.9081', 'phi/lambda': '18.97', 'phi/obj': '0.00414', 'phi/violation_rate': '0', 'sac/actor_loss': '-26.44', 'sac/alpha': '0.8858', 'sac/q_loss': '80.63', 'sac/reward_mean': '0.4256'}
{'step': 7000, 'sps': '57.3', 'episodes': 35, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.718', 'phi/lambda': '6.981', 'phi/obj': '0.05564', 'phi/violation_rate': '0.0001563', 'sac/actor_loss': '-154.5', 'sac/alpha': '0.8469', 'sac/q_loss': '234.8', 'sac/reward_mean': '5.601'}
{'step': 8000, 'sps': '53', 'episodes': 40, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.7479', 'phi/lambda': '2.572', 'phi/obj': '0.1162', 'phi/violation_rate': '0.0008164', 'sac/actor_loss': '-302.3', 'sac/alpha': '0.9618', 'sac/q_loss': '245.6', 'sac/reward_mean': '11.66'}
{'step': 9000, 'sps': '50.1', 'episodes': 45, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.666', 'phi/lambda': '0.9711', 'phi/obj': '0.1534', 'phi/violation_rate': '0.007887', 'sac/actor_loss': '-470.3', 'sac/alpha': '1.079', 'sac/q_loss': '291.7', 'sac/reward_mean': '15.39'}
{'step': 10000, 'sps': '48', 'episodes': 50, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.4916', 'phi/lambda': '0.3927', 'phi/obj': '0.2177', 'phi/violation_rate': '0.1067', 'sac/actor_loss': '-666.3', 'sac/alpha': '1.203', 'sac/q_loss': '465.6', 'sac/reward_mean': '21.85'}
{'step': 11000, 'sps': '46.4', 'episodes': 55, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.2689', 'phi/lambda': '0.2811', 'phi/obj': '0.3095', 'phi/violation_rate': '0.238', 'sac/actor_loss': '-921.7', 'sac/alpha': '1.545', 'sac/q_loss': '676.1', 'sac/reward_mean': '31.04'}
{'step': 12000, 'sps': '45.1', 'episodes': 60, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.2386', 'phi/lambda': '0.3187', 'phi/obj': '0.3652', 'phi/violation_rate': '0.2627', 'sac/actor_loss': '-1231', 'sac/alpha': '2.011', 'sac/q_loss': '789', 'sac/reward_mean': '36.61'}
{'step': 13000, 'sps': '44.1', 'episodes': 65, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.2206', 'phi/lambda': '0.3383', 'phi/obj': '0.4018', 'phi/violation_rate': '0.2962', 'sac/actor_loss': '-1536', 'sac/alpha': '2.448', 'sac/q_loss': '889.7', 'sac/reward_mean': '40.27'}
{'step': 14000, 'sps': '43.3', 'episodes': 70, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1977', 'phi/lambda': '0.3486', 'phi/obj': '0.4272', 'phi/violation_rate': '0.322', 'sac/actor_loss': '-1863', 'sac/alpha': '2.795', 'sac/q_loss': '1012', 'sac/reward_mean': '42.82'}
{'step': 15000, 'sps': '42.6', 'episodes': 75, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1851', 'phi/lambda': '0.3606', 'phi/obj': '0.4505', 'phi/violation_rate': '0.3322', 'sac/actor_loss': '-2183', 'sac/alpha': '2.862', 'sac/q_loss': '1185', 'sac/reward_mean': '45.15'}
{'step': 16000, 'sps': '42', 'episodes': 80, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1801', 'phi/lambda': '0.3714', 'phi/obj': '0.4729', 'phi/violation_rate': '0.3444', 'sac/actor_loss': '-2493', 'sac/alpha': '2.898', 'sac/q_loss': '1331', 'sac/reward_mean': '47.39'}
{'step': 17000, 'sps': '41.5', 'episodes': 85, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1675', 'phi/lambda': '0.3789', 'phi/obj': '0.4985', 'phi/violation_rate': '0.3569', 'sac/actor_loss': '-2794', 'sac/alpha': '2.979', 'sac/q_loss': '1459', 'sac/reward_mean': '49.94'}
{'step': 18000, 'sps': '41', 'episodes': 90, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1647', 'phi/lambda': '0.3835', 'phi/obj': '0.5062', 'phi/violation_rate': '0.3623', 'sac/actor_loss': '-3061', 'sac/alpha': '2.945', 'sac/q_loss': '1672', 'sac/reward_mean': '50.71'}
{'step': 19000, 'sps': '40.7', 'episodes': 95, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1692', 'phi/lambda': '0.384', 'phi/obj': '0.5009', 'phi/violation_rate': '0.3585', 'sac/actor_loss': '-3310', 'sac/alpha': '2.811', 'sac/q_loss': '1988', 'sac/reward_mean': '50.18'}
{'step': 20000, 'sps': '40.3', 'episodes': 100, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1615', 'phi/lambda': '0.3817', 'phi/obj': '0.507', 'phi/violation_rate': '0.3668', 'sac/actor_loss': '-3556', 'sac/alpha': '2.851', 'sac/q_loss': '2172', 'sac/reward_mean': '50.79'}
{'step': 21000, 'sps': '40', 'episodes': 105, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1617', 'phi/lambda': '0.3898', 'phi/obj': '0.5075', 'phi/violation_rate': '0.3557', 'sac/actor_loss': '-3772', 'sac/alpha': '2.901', 'sac/q_loss': '2283', 'sac/reward_mean': '50.84'}
{'step': 22000, 'sps': '39.7', 'episodes': 110, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1533', 'phi/lambda': '0.3854', 'phi/obj': '0.5194', 'phi/violation_rate': '0.3723', 'sac/actor_loss': '-3961', 'sac/alpha': '2.818', 'sac/q_loss': '2376', 'sac/reward_mean': '52.03'}
{'step': 23000, 'sps': '39.5', 'episodes': 115, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.15', 'phi/lambda': '0.3903', 'phi/obj': '0.5289', 'phi/violation_rate': '0.3725', 'sac/actor_loss': '-4161', 'sac/alpha': '2.796', 'sac/q_loss': '2533', 'sac/reward_mean': '52.98'}
{'step': 24000, 'sps': '39.3', 'episodes': 120, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1478', 'phi/lambda': '0.3918', 'phi/obj': '0.538', 'phi/violation_rate': '0.3791', 'sac/actor_loss': '-4345', 'sac/alpha': '2.714', 'sac/q_loss': '2376', 'sac/reward_mean': '53.89'}
{'step': 25000, 'sps': '39.1', 'episodes': 125, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1441', 'phi/lambda': '0.3972', 'phi/obj': '0.5488', 'phi/violation_rate': '0.3811', 'sac/actor_loss': '-4530', 'sac/alpha': '2.66', 'sac/q_loss': '2171', 'sac/reward_mean': '54.98'}
{'step': 26000, 'sps': '38.9', 'episodes': 130, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1415', 'phi/lambda': '0.3992', 'phi/obj': '0.5575', 'phi/violation_rate': '0.3808', 'sac/actor_loss': '-4707', 'sac/alpha': '2.594', 'sac/q_loss': '2230', 'sac/reward_mean': '55.84'}
{'step': 27000, 'sps': '38.7', 'episodes': 135, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1365', 'phi/lambda': '0.3983', 'phi/obj': '0.5626', 'phi/violation_rate': '0.382', 'sac/actor_loss': '-4855', 'sac/alpha': '2.59', 'sac/q_loss': '2077', 'sac/reward_mean': '56.35'}
{'step': 28000, 'sps': '38.5', 'episodes': 140, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1312', 'phi/lambda': '0.3974', 'phi/obj': '0.5657', 'phi/violation_rate': '0.3833', 'sac/actor_loss': '-4982', 'sac/alpha': '2.524', 'sac/q_loss': '2169', 'sac/reward_mean': '56.66'}
{'step': 29000, 'sps': '38.4', 'episodes': 145, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1257', 'phi/lambda': '0.4052', 'phi/obj': '0.5679', 'phi/violation_rate': '0.3706', 'sac/actor_loss': '-5098', 'sac/alpha': '2.561', 'sac/q_loss': '2189', 'sac/reward_mean': '56.88'}
{'step': 30000, 'sps': '38.2', 'episodes': 150, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1305', 'phi/lambda': '0.4044', 'phi/obj': '0.5712', 'phi/violation_rate': '0.3638', 'sac/actor_loss': '-5225', 'sac/alpha': '2.617', 'sac/q_loss': '2198', 'sac/reward_mean': '57.21'}
{'step': 31000, 'sps': '38.1', 'episodes': 155, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1281', 'phi/lambda': '0.4025', 'phi/obj': '0.5783', 'phi/violation_rate': '0.3773', 'sac/actor_loss': '-5329', 'sac/alpha': '2.685', 'sac/q_loss': '2154', 'sac/reward_mean': '57.91'}
{'step': 32000, 'sps': '38', 'episodes': 160, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1265', 'phi/lambda': '0.406', 'phi/obj': '0.5867', 'phi/violation_rate': '0.3819', 'sac/actor_loss': '-5448', 'sac/alpha': '2.782', 'sac/q_loss': '2162', 'sac/reward_mean': '58.76'}
